Plot Title: 10169174,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Coupler Attached,Coupler Detached,Stopped,End Of File
111,3/7/2019 9:00,0.453,0,2.62,,,,,
112,3/7/2019 15:00,0.453,0,2.62,,,,,
113,3/7/2019 21:00,0.453,0,2.62,,,,,
114,3/8/2019 3:00,0.453,0,2.62,,,,,
115,3/8/2019 9:00,0.453,0,2.62,,,,,
116,3/8/2019 15:00,0.453,0,2.62,,,,,
117,3/8/2019 21:00,0.453,0,2.62,,,,,
118,3/9/2019 3:00,0.453,0,2.62,,,,,
119,3/9/2019 9:00,0.453,0,2.62,,,,,
120,3/9/2019 15:00,0.453,0,2.62,,,,,
121,3/9/2019 21:00,0.563,0,2.62,,,,,
122,3/10/2019 3:00,0.563,0,2.62,,,,,
123,3/10/2019 9:00,0.563,0,2.62,,,,,
124,3/10/2019 15:00,0.453,0,2.62,,,,,
125,3/10/2019 21:00,0.453,0,2.62,,,,,
126,3/11/2019 3:00,0.563,0,2.62,,,,,
127,3/11/2019 9:00,0.453,0,2.62,,,,,
128,3/11/2019 15:00,0.453,0,2.62,,,,,
129,3/11/2019 21:00,0.453,0,2.62,,,,,
130,3/12/2019 3:00,0.453,0,2.62,,,,,
131,3/12/2019 9:00,0.453,0,2.62,,,,,
132,3/12/2019 15:00,0.453,0,2.62,,,,,
133,3/12/2019 21:00,0.453,0,2.62,,,,,
134,3/13/2019 3:00,0.453,0,2.62,,,,,
135,3/13/2019 9:00,0.453,0,2.62,,,,,
136,3/13/2019 15:00,0.453,0,2.62,,,,,
137,3/13/2019 21:00,0.453,0,2.62,,,,,
138,3/14/2019 3:00,0.453,0,2.62,,,,,
139,3/14/2019 9:00,0.453,0,2.62,,,,,
140,3/14/2019 15:00,0.453,0,2.62,,,,,
141,3/14/2019 21:00,0.453,0,2.62,,,,,
142,3/15/2019 3:00,0.563,0,2.62,,,,,
143,3/15/2019 9:00,0.453,0,2.62,,,,,
144,3/15/2019 15:00,0.453,0,2.62,,,,,
145,3/15/2019 21:00,0.453,0,2.62,,,,,
146,3/16/2019 3:00,0.453,0,2.62,,,,,
147,3/16/2019 9:00,0.453,0,2.62,,,,,
148,3/16/2019 15:00,0.453,0,2.6,,,,,
149,3/16/2019 21:00,0.453,0,2.6,,,,,
150,3/17/2019 3:00,0.453,0,2.6,,,,,
151,3/17/2019 9:00,0.453,0,2.6,,,,,
152,3/17/2019 15:00,0.453,0,2.6,,,,,
153,3/17/2019 21:00,0.453,0,2.6,,,,,
154,3/18/2019 3:00,0.453,0,2.6,,,,,
155,3/18/2019 9:00,0.453,0,2.6,,,,,
156,3/18/2019 15:00,0.453,0,2.6,,,,,
157,3/18/2019 21:00,0.453,0,2.6,,,,,
158,3/19/2019 3:00,0.453,0,2.6,,,,,
159,3/19/2019 9:00,0.453,0,2.6,,,,,
160,3/19/2019 15:00,0.453,0,2.6,,,,,
161,3/19/2019 21:00,0.453,0,2.6,,,,,
162,3/20/2019 3:00,0.453,0,2.6,,,,,
163,3/20/2019 9:00,0.453,0,2.6,,,,,
164,3/20/2019 15:00,0.453,0,2.6,,,,,
165,3/20/2019 21:00,0.453,0,2.6,,,,,
166,3/21/2019 3:00,0.453,0,2.6,,,,,
167,3/21/2019 9:00,0.453,0,2.6,,,,,
168,3/21/2019 15:00,0.453,0,2.6,,,,,
169,3/21/2019 21:00,0.453,0,2.6,,,,,
170,3/22/2019 3:00,0.453,0,2.6,,,,,
