"Plot Title: 20400441"
"#","Date Time, GMT-07:00","Temp, °C","Intensity, Lux","End Of File"
119,09/25/19 03:00:00 AM,8.282,0.0,
120,09/25/19 09:00:00 AM,7.179,1141.0,
121,09/25/19 03:00:00 PM,11.722,2755.6,
122,09/25/19 09:00:00 PM,10.063,0.0,
123,09/26/19 03:00:00 AM,9.472,0.0,
124,09/26/19 09:00:00 AM,8.879,850.4,
125,09/26/19 03:00:00 PM,13.942,4822.3,
126,09/26/19 09:00:00 PM,10.455,0.0,
127,09/27/19 03:00:00 AM,7.179,0.0,
128,09/27/19 09:00:00 AM,5.962,1345.5,
129,09/27/19 03:00:00 PM,9.275,5511.1,
130,09/27/19 09:00:00 PM,5.141,0.0,
131,09/28/19 03:00:00 AM,2.730,0.0,
132,09/28/19 09:00:00 AM,0.563,538.2,
133,09/28/19 03:00:00 PM,0.563,527.4,
134,09/28/19 09:00:00 PM,0.343,0.0,
135,09/29/19 03:00:00 AM,-0.213,0.0,
136,09/29/19 09:00:00 AM,0.563,1054.9,
137,09/29/19 03:00:00 PM,2.088,4477.8,
138,09/29/19 09:00:00 PM,0.343,0.0,
139,09/30/19 03:00:00 AM,-0.774,0.0,
140,09/30/19 09:00:00 AM,-0.549,2583.4,
141,09/30/19 03:00:00 PM,1.548,4994.5,
142,09/30/19 09:00:00 PM,0.453,0.0,
143,10/01/19 03:00:00 AM,-0.213,0.0,
144,10/01/19 09:00:00 AM,-0.437,1076.4,
145,10/01/19 03:00:00 PM,2.303,2669.5,
146,10/01/19 09:00:00 PM,0.674,0.0,
147,10/02/19 03:00:00 AM,0.453,0.0,
148,10/02/19 09:00:00 AM,0.893,1022.6,
149,10/02/19 03:00:00 PM,8.481,9300.1,
150,10/02/19 09:00:00 PM,4.623,0.0,
151,10/03/19 03:00:00 AM,3.893,0.0,
152,10/03/19 09:00:00 AM,4.102,4477.8,
153,10/03/19 03:00:00 PM,5.962,3961.1,
154,10/03/19 09:00:00 PM,3.155,0.0,
155,10/04/19 03:00:00 AM,0.563,0.0,
156,10/04/19 09:00:00 AM,2.303,1550.0,
157,10/04/19 03:00:00 PM,5.450,6544.5,
158,10/04/19 09:00:00 PM,2.624,0.0,
159,10/05/19 03:00:00 AM,1.548,0.0,
160,10/05/19 09:00:00 AM,1.980,904.2,
161,10/05/19 03:00:00 PM,5.655,2152.8,
162,10/05/19 09:00:00 PM,4.102,0.0,
163,10/06/19 03:00:00 AM,3.155,0.0,
164,10/06/19 09:00:00 AM,3.261,914.9,
165,10/06/19 03:00:00 PM,8.382,2238.9,
166,10/06/19 09:00:00 PM,7.079,0.0,
167,10/07/19 03:00:00 AM,6.775,0.0,
168,10/07/19 09:00:00 AM,6.877,882.6,
169,10/07/19 03:00:00 PM,9.373,2238.9,
170,10/07/19 09:00:00 PM,8.182,0.0,
171,10/08/19 03:00:00 AM,7.882,0.0,
172,10/08/19 09:00:00 AM,6.064,1550.0,
173,10/08/19 03:00:00 PM,4.623,9300.1,
174,10/08/19 09:00:00 PM,-0.325,0.0,
175,10/09/19 03:00:00 AM,0.010,0.0,
176,10/09/19 09:00:00 AM,-0.887,387.5,
177,10/09/19 03:00:00 PM,0.232,882.6,
178,10/09/19 09:00:00 PM,-0.662,0.0,
179,10/10/19 03:00:00 AM,-1.228,0.0,
180,10/10/19 09:00:00 AM,-1.456,366.0,
181,10/10/19 03:00:00 PM,0.232,1377.8,
182,10/10/19 09:00:00 PM,0.674,0.0,
183,10/11/19 03:00:00 AM,0.674,0.0,
184,10/11/19 09:00:00 AM,1.221,904.2,
185,10/11/19 03:00:00 PM,5.141,1808.3,
186,10/11/19 09:00:00 PM,4.831,0.0,
187,10/12/19 03:00:00 AM,3.683,0.0,
188,10/12/19 09:00:00 AM,4.415,1205.6,
189,10/12/19 03:00:00 PM,10.455,8266.7,
190,10/12/19 09:00:00 PM,6.674,0.0,
191,10/13/19 03:00:00 AM,5.860,0.0,
192,10/13/19 09:00:00 AM,6.573,2927.8,
193,10/13/19 03:00:00 PM,10.259,5511.1,
194,10/13/19 09:00:00 PM,6.573,0.0,
195,10/14/19 03:00:00 AM,4.415,0.0,
196,10/14/19 09:00:00 AM,3.049,904.2,
197,10/14/19 03:00:00 PM,6.877,1894.5,
198,10/14/19 09:00:00 PM,5.962,0.0,
199,10/15/19 03:00:00 AM,6.166,0.0,
200,10/15/19 09:00:00 AM,7.079,1550.0,
201,10/15/19 03:00:00 PM,11.041,9300.1,
202,10/15/19 09:00:00 PM,8.680,0.0,
203,10/16/19 03:00:00 AM,8.082,0.0,
204,10/16/19 09:00:00 AM,8.282,2669.5,
205,10/16/19 03:00:00 PM,7.179,2755.6,
206,10/16/19 09:00:00 PM,5.655,0.0,
207,10/17/19 03:00:00 AM,2.195,0.0,
208,10/17/19 09:00:00 AM,3.155,2755.6,
209,10/17/19 03:00:00 PM,3.683,2497.2,
210,10/17/19 09:00:00 PM,3.683,0.0,
211,10/18/19 03:00:00 AM,0.232,0.0,
212,10/18/19 09:00:00 AM,2.195,1463.9,
213,10/18/19 03:00:00 PM,5.141,8611.2,
214,10/18/19 09:00:00 PM,3.261,0.0,
215,10/19/19 03:00:00 AM,2.410,0.0,
216,10/19/19 09:00:00 AM,0.674,656.6,
217,10/19/19 03:00:00 PM,0.343,1980.6,
218,10/19/19 09:00:00 PM,0.232,0.0,
219,10/20/19 03:00:00 AM,0.453,0.0,
220,10/20/19 09:00:00 AM,0.784,1550.0,
221,10/20/19 03:00:00 PM,4.831,5338.9,
222,10/20/19 09:00:00 PM,5.037,0.0,
223,10/21/19 03:00:00 AM,3.998,0.0,
224,10/21/19 09:00:00 AM,4.311,2497.2,
225,10/21/19 03:00:00 PM,7.381,4822.3,
226,10/21/19 09:00:00 PM,6.573,0.0,
227,10/22/19 03:00:00 AM,7.179,0.0,
228,10/22/19 09:00:00 AM,7.882,2927.8,
229,10/22/19 03:00:00 PM,8.382,1367.0,
230,10/22/19 09:00:00 PM,6.775,0.0,
231,10/23/19 03:00:00 AM,3.261,0.0,
232,10/23/19 09:00:00 AM,3.155,581.3,
233,10/23/19 03:00:00 PM,6.370,1550.0,
234,10/23/19 09:00:00 PM,5.244,0.0,
235,10/24/19 03:00:00 AM,4.727,0.0,
236,10/24/19 09:00:00 AM,5.450,592.0,
237,10/24/19 03:00:00 PM,9.571,1377.8,
238,10/24/19 09:00:00 PM,8.779,0.0,
239,10/25/19 03:00:00 AM,8.382,0.0,
240,10/25/19 09:00:00 AM,8.581,592.0,
241,10/25/19 03:00:00 PM,12.304,4822.3,
242,10/25/19 09:00:00 PM,7.280,0.0,
243,10/26/19 03:00:00 AM,-0.213,0.0,
244,10/26/19 09:00:00 AM,-0.774,624.3,
245,10/26/19 03:00:00 PM,3.049,4650.0,
246,10/26/19 09:00:00 PM,-0.549,0.0,
247,10/27/19 03:00:00 AM,-1.228,0.0,
248,10/27/19 09:00:00 AM,-2.030,387.5,
249,10/27/19 03:00:00 PM,-0.325,1173.3,
250,10/27/19 09:00:00 PM,-1.341,0.0,
251,10/28/19 03:00:00 AM,-1.341,0.0,
252,10/28/19 09:00:00 AM,-0.662,516.7,
253,10/28/19 03:00:00 PM,0.563,1636.1,
254,10/28/19 09:00:00 PM,-1.001,0.0,
255,10/29/19 03:00:00 AM,-3.553,0.0,
256,10/29/19 09:00:00 AM,-7.787,667.4,
257,10/29/19 03:00:00 PM,-2.261,1463.9,
258,10/29/19 09:00:00 PM,-3.434,0.0,
259,10/30/19 03:00:00 AM,-3.911,0.0,
260,10/30/19 09:00:00 AM,-2.261,602.8,
261,10/30/19 03:00:00 PM,1.980,1345.5,
262,10/30/19 09:00:00 PM,0.674,0.0,
263,10/31/19 03:00:00 AM,0.784,0.0,
264,10/31/19 09:00:00 AM,1.112,785.8,
265,10/31/19 03:00:00 PM,2.195,2238.9,
266,10/31/19 09:00:00 PM,1.003,0.0,
267,11/01/19 03:00:00 AM,1.112,0.0,
268,11/01/19 09:00:00 AM,1.330,538.2,
269,11/01/19 03:00:00 PM,3.998,1313.2,
270,11/01/19 09:00:00 PM,3.367,0.0,
271,11/02/19 03:00:00 AM,2.624,0.0,
272,11/02/19 09:00:00 AM,3.788,570.5,
273,11/02/19 03:00:00 PM,7.381,1334.7,
274,11/02/19 09:00:00 PM,5.655,0.0,
275,11/03/19 03:00:00 AM,5.450,0.0,
276,11/03/19 09:00:00 AM,5.860,1270.1,
277,11/03/19 03:00:00 PM,7.481,1377.8,
278,11/03/19 09:00:00 PM,5.860,0.0,
279,11/04/19 03:00:00 AM,5.655,0.0,
280,11/04/19 09:00:00 AM,5.962,527.4,
281,11/04/19 03:00:00 PM,8.978,1313.2,
