"Plot Title: 10169156"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Bad Battery","Coupler Attached","Coupler Detached","Stopped","End Of File"
92,08/17/21 06:36:32 AM,8.481,10.8,2.79,,,,,
93,08/17/21 12:36:32 PM,9.866,64.6,2.77,,,,,
94,08/17/21 06:36:32 PM,10.259,0.0,2.77,,,,,
95,08/18/21 12:36:32 AM,9.669,0.0,2.77,,,,,
96,08/18/21 06:36:32 AM,8.779,0.0,2.77,,,,,
97,08/18/21 12:36:32 PM,16.332,107.6,2.79,,,,,
98,08/18/21 06:36:32 PM,15.760,10.8,2.79,,,,,
99,08/19/21 12:36:32 AM,12.401,0.0,2.79,,,,,
100,08/19/21 06:36:32 AM,11.819,0.0,2.77,,,,,
101,08/19/21 12:36:32 PM,19.758,613.5,2.81,,,,,
102,08/19/21 06:36:32 PM,16.523,10.8,2.81,,,,,
103,08/20/21 12:36:32 AM,13.365,0.0,2.79,,,,,
104,08/20/21 06:36:32 AM,11.431,0.0,2.77,,,,,
105,08/20/21 12:36:32 PM,15.569,624.3,2.79,,,,,
106,08/20/21 06:36:32 PM,13.173,0.0,2.79,,,,,
107,08/21/21 12:36:32 AM,10.846,0.0,2.77,,,,,
108,08/21/21 06:36:32 AM,9.373,0.0,2.77,,,,,
109,08/21/21 12:36:32 PM,11.722,193.8,2.77,,,,,
110,08/21/21 06:36:32 PM,12.497,0.0,2.77,,,,,
111,08/22/21 12:36:32 AM,10.063,0.0,2.75,Logged,,,,
112,08/22/21 06:36:32 AM,9.472,0.0,2.77,,,,,
113,08/22/21 12:36:32 PM,15.760,495.1,2.77,,,,,
114,08/22/21 06:36:32 PM,12.594,10.8,2.77,,,,,
115,08/23/21 12:36:32 AM,9.373,0.0,2.77,,,,,
116,08/23/21 06:36:32 AM,7.983,0.0,2.75,,,,,
117,08/23/21 12:36:32 PM,15.187,527.4,2.77,,,,,
118,08/23/21 06:36:32 PM,14.230,10.8,2.79,,,,,
119,08/24/21 12:36:32 AM,10.259,0.0,2.75,,,,,
120,08/24/21 06:36:32 AM,10.063,0.0,2.75,,,,,
121,08/24/21 12:36:32 PM,18.806,484.4,2.81,,,,,
122,08/24/21 06:36:32 PM,16.523,0.0,2.79,,,,,
123,08/25/21 12:36:32 AM,12.497,0.0,2.79,,,,,
124,08/25/21 06:36:32 AM,11.334,10.8,2.77,,,,,
125,08/25/21 12:36:32 PM,17.284,462.9,2.81,,,,,
126,08/25/21 06:36:32 PM,14.996,0.0,2.81,,,,,
127,08/26/21 12:36:32 AM,11.722,0.0,2.77,,,,,
128,08/26/21 06:36:32 AM,10.357,0.0,2.77,,,,,
129,08/26/21 12:36:32 PM,16.332,118.4,2.79,,,,,
130,08/26/21 06:36:32 PM,15.378,0.0,2.79,,,,,
131,08/27/21 12:36:32 AM,12.594,0.0,2.79,,,,,
132,08/27/21 06:36:32 AM,11.236,0.0,2.77,,,,,
133,08/27/21 12:36:32 PM,16.237,452.1,2.79,,,,,
134,08/27/21 06:36:32 PM,15.378,0.0,2.79,,,,,
135,08/28/21 12:36:32 AM,11.916,0.0,2.79,,,,,
136,08/28/21 06:36:32 AM,11.139,0.0,2.77,,,,,
137,08/28/21 12:36:32 PM,19.187,441.3,2.83,,,,,
138,08/28/21 06:36:32 PM,19.758,0.0,2.81,,,,,
139,08/29/21 12:36:32 AM,15.378,0.0,2.79,,,,,
140,08/29/21 06:36:32 AM,14.900,0.0,2.81,,,,,
141,08/29/21 12:36:32 PM,20.996,398.3,2.81,,,,,
142,08/29/21 06:36:32 PM,18.996,0.0,2.83,,,,,
143,08/30/21 12:36:32 AM,14.230,0.0,2.81,,,,,
144,08/30/21 06:36:32 AM,11.236,0.0,2.79,,,,,
145,08/30/21 12:36:32 PM,14.996,409.0,2.81,,,,,
146,08/30/21 06:36:32 PM,12.401,0.0,2.79,,,,,
147,08/31/21 12:36:32 AM,8.978,0.0,2.79,,,,,
148,08/31/21 06:36:32 AM,7.782,0.0,2.77,,,,,
149,08/31/21 12:36:32 PM,13.846,430.6,2.79,,,,,
150,08/31/21 06:36:32 PM,12.690,0.0,2.79,,,,,
151,09/01/21 12:36:32 AM,9.275,0.0,2.77,,,,,
152,09/01/21 06:36:32 AM,7.983,0.0,2.77,,,,,
153,09/01/21 12:36:32 PM,15.664,398.3,2.79,,,,,
154,09/01/21 06:36:32 PM,14.900,0.0,2.81,,,,,
155,09/02/21 12:36:32 AM,10.063,0.0,2.77,,,,,
156,09/02/21 06:36:32 AM,8.779,0.0,2.77,,,,,
157,09/02/21 12:36:32 PM,16.618,387.5,2.79,,,,,
158,09/02/21 06:36:32 PM,16.999,0.0,2.81,,,,,
159,09/03/21 12:36:32 AM,12.980,0.0,2.79,,,,,
160,09/03/21 06:36:32 AM,12.304,0.0,2.79,,,,,
161,09/03/21 12:36:32 PM,18.806,236.8,2.83,,,,,
162,09/03/21 06:36:32 PM,16.999,0.0,2.81,,,,,
163,09/04/21 12:36:32 AM,14.230,0.0,2.81,,,,,
164,09/04/21 06:36:32 AM,13.750,0.0,2.81,,,,,
165,09/04/21 12:36:32 PM,18.806,150.7,2.83,,,,,
166,09/04/21 06:36:32 PM,18.616,0.0,2.83,,,,,
167,09/05/21 12:36:32 AM,15.473,0.0,2.81,,,,,
168,09/05/21 06:36:32 AM,15.187,0.0,2.81,,,,,
169,09/05/21 12:36:32 PM,20.138,236.8,2.81,,,,,
170,09/05/21 06:36:32 PM,19.567,0.0,2.83,,,,,
171,09/06/21 12:36:32 AM,15.664,0.0,2.81,,,,,
172,09/06/21 06:36:32 AM,14.996,0.0,2.83,,,,,
173,09/06/21 12:36:32 PM,20.996,301.4,2.81,,,,,
174,09/06/21 06:36:32 PM,20.138,0.0,2.81,,,,,
175,09/07/21 12:36:32 AM,17.855,0.0,2.83,,,,,
176,09/07/21 06:36:32 AM,18.521,0.0,2.83,,,,,
177,09/07/21 12:36:32 PM,24.545,279.9,2.85,,,,,
178,09/07/21 06:36:32 PM,20.615,0.0,2.83,,,,,
179,09/08/21 12:36:32 AM,16.999,0.0,2.83,,,,,
180,09/08/21 06:36:32 AM,16.046,0.0,2.83,,,,,
181,09/08/21 12:36:32 PM,20.901,366.0,2.83,,,,,
182,09/08/21 06:36:32 PM,19.377,0.0,2.83,,,,,
183,09/09/21 12:36:32 AM,17.094,0.0,2.83,,,,,
184,09/09/21 06:36:32 AM,15.951,0.0,2.83,,,,,
185,09/09/21 12:36:32 PM,19.662,301.4,2.81,,,,,
186,09/09/21 06:36:32 PM,17.570,0.0,2.83,,,,,
187,09/10/21 12:36:32 AM,15.664,0.0,2.83,,,,,
188,09/10/21 06:36:32 AM,13.173,0.0,2.81,,,,,
189,09/10/21 12:36:32 PM,12.401,0.0,2.81,,,,,
190,09/10/21 06:36:32 PM,11.625,0.0,2.81,,,,,
191,09/11/21 12:36:32 AM,10.846,0.0,2.79,,,,,
192,09/11/21 06:36:32 AM,7.782,0.0,2.79,,,,,
193,09/11/21 12:36:32 PM,13.365,688.9,2.81,,,,,
194,09/11/21 06:36:32 PM,14.804,0.0,2.81,,,,,
195,09/12/21 12:36:32 AM,12.304,0.0,2.81,,,,,
196,09/12/21 06:36:32 AM,11.528,0.0,2.79,,,,,
197,09/12/21 12:36:32 PM,14.613,742.7,2.81,,,,,
198,09/12/21 06:36:32 PM,12.787,0.0,2.81,,,,,
199,09/13/21 12:36:32 AM,10.748,0.0,2.79,,,,,
200,09/13/21 06:36:32 AM,9.176,21.5,2.79,,,,,
201,09/13/21 12:36:32 PM,13.365,721.2,2.81,,,,,
202,09/13/21 06:36:32 PM,13.365,0.0,2.81,,,,,
203,09/14/21 12:36:32 AM,10.748,0.0,2.79,,,,,
204,09/14/21 06:36:32 AM,10.944,0.0,2.79,,,,,
205,09/14/21 12:36:32 PM,16.523,979.5,2.81,,,,,
206,09/14/21 06:36:32 PM,15.569,0.0,2.81,,,,,
207,09/15/21 12:36:32 AM,12.690,0.0,2.81,,,,,
208,09/15/21 06:36:32 AM,11.334,10.8,2.79,,,,,
209,09/15/21 12:36:32 PM,15.091,1044.1,2.79,,,,,
210,09/15/21 06:36:32 PM,11.722,0.0,2.79,,,,,
211,09/16/21 12:36:32 AM,8.082,0.0,2.79,,,,,
212,09/16/21 06:36:32 AM,5.450,0.0,2.75,,,,,
213,09/16/21 12:36:32 PM,13.846,1033.3,2.79,,,,,
214,09/16/21 06:36:32 PM,12.304,0.0,2.79,,,,,
215,09/17/21 12:36:32 AM,11.722,0.0,2.79,,,,,
216,09/17/21 06:36:32 AM,10.651,0.0,2.77,,,,,
217,09/17/21 12:36:32 PM,15.760,936.5,2.79,,,,,
218,09/17/21 06:36:32 PM,14.325,0.0,2.81,,,,,
219,09/18/21 12:36:32 AM,13.076,0.0,2.81,,,,,
220,09/18/21 06:36:32 AM,7.280,0.0,2.77,,,,,
