"Plot Title: 10166272"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Good Battery","Bad Battery","Coupler Attached","Stopped","End Of File"
91,08/17/21 06:36:32 AM,8.779,398.3,2.77,,,,,
92,08/17/21 12:36:32 PM,10.259,1280.9,2.77,,,,,
93,08/17/21 06:36:32 PM,10.944,86.1,2.77,,,,,
94,08/18/21 12:36:32 AM,10.161,0.0,2.75,,Logged,,,
95,08/18/21 06:36:32 AM,8.282,139.9,2.75,,,,,
96,08/18/21 12:36:32 PM,16.999,1980.6,2.79,,,,,
97,08/18/21 06:36:32 PM,16.523,236.8,2.81,,,,,
98,08/19/21 12:36:32 AM,12.013,0.0,2.77,,,,,
99,08/19/21 06:36:32 AM,11.139,43.1,2.77,,,,,
100,08/19/21 12:36:32 PM,19.948,14466.8,2.81,,,,,
101,08/19/21 06:36:32 PM,17.094,139.9,2.81,,,,,
102,08/20/21 12:36:32 AM,13.173,0.0,2.79,,,,,
103,08/20/21 06:36:32 AM,11.625,64.6,2.77,,,,,
104,08/20/21 12:36:32 PM,16.427,16533.4,2.79,,,,,
105,08/20/21 06:36:32 PM,13.654,139.9,2.79,,,,,
106,08/21/21 12:36:32 AM,11.236,0.0,2.77,,,,,
107,08/21/21 06:36:32 AM,9.571,172.2,2.77,,,,,
108,08/21/21 12:36:32 PM,12.401,3788.9,2.77,,,,,
109,08/21/21 06:36:32 PM,12.401,129.2,2.77,,,,,
110,08/22/21 12:36:32 AM,9.275,0.0,2.77,,,,,
111,08/22/21 06:36:32 AM,8.680,86.1,2.75,,,,,
112,08/22/21 12:36:32 PM,16.523,8611.2,2.79,,,,,
113,08/22/21 06:36:32 PM,12.787,139.9,2.79,,,,,
114,08/23/21 12:36:32 AM,9.472,0.0,2.77,,,,,
115,08/23/21 06:36:32 AM,8.082,172.2,2.75,,,,,
116,08/23/21 12:36:32 PM,16.808,6200.0,2.79,,,,,
117,08/23/21 06:36:32 PM,14.804,96.9,2.79,,,,,
118,08/24/21 12:36:32 AM,8.978,0.0,2.77,,,,,
