"Plot Title: 10760648"
"#","Date Time, GMT-07:00","Temp, °C","Intensity, Lux","Bad Battery","Coupler Attached","Stopped","End Of File"
1,07/25/21 06:36:32 PM,23.773,1550.0,,,,
2,07/26/21 12:36:32 AM,17.950,0.0,,,,
3,07/26/21 06:36:32 AM,16.427,107.6,,,,
4,07/26/21 12:36:32 PM,23.484,6544.5,,,,
5,07/26/21 06:36:32 PM,23.196,1636.1,,,,
6,07/27/21 12:36:32 AM,18.045,0.0,,,,
7,07/27/21 06:36:32 AM,15.569,21.5,,,,
8,07/27/21 12:36:32 PM,17.570,2152.8,,,,
9,07/27/21 06:36:32 PM,19.758,1313.2,,,,
10,07/28/21 12:36:32 AM,16.808,0.0,,,,
11,07/28/21 06:36:32 AM,16.713,86.1,,,,
12,07/28/21 12:36:32 PM,23.004,5166.7,,,,
13,07/28/21 06:36:32 PM,23.869,1463.9,,,,
14,07/29/21 12:36:32 AM,19.187,0.0,,,,
15,07/29/21 06:36:32 AM,18.331,43.1,,,,
16,07/29/21 12:36:32 PM,26.097,7577.8,,,,
17,07/29/21 06:36:32 PM,25.610,1345.5,,,,
18,07/30/21 12:36:32 AM,21.091,0.0,,,,
19,07/30/21 06:36:32 AM,20.805,204.5,,,,
20,07/30/21 12:36:32 PM,26.000,3100.0,,,,
21,07/30/21 06:36:32 PM,25.319,656.6,,,,
22,07/31/21 12:36:32 AM,22.333,0.0,,,,
23,07/31/21 06:36:32 AM,22.717,21.5,,,,
24,07/31/21 12:36:32 PM,24.738,3100.0,,,,
25,07/31/21 06:36:32 PM,23.196,785.8,,,,
26,08/01/21 12:36:32 AM,20.138,0.0,,,,
27,08/01/21 06:36:32 AM,18.711,86.1,,,,
28,08/01/21 12:36:32 PM,25.513,5511.1,,,,
29,08/01/21 06:36:32 PM,25.805,2066.7,,,,
30,08/02/21 12:36:32 AM,20.615,0.0,,,,
31,08/02/21 06:36:32 AM,20.138,139.9,,,,
32,08/02/21 12:36:32 PM,27.961,6200.0,,,,
33,08/02/21 06:36:32 PM,25.708,1722.2,,,,
34,08/03/21 12:36:32 AM,20.996,0.0,,,,
35,08/03/21 06:36:32 AM,20.043,107.6,,,,
36,08/03/21 12:36:32 PM,24.545,5511.1,,,,
37,08/03/21 06:36:32 PM,23.773,1173.3,,,,
38,08/04/21 12:36:32 AM,19.092,0.0,,,,
39,08/04/21 06:36:32 AM,17.760,118.4,,,,
40,08/04/21 12:36:32 PM,24.835,6200.0,,,,
41,08/04/21 06:36:32 PM,24.835,710.4,,,,
42,08/05/21 12:36:32 AM,20.043,0.0,,,,
43,08/05/21 06:36:32 AM,16.713,129.2,,,,
44,08/05/21 12:36:32 PM,19.282,3788.9,,,,
45,08/05/21 06:36:32 PM,15.282,592.0,,,,
46,08/06/21 12:36:32 AM,13.654,0.0,,,,
47,08/06/21 06:36:32 AM,12.497,161.5,,,,
48,08/06/21 12:36:32 PM,18.331,3961.1,,,,
49,08/06/21 06:36:32 PM,19.567,1194.8,,,,
50,08/07/21 12:36:32 AM,15.282,0.0,,,,
51,08/07/21 06:36:32 AM,14.421,32.3,,,,
52,08/07/21 12:36:32 PM,20.996,5511.1,,,,
53,08/07/21 06:36:32 PM,20.519,1162.5,,,,
54,08/08/21 12:36:32 AM,13.461,0.0,,,,
55,08/08/21 06:36:32 AM,9.669,129.2,,,,
56,08/08/21 12:36:32 PM,15.091,6200.0,,,,
57,08/08/21 06:36:32 PM,16.332,1463.9,,,,
58,08/09/21 12:36:32 AM,12.110,0.0,,,,
59,08/09/21 06:36:32 AM,11.431,53.8,,,,
60,08/09/21 12:36:32 PM,20.901,6200.0,,,,
61,08/09/21 06:36:32 PM,22.238,1377.8,,,,
62,08/10/21 12:36:32 AM,16.713,0.0,,,,
63,08/10/21 06:36:32 AM,16.903,32.3,,,,
64,08/10/21 12:36:32 PM,23.677,7233.4,,,,
65,08/10/21 06:36:32 PM,24.545,1044.1,,,,
66,08/11/21 12:36:32 AM,19.948,0.0,,,,
67,08/11/21 06:36:32 AM,20.615,32.3,,,,
68,08/11/21 12:36:32 PM,28.754,8611.2,,,,
69,08/11/21 06:36:32 PM,28.159,1248.6,,,,
70,08/12/21 12:36:32 AM,22.908,0.0,,,,
71,08/12/21 06:36:32 AM,21.760,96.9,,,,
72,08/12/21 12:36:32 PM,29.252,6544.5,,,,
73,08/12/21 06:36:32 PM,28.159,1377.8,,,,
74,08/13/21 12:36:32 AM,22.908,0.0,,,,
75,08/13/21 06:36:32 AM,21.855,118.4,,,,
76,08/13/21 12:36:32 PM,27.468,3100.0,,,,
77,08/13/21 06:36:32 PM,24.158,581.3,,,,
78,08/14/21 12:36:32 AM,20.710,0.0,,,,
79,08/14/21 06:36:32 AM,19.662,86.1,,,,
80,08/14/21 12:36:32 PM,25.902,6200.0,,,,
81,08/14/21 06:36:32 PM,26.488,828.8,,,,
82,08/15/21 12:36:32 AM,21.187,0.0,,,,
83,08/15/21 06:36:32 AM,20.519,43.1,,,,
84,08/15/21 12:36:32 PM,26.292,6200.0,,,,
85,08/15/21 06:36:32 PM,24.448,1151.7,,,,
86,08/16/21 12:36:32 AM,19.187,0.0,,,,
87,08/16/21 06:36:32 AM,17.379,21.5,,,,
88,08/16/21 12:36:32 PM,24.448,5511.1,,,,
89,08/16/21 06:36:32 PM,20.805,1313.2,,,,
90,08/17/21 12:36:32 AM,13.846,0.0,,,,
91,08/17/21 06:36:32 AM,8.382,21.5,,,,
92,08/17/21 12:36:32 PM,9.669,4650.0,,,,
93,08/17/21 06:36:32 PM,10.455,172.2,,,,
94,08/18/21 12:36:32 AM,9.768,0.0,,,,
95,08/18/21 06:36:32 AM,8.182,53.8,,,,
96,08/18/21 12:36:32 PM,16.903,1463.9,,,,
97,08/18/21 06:36:32 PM,17.094,1280.9,,,,
98,08/19/21 12:36:32 AM,12.497,0.0,,,,
99,08/19/21 06:36:32 AM,11.625,21.5,,,,
