"Plot Title: 10169129"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Good Battery","Bad Battery","Coupler Attached","Coupler Detached","End Of File"
91,08/17/21 12:36:32 AM,13.269,0.0,2.85,,,,,
92,08/17/21 06:36:32 AM,7.983,96.9,2.81,,,,,
93,08/17/21 12:36:32 PM,9.768,333.7,2.79,,,,,
94,08/17/21 06:36:32 PM,10.063,0.0,2.79,,,,,
95,08/18/21 12:36:32 AM,9.472,0.0,2.81,,,,,
96,08/18/21 06:36:32 AM,8.581,32.3,2.79,,,,,
97,08/18/21 12:36:32 PM,15.473,495.1,2.81,,,,,
98,08/18/21 06:36:32 PM,16.237,333.7,2.83,,,,,
99,08/19/21 12:36:32 AM,12.304,0.0,2.81,,,,,
100,08/19/21 06:36:32 AM,11.722,0.0,2.79,,,,,
101,08/19/21 12:36:32 PM,17.379,1248.6,2.83,,,,,
102,08/19/21 06:36:32 PM,16.808,247.6,2.83,,,,,
103,08/20/21 12:36:32 AM,13.173,0.0,2.83,,,,,
104,08/20/21 06:36:32 AM,11.236,10.8,2.81,,,,,
105,08/20/21 12:36:32 PM,14.134,1377.8,2.83,,,,,
106,08/20/21 06:36:32 PM,13.269,172.2,2.81,,,,,
107,08/21/21 12:36:32 AM,10.553,0.0,2.79,,,,,
108,08/21/21 06:36:32 AM,8.879,32.3,2.79,,,,,
109,08/21/21 12:36:32 PM,11.139,775.0,2.79,,,,,
110,08/21/21 06:36:32 PM,12.883,312.2,2.81,,,,,
111,08/22/21 12:36:32 AM,9.866,0.0,2.77,,,,,
112,08/22/21 06:36:32 AM,9.275,21.5,2.79,,,,,
113,08/22/21 12:36:32 PM,14.996,1216.3,2.83,,,,,
114,08/22/21 06:36:32 PM,12.980,409.0,2.81,,,,,
115,08/23/21 12:36:32 AM,9.176,0.0,2.79,,,,,
116,08/23/21 06:36:32 AM,7.882,43.1,2.77,,,,,
117,08/23/21 12:36:32 PM,14.613,1184.0,2.81,,,,,
118,08/23/21 06:36:32 PM,14.613,236.8,2.83,,,,,
119,08/24/21 12:36:32 AM,10.259,0.0,2.79,,,,,
120,08/24/21 06:36:32 AM,10.357,21.5,2.79,,,,,
121,08/24/21 12:36:32 PM,18.711,1270.1,2.83,,,,,
122,08/24/21 06:36:32 PM,16.713,86.1,2.83,,,,,
123,08/25/21 12:36:32 AM,12.304,0.0,2.81,,,,,
124,08/25/21 06:36:32 AM,11.236,150.7,2.79,,,,,
125,08/25/21 12:36:32 PM,17.284,1194.8,2.83,,,,,
126,08/25/21 06:36:32 PM,14.900,21.5,2.85,,,,,
127,08/26/21 12:36:32 AM,11.625,0.0,2.81,,,,,
128,08/26/21 06:36:32 AM,10.259,21.5,2.79,,,,,
129,08/26/21 12:36:32 PM,16.141,688.9,2.83,,,,,
130,08/26/21 06:36:32 PM,15.378,21.5,2.83,,,,,
131,08/27/21 12:36:32 AM,12.304,0.0,2.81,,,,,
132,08/27/21 06:36:32 AM,11.041,86.1,2.81,,,,,
133,08/27/21 12:36:32 PM,16.523,1054.9,2.83,,,,,
134,08/27/21 06:36:32 PM,15.760,183.0,2.83,,,,,
135,08/28/21 12:36:32 AM,11.722,0.0,2.81,,,,,
136,08/28/21 06:36:32 AM,11.431,0.0,2.81,,,,,
137,08/28/21 12:36:32 PM,20.138,1130.2,2.83,,,,,
138,08/28/21 06:36:32 PM,20.234,118.4,2.83,,,,,
139,08/29/21 12:36:32 AM,15.760,0.0,2.83,,,,,
140,08/29/21 06:36:32 AM,15.282,0.0,2.83,,,,,
141,08/29/21 12:36:32 PM,21.473,1065.6,2.85,,,,,
142,08/29/21 06:36:32 PM,19.282,129.2,2.87,,,,,
143,08/30/21 12:36:32 AM,14.038,0.0,2.85,,,,,
144,08/30/21 06:36:32 AM,10.944,43.1,2.83,,,,,
145,08/30/21 12:36:32 PM,15.091,1033.3,2.83,,,,,
146,08/30/21 06:36:32 PM,12.497,86.1,2.83,,,,,
147,08/31/21 12:36:32 AM,8.680,0.0,2.81,,,,,
148,08/31/21 06:36:32 AM,7.481,0.0,2.79,,,,,
149,08/31/21 12:36:32 PM,14.421,1033.3,2.83,,,,,
150,08/31/21 06:36:32 PM,12.883,118.4,2.83,,,,,
151,09/01/21 12:36:32 AM,9.077,0.0,2.81,,,,,
152,09/01/21 06:36:32 AM,7.782,0.0,2.79,,,,,
153,09/01/21 12:36:32 PM,16.523,1119.5,2.83,,,,,
154,09/01/21 06:36:32 PM,14.900,10.8,2.85,,,,,
155,09/02/21 12:36:32 AM,9.965,0.0,2.79,,,,,
156,09/02/21 06:36:32 AM,8.779,10.8,2.81,,,,,
157,09/02/21 12:36:32 PM,17.665,1141.0,2.83,,,,,
158,09/02/21 06:36:32 PM,17.094,10.8,2.83,,,,,
159,09/03/21 12:36:32 AM,13.173,0.0,2.83,,,,,
160,09/03/21 06:36:32 AM,12.497,32.3,2.83,,,,,
161,09/03/21 12:36:32 PM,19.758,1237.9,2.83,,,,,
162,09/03/21 06:36:32 PM,17.189,0.0,2.83,,,,,
163,09/04/21 12:36:32 AM,14.230,0.0,2.85,,,,,
164,09/04/21 06:36:32 AM,13.846,43.1,2.85,,,,,
165,09/04/21 12:36:32 PM,19.567,968.8,2.85,,,,,
166,09/04/21 06:36:32 PM,18.806,0.0,2.85,,,,,
167,09/05/21 12:36:32 AM,15.569,0.0,2.83,,,,,
168,09/05/21 06:36:32 AM,15.473,0.0,2.83,,,,,
169,09/05/21 12:36:32 PM,20.901,1227.1,2.85,,,,,
170,09/05/21 06:36:32 PM,19.853,0.0,2.85,,,,,
171,09/06/21 12:36:32 AM,15.473,0.0,2.83,,,,,
172,09/06/21 06:36:32 AM,15.091,0.0,2.83,,,,,
173,09/06/21 12:36:32 PM,22.238,1184.0,2.87,,,,,
174,09/06/21 06:36:32 PM,20.424,0.0,2.85,,,,,
175,09/07/21 12:36:32 AM,18.331,0.0,2.87,,,,,
176,09/07/21 06:36:32 AM,19.187,86.1,2.87,,,,,
177,09/07/21 12:36:32 PM,25.805,1184.0,2.87,,,,,
178,09/07/21 06:36:32 PM,20.901,0.0,2.87,,,,,
179,09/08/21 12:36:32 AM,17.094,0.0,2.85,,,,,
180,09/08/21 06:36:32 AM,16.332,10.8,2.85,,,,,
181,09/08/21 12:36:32 PM,21.760,1334.7,2.87,,,,,
182,09/08/21 06:36:32 PM,19.472,0.0,2.87,,,,,
183,09/09/21 12:36:32 AM,17.284,0.0,2.85,,,,,
184,09/09/21 06:36:32 AM,16.237,53.8,2.85,,,,,
185,09/09/21 12:36:32 PM,20.043,1367.0,2.85,,,,,
186,09/09/21 06:36:32 PM,17.665,10.8,2.87,,,,,
187,09/10/21 12:36:32 AM,15.664,0.0,2.85,,,,,
188,09/10/21 06:36:32 AM,12.690,0.0,2.85,,,,,
189,09/10/21 12:36:32 PM,12.304,75.3,2.85,,,,,
190,09/10/21 06:36:32 PM,11.625,0.0,2.85,,,,,
191,09/11/21 12:36:32 AM,10.846,0.0,2.83,,,,,
192,09/11/21 06:36:32 AM,7.782,0.0,2.83,,,,,
193,09/11/21 12:36:32 PM,13.942,1119.5,2.85,,,,,
194,09/11/21 06:36:32 PM,15.091,0.0,2.83,,,,,
195,09/12/21 12:36:32 AM,12.304,0.0,2.83,,,,,
196,09/12/21 06:36:32 AM,11.431,21.5,2.83,,,,,
197,09/12/21 12:36:32 PM,15.187,1377.8,2.83,,,,,
198,09/12/21 06:36:32 PM,13.173,0.0,2.85,,,,,
199,09/13/21 12:36:32 AM,10.748,0.0,2.83,,,,,
200,09/13/21 06:36:32 AM,9.176,96.9,2.83,,,,,
201,09/13/21 12:36:32 PM,13.942,1151.7,2.85,,,,,
202,09/13/21 06:36:32 PM,13.654,0.0,2.85,,,,,
203,09/14/21 12:36:32 AM,11.041,0.0,2.83,,,,,
204,09/14/21 06:36:32 AM,11.528,0.0,2.83,,,,,
205,09/14/21 12:36:32 PM,17.665,1054.9,2.83,,,,,
206,09/14/21 06:36:32 PM,16.141,0.0,2.83,,,,,
207,09/15/21 12:36:32 AM,12.690,0.0,2.85,,,,,
208,09/15/21 06:36:32 AM,11.334,32.3,2.83,,,,,
209,09/15/21 12:36:32 PM,15.569,1065.6,2.83,,,,,
210,09/15/21 06:36:32 PM,12.013,0.0,2.83,,,,,
211,09/16/21 12:36:32 AM,7.983,0.0,2.83,,,,,
212,09/16/21 06:36:32 AM,5.347,0.0,2.79,,,,,
213,09/16/21 12:36:32 PM,13.750,1097.9,2.85,,,,,
214,09/16/21 06:36:32 PM,12.497,0.0,2.83,,,,,
215,09/17/21 12:36:32 AM,12.401,0.0,2.83,,,,,
216,09/17/21 06:36:32 AM,10.748,32.3,2.81,,,,,
217,09/17/21 12:36:32 PM,16.237,1108.7,2.83,,,,,
218,09/17/21 06:36:32 PM,14.900,0.0,2.85,,,,,
219,09/18/21 12:36:32 AM,13.076,0.0,2.85,,,,,
220,09/18/21 06:36:32 AM,7.280,0.0,2.81,,,,,
221,09/18/21 12:36:32 PM,7.882,129.2,2.81,,,,,
222,09/18/21 06:36:32 PM,6.978,0.0,2.81,,,,,
223,09/19/21 12:36:32 AM,5.450,0.0,2.79,,,,,
224,09/19/21 06:36:32 AM,5.037,0.0,2.77,,,,,
225,09/19/21 12:36:32 PM,6.573,247.6,2.79,,,,,
226,09/19/21 06:36:32 PM,6.978,0.0,2.79,,,,,
227,09/20/21 12:36:32 AM,6.674,0.0,2.79,,,,,
228,09/20/21 06:36:32 AM,5.037,0.0,2.77,,,,,
229,09/20/21 12:36:32 PM,10.161,1065.6,2.79,,,,,
230,09/20/21 06:36:32 PM,11.139,0.0,2.81,,,,,
231,09/21/21 12:36:32 AM,9.373,0.0,2.81,,,,,
232,09/21/21 06:36:32 AM,9.077,0.0,2.81,,,,,
233,09/21/21 12:36:32 PM,16.046,1130.2,2.83,,,,,
234,09/21/21 06:36:32 PM,15.282,0.0,2.83,,,,,
235,09/22/21 12:36:32 AM,13.173,0.0,2.83,,,,,
236,09/22/21 06:36:32 AM,11.528,10.8,2.83,,,,,
237,09/22/21 12:36:32 PM,13.076,1270.1,2.83,,,,,
238,09/22/21 06:36:32 PM,11.334,0.0,2.81,,,,,
239,09/23/21 12:36:32 AM,9.275,0.0,2.81,,,,,
240,09/23/21 06:36:32 AM,8.282,0.0,2.81,,,,,
241,09/23/21 12:36:32 PM,15.569,1130.2,2.83,,,,,
242,09/23/21 06:36:32 PM,14.804,0.0,2.85,,,,,
243,09/24/21 12:36:32 AM,13.461,0.0,2.83,,,,,
244,09/24/21 06:36:32 AM,12.690,0.0,2.83,,,,,
245,09/24/21 12:36:32 PM,18.901,1130.2,2.85,,,,,
246,09/24/21 06:36:32 PM,18.140,0.0,2.85,,,,,
247,09/25/21 12:36:32 AM,15.569,0.0,2.83,,,,,
248,09/25/21 06:36:32 AM,14.996,10.8,2.85,,,,,
249,09/25/21 12:36:32 PM,18.806,1119.5,2.85,,,,,
250,09/25/21 06:36:32 PM,15.569,0.0,2.83,,,,,
251,09/26/21 12:36:32 AM,12.980,0.0,2.85,,,,,
252,09/26/21 06:36:32 AM,11.139,0.0,2.83,,,,,
253,09/26/21 12:36:32 PM,15.951,1108.7,2.83,,,,,
254,09/26/21 06:36:32 PM,14.038,0.0,2.85,,,,,
255,09/27/21 12:36:32 AM,10.455,0.0,2.83,,,,,
256,09/27/21 06:36:32 AM,10.846,0.0,2.83,,,,,
257,09/27/21 12:36:32 PM,7.682,139.9,2.81,,,,,
258,09/27/21 06:36:32 PM,5.757,0.0,2.79,,,,,
259,09/28/21 12:36:32 AM,4.415,0.0,2.79,,,,,
260,09/28/21 06:36:32 AM,4.311,32.3,2.79,,,,,
261,09/28/21 12:36:32 PM,5.347,366.0,2.77,,,,,
262,09/28/21 06:36:32 PM,4.934,0.0,2.77,,,,,
263,09/29/21 12:36:32 AM,4.311,0.0,2.79,,,,,
264,09/29/21 06:36:32 AM,4.311,43.1,2.79,,,,,
265,09/29/21 12:36:32 PM,8.879,1011.8,2.79,,,,,
266,09/29/21 06:36:32 PM,8.581,0.0,2.79,,,,,
267,09/30/21 12:36:32 AM,8.978,0.0,2.81,,,,,
268,09/30/21 06:36:32 AM,9.373,0.0,2.81,,,,,
269,09/30/21 12:36:32 PM,13.076,990.3,2.81,,,,,
270,09/30/21 06:36:32 PM,11.722,0.0,2.81,,,,,
271,10/01/21 12:36:32 AM,10.553,0.0,2.79,,,,,
272,10/01/21 06:36:32 AM,8.978,0.0,2.81,,,,,
273,10/01/21 12:36:32 PM,12.594,1033.3,2.81,,,,,
274,10/01/21 06:36:32 PM,11.528,0.0,2.81,,,,,
275,10/02/21 12:36:32 AM,10.161,0.0,2.79,,,,,
276,10/02/21 06:36:32 AM,9.965,0.0,2.79,,,,,
277,10/02/21 12:36:32 PM,14.613,1054.9,2.83,,,,,
278,10/02/21 06:36:32 PM,12.690,0.0,2.83,,,,,
279,10/03/21 12:36:32 AM,10.455,0.0,2.81,,,,,
280,10/03/21 06:36:32 AM,9.571,0.0,2.81,,,,,
281,10/03/21 12:36:32 PM,14.230,1097.9,2.83,,,,,
282,10/03/21 06:36:32 PM,12.787,0.0,2.83,,,,,
283,10/04/21 12:36:32 AM,11.528,0.0,2.81,,,,,
284,10/04/21 06:36:32 AM,11.916,32.3,2.81,,,,,
285,10/04/21 12:36:32 PM,14.709,753.5,2.85,,,,,
286,10/04/21 06:36:32 PM,12.594,0.0,2.83,,,,,
287,10/05/21 12:36:32 AM,10.846,0.0,2.81,,,,,
288,10/05/21 06:36:32 AM,9.077,10.8,2.81,,,,,
289,10/05/21 12:36:32 PM,11.139,1227.1,2.81,,,,,
290,10/05/21 06:36:32 PM,5.962,0.0,2.79,,,,,
291,10/06/21 12:36:32 AM,3.472,0.0,2.79,,,,,
292,10/06/21 06:36:32 AM,2.303,0.0,2.77,,,,,
293,10/06/21 12:36:32 PM,5.244,441.3,2.77,,,,,
294,10/06/21 06:36:32 PM,4.311,0.0,2.79,,,,,
295,10/07/21 12:36:32 AM,3.261,0.0,2.77,,,,,
296,10/07/21 06:36:32 AM,2.730,0.0,2.77,,,,,
297,10/07/21 12:36:32 PM,8.082,1011.8,2.79,,,,,
298,10/07/21 06:36:32 PM,7.079,0.0,2.77,,,,,
