"Plot Title: 10169143"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Bad Battery","End Of File"
100,07/13/14 03:00:00 PM,22.046,5166.7,2.89,,
101,07/13/14 09:00:00 PM,16.713,0.0,2.87,,
102,07/14/14 03:00:00 AM,14.996,0.0,2.87,,
103,07/14/14 09:00:00 AM,16.618,979.5,2.87,,
104,07/14/14 03:00:00 PM,24.255,4477.8,2.91,,
105,07/14/14 09:00:00 PM,18.521,0.0,2.89,,
106,07/15/14 03:00:00 AM,16.523,0.0,2.87,,
107,07/15/14 09:00:00 AM,18.996,1001.0,2.89,,
108,07/15/14 03:00:00 PM,27.272,4650.0,2.91,,
109,07/15/14 09:00:00 PM,21.664,0.0,2.89,,
110,07/16/14 03:00:00 AM,19.377,0.0,2.89,,
111,07/16/14 09:00:00 AM,20.138,1248.6,2.89,,
112,07/16/14 03:00:00 PM,26.488,4477.8,2.91,,
113,07/16/14 09:00:00 PM,19.377,0.0,2.89,,
114,07/17/14 03:00:00 AM,16.141,0.0,2.87,,
115,07/17/14 09:00:00 AM,15.760,904.2,2.87,,
116,07/17/14 03:00:00 PM,22.238,4650.0,2.89,,
117,07/17/14 09:00:00 PM,15.282,0.0,2.87,,
118,07/18/14 03:00:00 AM,13.076,0.0,2.87,,
119,07/18/14 09:00:00 AM,13.846,914.9,2.87,,
120,07/18/14 03:00:00 PM,20.519,3272.2,2.87,,
121,07/18/14 09:00:00 PM,15.664,0.0,2.87,,
122,07/19/14 03:00:00 AM,14.134,0.0,2.87,,
123,07/19/14 09:00:00 AM,15.091,914.9,2.85,,
124,07/19/14 03:00:00 PM,23.292,4650.0,2.89,,
125,07/19/14 09:00:00 PM,17.284,0.0,2.87,,
126,07/20/14 03:00:00 AM,14.900,0.0,2.87,,
127,07/20/14 09:00:00 AM,14.804,882.6,2.87,,
128,07/20/14 03:00:00 PM,18.901,4650.0,2.89,,
129,07/20/14 09:00:00 PM,13.076,0.0,2.85,,
130,07/21/14 03:00:00 AM,11.528,0.0,2.85,,
131,07/21/14 09:00:00 AM,13.654,2238.9,2.87,,
132,07/21/14 03:00:00 PM,15.569,1808.3,2.85,,
133,07/21/14 09:00:00 PM,13.269,0.0,2.85,,
134,07/22/14 03:00:00 AM,13.461,0.0,2.85,,
135,07/22/14 09:00:00 AM,13.942,1894.5,2.87,,
136,07/22/14 03:00:00 PM,17.665,3616.7,2.87,,
137,07/22/14 09:00:00 PM,12.110,0.0,2.85,,
138,07/23/14 03:00:00 AM,12.207,0.0,2.85,,
139,07/23/14 09:00:00 AM,8.779,764.2,2.85,,
140,07/23/14 03:00:00 PM,9.275,172.2,2.87,,
141,07/23/14 09:00:00 PM,7.280,0.0,2.85,,
142,07/24/14 03:00:00 AM,6.674,0.0,2.83,,
143,07/24/14 09:00:00 AM,7.179,1324.0,2.85,,
144,07/24/14 03:00:00 PM,11.431,5338.9,2.85,,
145,07/24/14 09:00:00 PM,9.275,0.0,2.85,,
146,07/25/14 03:00:00 AM,8.082,0.0,2.85,,
147,07/25/14 09:00:00 AM,9.768,818.1,2.83,,
148,07/25/14 03:00:00 PM,17.284,4477.8,2.85,,
149,07/25/14 09:00:00 PM,13.461,0.0,2.85,,
150,07/26/14 03:00:00 AM,11.819,0.0,2.85,,
151,07/26/14 09:00:00 AM,13.365,861.1,2.85,,
152,07/26/14 03:00:00 PM,20.805,4650.0,2.87,,
153,07/26/14 09:00:00 PM,16.332,0.0,2.85,,
