"Plot Title: 10166323"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","End Of File"
104,07/15/14 09:00:00 AM,26.879,9300.1,2.93,
105,07/15/14 03:00:00 PM,25.222,2325.0,2.93,
106,07/15/14 09:00:00 PM,19.377,0.0,2.95,
107,07/16/14 03:00:00 AM,16.999,0.0,2.93,
108,07/16/14 09:00:00 AM,26.488,7577.8,2.93,
109,07/16/14 03:00:00 PM,24.351,2497.2,2.95,
110,07/16/14 09:00:00 PM,16.903,0.0,2.93,
111,07/17/14 03:00:00 AM,13.750,0.0,2.93,
112,07/17/14 09:00:00 AM,22.621,5338.9,2.93,
113,07/17/14 03:00:00 PM,20.138,2152.8,2.93,
114,07/17/14 09:00:00 PM,13.365,0.0,2.93,
115,07/18/14 03:00:00 AM,10.553,0.0,2.91,
116,07/18/14 09:00:00 AM,19.948,4305.6,2.93,
117,07/18/14 03:00:00 PM,20.234,4133.4,2.93,
118,07/18/14 09:00:00 PM,13.558,0.0,2.93,
119,07/19/14 03:00:00 AM,11.916,0.0,2.91,
120,07/19/14 09:00:00 AM,20.615,3961.1,2.93,
121,07/19/14 03:00:00 PM,21.091,2066.7,2.93,
122,07/19/14 09:00:00 PM,15.187,0.0,2.91,
123,07/20/14 03:00:00 AM,12.980,0.0,2.93,
124,07/20/14 09:00:00 AM,20.138,4133.4,2.91,
125,07/20/14 03:00:00 PM,17.950,2152.8,2.93,
126,07/20/14 09:00:00 PM,11.819,0.0,2.91,
127,07/21/14 03:00:00 AM,10.161,0.0,2.89,
128,07/21/14 09:00:00 AM,15.378,5511.1,2.91,
129,07/21/14 03:00:00 PM,17.284,4477.8,2.91,
130,07/21/14 09:00:00 PM,12.497,0.0,2.91,
131,07/22/14 03:00:00 AM,12.304,0.0,2.91,
132,07/22/14 09:00:00 AM,15.282,3444.5,2.91,
133,07/22/14 03:00:00 PM,18.616,2755.6,2.93,
134,07/22/14 09:00:00 PM,11.625,0.0,2.91,
135,07/23/14 03:00:00 AM,11.722,0.0,2.91,
136,07/23/14 09:00:00 AM,9.176,1162.5,2.91,
137,07/23/14 03:00:00 PM,9.768,624.3,2.89,
138,07/23/14 09:00:00 PM,7.079,0.0,2.89,
139,07/24/14 03:00:00 AM,6.268,0.0,2.87,
140,07/24/14 09:00:00 AM,8.581,2755.6,2.89,
141,07/24/14 03:00:00 PM,11.139,2583.4,2.89,
142,07/24/14 09:00:00 PM,8.282,0.0,2.89,
143,07/25/14 03:00:00 AM,6.877,0.0,2.87,
144,07/25/14 09:00:00 AM,12.980,4305.6,2.89,
145,07/25/14 03:00:00 PM,15.760,1550.0,2.89,
146,07/25/14 09:00:00 PM,11.431,0.0,2.89,
147,07/26/14 03:00:00 AM,9.866,0.0,2.89,
148,07/26/14 09:00:00 AM,16.808,3788.9,2.91,
149,07/26/14 03:00:00 PM,19.092,1722.2,2.93,
150,07/26/14 09:00:00 PM,14.325,0.0,2.93,
151,07/27/14 03:00:00 AM,12.980,0.0,2.91,
152,07/27/14 09:00:00 AM,19.567,3788.9,2.93,
153,07/27/14 03:00:00 PM,21.473,5338.9,2.93,
154,07/27/14 09:00:00 PM,17.189,0.0,2.93,
155,07/28/14 03:00:00 AM,15.091,0.0,2.91,
156,07/28/14 09:00:00 AM,21.282,2755.6,2.93,
157,07/28/14 03:00:00 PM,23.100,1808.3,2.93,
158,07/28/14 09:00:00 PM,17.665,0.0,2.93,
159,07/29/14 03:00:00 AM,16.046,0.0,2.93,
160,07/29/14 09:00:00 AM,20.615,6544.5,2.93,
161,07/29/14 03:00:00 PM,22.621,2411.1,2.93,
162,07/29/14 09:00:00 PM,16.999,0.0,2.93,
163,07/30/14 03:00:00 AM,14.996,0.0,2.93,
