"Plot Title: 10169155"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Bad Battery","Coupler Attached","Stopped","End Of File"
94,07/12/14 03:00:00 PM,26.585,5166.7,2.95,,,,
95,07/12/14 09:00:00 PM,19.567,0.0,2.95,,,,
96,07/13/14 03:00:00 AM,18.901,0.0,2.95,,,,
97,07/13/14 09:00:00 AM,19.758,850.4,2.93,,,,
98,07/13/14 03:00:00 PM,23.581,6200.0,2.95,,,,
99,07/13/14 09:00:00 PM,16.523,0.0,2.93,,,,
100,07/14/14 03:00:00 AM,14.709,0.0,2.93,,,,
101,07/14/14 09:00:00 AM,19.282,2669.5,2.93,,,,
102,07/14/14 03:00:00 PM,24.158,5166.7,2.95,,,,
103,07/14/14 09:00:00 PM,18.140,0.0,2.93,,,,
104,07/15/14 03:00:00 AM,16.999,0.0,2.93,,,,
105,07/15/14 09:00:00 AM,21.282,2755.6,2.93,,,,
106,07/15/14 03:00:00 PM,27.468,5166.7,2.95,,,,
107,07/15/14 09:00:00 PM,21.187,0.0,2.95,,,,
108,07/16/14 03:00:00 AM,19.567,0.0,2.95,,,,
109,07/16/14 09:00:00 AM,21.855,2927.8,2.93,,,,
110,07/16/14 03:00:00 PM,26.488,5338.9,2.95,,,,
111,07/16/14 09:00:00 PM,18.901,0.0,2.95,,,,
112,07/17/14 03:00:00 AM,15.760,0.0,2.93,,,,
113,07/17/14 09:00:00 AM,17.475,2669.5,2.93,,,,
114,07/17/14 03:00:00 PM,22.142,5166.7,2.93,,,,
115,07/17/14 09:00:00 PM,14.804,0.0,2.93,,,,
116,07/18/14 03:00:00 AM,13.365,0.0,2.93,,,,
117,07/18/14 09:00:00 AM,15.187,2583.4,2.91,,,,
118,07/18/14 03:00:00 PM,21.187,4994.5,2.93,,,,
119,07/18/14 09:00:00 PM,14.900,0.0,2.93,,,,
120,07/19/14 03:00:00 AM,13.654,0.0,2.93,,,,
121,07/19/14 09:00:00 AM,15.855,2583.4,2.91,,,,
122,07/19/14 03:00:00 PM,23.677,5166.7,2.93,,,,
123,07/19/14 09:00:00 PM,16.808,0.0,2.93,,,,
124,07/20/14 03:00:00 AM,14.421,0.0,2.93,,,,
125,07/20/14 09:00:00 AM,15.378,2497.2,2.91,,,,
126,07/20/14 03:00:00 PM,18.711,5511.1,2.93,,,,
127,07/20/14 09:00:00 PM,12.594,0.0,2.91,,,,
128,07/21/14 03:00:00 AM,10.846,0.0,2.89,,,,
