"Plot Title: 10166321"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Coupler Attached","Coupler Detached","Stopped","End Of File"
94,07/12/14 09:00:00 PM,18.711,0.0,2.95,,,,
95,07/13/14 03:00:00 AM,17.094,0.0,2.95,,,,
96,07/13/14 09:00:00 AM,17.665,1550.0,2.93,,,,
97,07/13/14 03:00:00 PM,20.615,3100.0,2.93,,,,
98,07/13/14 09:00:00 PM,16.713,0.0,2.93,,,,
99,07/14/14 03:00:00 AM,14.996,0.0,2.95,,,,
100,07/14/14 09:00:00 AM,18.426,17911.2,2.93,,,,
101,07/14/14 03:00:00 PM,21.664,1636.1,2.95,,,,
102,07/14/14 09:00:00 PM,17.379,0.0,2.93,,,,
103,07/15/14 03:00:00 AM,15.282,0.0,2.93,,,,
104,07/15/14 09:00:00 AM,19.567,19289.0,2.95,,,,
105,07/15/14 03:00:00 PM,23.966,1722.2,2.95,,,,
106,07/15/14 09:00:00 PM,19.853,0.0,2.93,,,,
107,07/16/14 03:00:00 AM,17.760,0.0,2.95,,,,
108,07/16/14 09:00:00 AM,21.378,19289.0,2.93,,,,
109,07/16/14 03:00:00 PM,23.581,1808.3,2.95,,,,
110,07/16/14 09:00:00 PM,17.950,0.0,2.95,,,,
111,07/17/14 03:00:00 AM,14.996,0.0,2.95,,,,
112,07/17/14 09:00:00 AM,18.331,26178.0,2.93,,,,
113,07/17/14 03:00:00 PM,20.329,1636.1,2.93,,,,
114,07/17/14 09:00:00 PM,14.517,0.0,2.95,,,,
115,07/18/14 03:00:00 AM,12.304,0.0,2.93,,,,
116,07/18/14 09:00:00 AM,16.618,30311.3,2.93,,,,
117,07/18/14 03:00:00 PM,19.758,3272.2,2.93,,,,
118,07/18/14 09:00:00 PM,14.709,0.0,2.93,,,,
119,07/19/14 03:00:00 AM,13.269,0.0,2.93,,,,
120,07/19/14 09:00:00 AM,18.140,30311.3,2.93,,,,
121,07/19/14 03:00:00 PM,20.901,1636.1,2.93,,,,
122,07/19/14 09:00:00 PM,16.141,0.0,2.93,,,,
123,07/20/14 03:00:00 AM,14.421,0.0,2.93,,,,
124,07/20/14 09:00:00 AM,18.331,31689.1,2.93,,,,
125,07/20/14 03:00:00 PM,17.570,1636.1,2.93,,,,
126,07/20/14 09:00:00 PM,12.980,0.0,2.93,,,,
127,07/21/14 03:00:00 AM,11.139,0.0,2.91,,,,
128,07/21/14 09:00:00 AM,14.709,3444.5,2.93,,,,
129,07/21/14 03:00:00 PM,16.046,1636.1,2.91,,,,
130,07/21/14 09:00:00 PM,13.173,0.0,2.91,,,,
131,07/22/14 03:00:00 AM,13.076,0.0,2.91,,,,
132,07/22/14 09:00:00 AM,14.517,2325.0,2.91,,,,
133,07/22/14 03:00:00 PM,18.236,2669.5,2.93,,,,
134,07/22/14 09:00:00 PM,2.730,0.0,2.89,,,,
135,07/23/14 03:00:00 AM,7.882,0.0,2.89,,,,
136,07/23/14 09:00:00 AM,8.680,1894.5,2.89,,,,
137,07/23/14 03:00:00 PM,9.866,312.2,2.89,,,,
138,07/23/14 09:00:00 PM,7.983,0.0,2.89,,,,
139,07/24/14 03:00:00 AM,7.481,0.0,2.89,,,,
140,07/24/14 09:00:00 AM,9.077,3272.2,2.89,,,,
141,07/24/14 03:00:00 PM,13.365,4994.5,2.91,,,,
142,07/24/14 09:00:00 PM,9.176,0.0,2.89,,,,
143,07/25/14 03:00:00 AM,7.983,0.0,2.89,,,,
144,07/25/14 09:00:00 AM,23.966,275557.4,2.91,,,,
145,07/25/14 03:00:00 PM,17.379,2583.4,2.91,,,,
146,07/25/14 09:00:00 PM,12.207,0.0,2.91,,,,
147,07/26/14 03:00:00 AM,10.553,0.0,2.89,,,,
148,07/26/14 09:00:00 AM,23.100,264535.1,2.91,,,,
149,07/26/14 03:00:00 PM,20.138,2669.5,2.93,,,,
150,07/26/14 09:00:00 PM,14.709,0.0,2.93,,,,
151,07/27/14 03:00:00 AM,13.365,0.0,2.93,,,,
152,07/27/14 09:00:00 AM,20.901,165334.4,2.93,,,,
153,07/27/14 03:00:00 PM,22.046,6544.5,2.93,,,,
154,07/27/14 09:00:00 PM,16.999,0.0,2.93,,,,
155,07/28/14 03:00:00 AM,15.378,0.0,2.91,,,,
156,07/28/14 09:00:00 AM,22.525,242490.5,2.93,,,,
157,07/28/14 03:00:00 PM,23.581,2755.6,2.95,,,,
158,07/28/14 09:00:00 PM,18.140,0.0,2.95,,,,
159,07/29/14 03:00:00 AM,16.427,0.0,2.93,,,,
160,07/29/14 09:00:00 AM,19.853,41333.6,2.93,,,,
161,07/29/14 03:00:00 PM,23.196,3100.0,2.95,,,,
162,07/29/14 09:00:00 PM,17.284,0.0,2.95,,,,
163,07/30/14 03:00:00 AM,15.569,0.0,2.93,,,,
164,07/30/14 09:00:00 AM,23.196,209423.6,2.93,,,,
165,07/30/14 03:00:00 PM,23.581,2755.6,2.95,,,,
166,07/30/14 09:00:00 PM,18.236,0.0,2.95,,,,
167,07/31/14 03:00:00 AM,16.523,0.0,2.93,,,,
