Plot Title: 10169139,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,Coupler Attached,Coupler Detached,Stopped,End Of File
43,9/16/2020 8:16,17.189,1173.3,2.89,,,,,
44,9/16/2020 14:16,22.812,3100,2.91,,,,,
45,9/16/2020 20:16,14.421,0,2.89,,,,,
46,9/17/2020 2:16,12.883,0,2.87,,,,,
47,9/17/2020 8:16,15.282,1119.5,2.85,,,,,
48,9/17/2020 14:16,19.758,2325,2.87,,,,,
49,9/17/2020 20:16,13.654,0,2.87,,,,,
50,9/18/2020 2:16,12.401,0,2.85,,,,,
51,9/18/2020 8:16,11.528,376.7,2.85,,,,,
52,9/18/2020 14:16,8.879,96.9,2.85,,,,,
53,9/18/2020 20:16,8.581,0,2.83,,,,,
54,9/19/2020 2:16,8.779,0,2.83,,,,,
55,9/19/2020 8:16,9.176,430.6,2.83,,,,,
56,9/19/2020 14:16,9.669,2583.4,2.81,,,,,
57,9/19/2020 20:16,8.978,0,2.83,,,,,
58,9/20/2020 2:16,8.082,0,2.81,,,,,
59,9/20/2020 8:16,8.382,710.4,2.81,,,,,
60,9/20/2020 14:16,17.094,3788.9,2.83,,,,,
61,9/20/2020 20:16,11.528,0,2.83,,,,,
62,9/21/2020 2:16,10.846,0,2.81,,,,,
63,9/21/2020 8:16,10.846,742.7,2.81,,,,,
64,9/21/2020 14:16,13.654,1980.6,2.85,,,,,
65,9/21/2020 20:16,11.041,0,2.81,,,,,
66,9/22/2020 2:16,10.259,0,2.81,,,,,
67,9/22/2020 8:16,9.866,1463.9,2.79,,,,,
68,9/22/2020 14:16,14.421,2927.8,2.85,,,,,
69,9/22/2020 20:16,11.236,0,2.81,,,,,
70,9/23/2020 2:16,10.944,0,2.81,,,,,
71,9/23/2020 8:16,12.207,1377.8,2.81,,,,,
72,9/23/2020 14:16,15.951,3788.9,2.83,,,,,
73,9/23/2020 20:16,9.866,0,2.79,,,,,
74,9/24/2020 2:16,8.182,0,2.79,,,,,
75,9/24/2020 8:16,7.381,1463.9,2.79,,,,,
76,9/24/2020 14:16,10.063,2152.8,2.79,,,,,
77,9/24/2020 20:16,7.782,0,2.79,,,,,
78,9/25/2020 2:16,7.381,0,2.77,,,,,
79,9/25/2020 8:16,5.347,226,2.75,Logged,,,,
80,9/25/2020 14:16,8.282,139.9,2.77,,,,,
81,9/25/2020 20:16,8.779,0,2.79,,,,,
82,9/26/2020 2:16,7.481,0,2.77,,,,,
83,9/26/2020 8:16,6.978,1097.9,2.77,,,,,
84,9/26/2020 14:16,7.983,473.6,2.77,,,,,
85,9/26/2020 20:16,7.481,0,2.77,,,,,
86,9/27/2020 2:16,6.674,0,2.75,,,,,
87,9/27/2020 8:16,6.674,645.8,2.75,,,,,
88,9/27/2020 14:16,14.517,22044.6,2.81,,,,,
89,9/27/2020 20:16,10.455,0,2.79,,,,,
90,9/28/2020 2:16,9.373,0,2.79,,,,,
91,9/28/2020 8:16,12.207,721.2,2.79,,,,,
92,9/28/2020 14:16,23.773,17911.2,2.85,,,,,
93,9/28/2020 20:16,16.237,0,2.83,,,,,
94,9/29/2020 2:16,14.325,0,2.83,,,,,
95,9/29/2020 8:16,15.664,764.2,2.83,,,,,
96,9/29/2020 14:16,25.902,18600.1,2.85,,,,,
97,9/29/2020 20:16,17.855,0,2.83,,,,,
98,9/30/2020 2:16,16.999,0,2.83,,,,,
99,9/30/2020 8:16,18.236,710.4,2.83,,,,,
100,9/30/2020 14:16,26.39,9300.1,2.87,,,,,
101,9/30/2020 20:16,18.806,0,2.85,,,,,
102,10/1/2020 2:16,19.377,0,2.85,,,,,
103,10/1/2020 8:16,18.996,796.5,2.85,,,,,
104,10/1/2020 14:16,24.738,14466.8,2.87,,,,,
105,10/1/2020 20:16,19.187,0,2.85,,,,,
106,10/2/2020 2:16,18.331,0,2.85,,,,,
107,10/2/2020 8:16,18.14,753.5,2.83,,,,,
108,10/2/2020 14:16,23.196,11711.2,2.85,,,,,
109,10/2/2020 20:16,18.14,0,2.83,,,,,
110,10/3/2020 2:16,16.999,0,2.83,,,,,
111,10/3/2020 8:16,16.332,807.3,2.83,,,,,
112,10/3/2020 14:16,21.187,10677.8,2.83,,,,,
113,10/3/2020 20:16,15.951,0,2.83,,,,,
