Plot Title: 10169155,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,Coupler Attached,Stopped,End Of File
110,10/3/2020 2:16,17.094,0,2.85,,,,
111,10/3/2020 8:16,16.618,1377.8,2.85,,,,
112,10/3/2020 14:16,21.282,4822.3,2.87,,,,
113,10/3/2020 20:16,16.141,0,2.85,,,,
114,10/4/2020 2:16,14.709,0,2.85,,,,
115,10/4/2020 8:16,14.996,1205.6,2.85,,,,
116,10/4/2020 14:16,19.282,4477.8,2.87,,,,
117,10/4/2020 20:16,14.134,0,2.85,,,,
118,10/5/2020 2:16,13.269,0,2.85,,,,
119,10/5/2020 8:16,15.187,1173.3,2.83,,,,
120,10/5/2020 14:16,22.142,4305.6,2.87,,,,
121,10/5/2020 20:16,16.427,0,2.85,,,,
122,10/6/2020 2:16,17.475,0,2.85,,,,
123,10/6/2020 8:16,17.95,1216.3,2.85,,,,
124,10/6/2020 14:16,23.869,4650,2.87,,,,
125,10/6/2020 20:16,17.475,0,2.85,,,,
126,10/7/2020 2:16,16.523,0,2.85,,,,
127,10/7/2020 8:16,16.427,1722.2,2.83,,,,
128,10/7/2020 14:16,19.948,4650,2.85,,,,
129,10/7/2020 20:16,14.804,0,2.85,,,,
130,10/8/2020 2:16,13.846,0,2.85,,,,
131,10/8/2020 8:16,12.98,1184,2.85,,,,
132,10/8/2020 14:16,18.236,4305.6,2.85,,,,
133,10/8/2020 20:16,12.497,0,2.85,,,,
134,10/9/2020 2:16,12.013,0,2.83,,,,
135,10/9/2020 8:16,13.076,1237.9,2.83,,,,
136,10/9/2020 14:16,18.236,4477.8,2.83,,,,
137,10/9/2020 20:16,11.916,0,2.83,,,,
138,10/10/2020 2:16,8.581,0,2.81,,,,
139,10/10/2020 8:16,6.775,96.9,2.79,,,,
140,10/10/2020 14:16,4.831,312.2,2.77,,,,
141,10/10/2020 20:16,3.893,0,2.79,,,,
142,10/11/2020 2:16,3.683,0,2.77,,,,
143,10/11/2020 8:16,3.893,495.1,2.77,,,,
144,10/11/2020 14:16,5.655,462.9,2.77,,,,
145,10/11/2020 20:16,7.481,0,2.79,,,,
146,10/12/2020 2:16,8.481,0,2.79,,,,
147,10/12/2020 8:16,5.962,796.5,2.77,,,,
148,10/12/2020 14:16,8.879,5511.1,2.79,,,,
149,10/12/2020 20:16,6.877,0,2.77,,,,
150,10/13/2020 2:16,6.978,0,2.77,,,,
151,10/13/2020 8:16,8.382,129.2,2.79,,,,
152,10/13/2020 14:16,9.176,990.3,2.79,,,,
153,10/13/2020 20:16,6.37,0,2.77,,,,
154,10/14/2020 2:16,4.415,0,2.77,,,,
155,10/14/2020 8:16,4.207,1356.3,2.77,,,,
156,10/14/2020 14:16,7.28,1636.1,2.77,,,,
157,10/14/2020 20:16,4.831,0,2.75,Logged,,,
158,10/15/2020 2:16,3.367,0,2.75,,,,
159,10/15/2020 8:16,3.472,1130.2,2.75,,,,
160,10/15/2020 14:16,10.748,4133.4,2.77,,,,
161,10/15/2020 20:16,8.779,0,2.79,,,,
162,10/16/2020 2:16,9.472,0,2.79,,,,
163,10/16/2020 8:16,11.236,1097.9,2.79,,,,
164,10/16/2020 14:16,15.187,4305.6,2.81,,,,
165,10/16/2020 20:16,10.259,0,2.79,,,,
166,10/17/2020 2:16,9.077,0,2.81,,,,
167,10/17/2020 8:16,9.275,1377.8,2.81,,,,
168,10/17/2020 14:16,12.11,4305.6,2.81,,,,
169,10/17/2020 20:16,8.779,0,2.81,,,,
170,10/18/2020 2:16,8.182,0,2.79,,,,
171,10/18/2020 8:16,8.182,570.5,2.79,,,,
172,10/18/2020 14:16,8.382,1377.8,2.79,,,,
173,10/18/2020 20:16,9.077,0,2.79,,,,
174,10/19/2020 2:16,8.182,0,2.79,,,,
175,10/19/2020 8:16,7.079,215.3,2.77,,,,
176,10/19/2020 14:16,10.944,3961.1,2.79,,,,
177,10/19/2020 20:16,7.28,0,2.79,,,,
178,10/20/2020 2:16,5.962,0,2.77,,,,
179,10/20/2020 8:16,7.179,1119.5,2.77,,,,
180,10/20/2020 14:16,11.431,6200,2.79,,,,
181,10/20/2020 20:16,8.082,0,2.79,,,,
182,10/21/2020 2:16,5.757,0,2.77,,,,
183,10/21/2020 8:16,4.102,839.6,2.77,,,,
184,10/21/2020 14:16,4.415,2927.8,2.77,,,,
185,10/21/2020 20:16,0.453,0,2.74,,,,
186,10/22/2020 2:16,-0.437,0,2.75,,,,
187,10/22/2020 8:16,-0.437,1205.6,2.74,,,,
188,10/22/2020 14:16,5.347,4477.8,2.75,,,,
189,10/22/2020 20:16,1.33,0,2.74,,,,
190,10/23/2020 2:16,1.98,0,2.74,,,,
191,10/23/2020 8:16,3.367,1076.4,2.75,,,,
192,10/23/2020 14:16,6.268,925.7,2.75,,,,
193,10/23/2020 20:16,5.86,0,2.75,,,,
194,10/24/2020 2:16,6.775,0,2.77,,,,
195,10/24/2020 8:16,3.578,581.3,2.75,,,,
196,10/24/2020 14:16,3.998,1636.1,2.75,,,,
197,10/24/2020 20:16,-1.456,0,2.74,,,,
198,10/25/2020 2:16,-4.636,0,2.7,,,,
199,10/25/2020 8:16,-6.754,1270.1,2.68,,,,
200,10/25/2020 14:16,-1.341,4477.8,2.72,,,,
201,10/25/2020 20:16,-2.377,0,2.72,,,,
202,10/26/2020 2:16,-0.549,0,2.72,,,,
203,10/26/2020 8:16,1.98,1291.7,2.74,,,,
204,10/26/2020 14:16,5.962,3961.1,2.75,,,,
205,10/26/2020 20:16,2.73,0,2.74,,,,
206,10/27/2020 2:16,4.727,0,2.75,,,,
207,10/27/2020 8:16,6.573,1087.2,2.75,,,,
208,10/27/2020 14:16,12.013,4305.6,2.79,,,,
209,10/27/2020 20:16,8.779,0,2.79,,,,
210,10/28/2020 2:16,9.669,0,2.77,,,,
