"Plot Title: 10169187"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10169187, SEN S/N: 10169187)","Intensity, Lux (LGR S/N: 10169187, SEN S/N: 10169187)","Batt, V (LGR S/N: 10169187, SEN S/N: 10169187)","Bad Battery (LGR S/N: 10169187)","End Of File (LGR S/N: 10169187)"
97,11/07/19 06:36:32 PM,12.497,0.0,2.85,,
98,11/08/19 12:36:32 AM,12.110,0.0,2.83,,
99,11/08/19 06:36:32 AM,11.916,0.0,2.83,,
100,11/08/19 12:36:32 PM,15.473,3100.0,2.83,,
101,11/08/19 06:36:32 PM,11.236,0.0,2.83,,
102,11/09/19 12:36:32 AM,10.944,0.0,2.83,,
103,11/09/19 06:36:32 AM,9.669,0.0,2.81,,
104,11/09/19 12:36:32 PM,13.365,3100.0,2.85,,
105,11/09/19 06:36:32 PM,8.978,0.0,2.83,,
106,11/10/19 12:36:32 AM,8.581,0.0,2.83,,
107,11/10/19 06:36:32 AM,8.581,0.0,2.81,,
108,11/10/19 12:36:32 PM,12.883,3616.7,2.83,,
109,11/10/19 06:36:32 PM,10.063,0.0,2.81,,
110,11/11/19 12:36:32 AM,7.983,0.0,2.81,,
111,11/11/19 06:36:32 AM,7.882,0.0,2.81,,
112,11/11/19 12:36:32 PM,12.013,3100.0,2.83,,
113,11/11/19 06:36:32 PM,10.748,0.0,2.81,,
114,11/12/19 12:36:32 AM,11.334,0.0,2.81,,
115,11/12/19 06:36:32 AM,9.571,0.0,2.83,,
116,11/12/19 12:36:32 PM,9.866,4305.6,2.81,,
117,11/12/19 06:36:32 PM,7.481,0.0,2.81,,
118,11/13/19 12:36:32 AM,7.381,0.0,2.81,,
119,11/13/19 06:36:32 AM,7.983,0.0,2.81,,
120,11/13/19 12:36:32 PM,12.401,3100.0,2.81,,
121,11/13/19 06:36:32 PM,10.944,0.0,2.81,,
122,11/14/19 12:36:32 AM,10.357,0.0,2.81,,
123,11/14/19 06:36:32 AM,10.553,0.0,2.81,,
124,11/14/19 12:36:32 PM,12.594,3272.2,2.83,,
125,11/14/19 06:36:32 PM,8.779,0.0,2.81,,
126,11/15/19 12:36:32 AM,8.282,0.0,2.81,,
127,11/15/19 06:36:32 AM,6.370,0.0,2.79,,
128,11/15/19 12:36:32 PM,6.674,1130.2,2.79,,
129,11/15/19 06:36:32 PM,5.450,0.0,2.77,,
130,11/16/19 12:36:32 AM,4.727,0.0,2.79,,
131,11/16/19 06:36:32 AM,3.367,0.0,2.77,,
132,11/16/19 12:36:32 PM,7.682,2497.2,2.79,,
133,11/16/19 06:36:32 PM,7.381,0.0,2.79,,
134,11/17/19 12:36:32 AM,7.682,0.0,2.79,,
135,11/17/19 06:36:32 AM,8.978,0.0,2.81,,
136,11/17/19 12:36:32 PM,8.382,1248.6,2.81,,
137,11/17/19 06:36:32 PM,7.882,0.0,2.79,,
138,11/18/19 12:36:32 AM,8.282,0.0,2.81,,
139,11/18/19 06:36:32 AM,8.182,0.0,2.81,,
140,11/18/19 12:36:32 PM,9.571,2066.7,2.81,,
141,11/18/19 06:36:32 PM,6.573,0.0,2.79,,
142,11/19/19 12:36:32 AM,3.788,0.0,2.79,,
143,11/19/19 06:36:32 AM,3.578,0.0,2.77,,
144,11/19/19 12:36:32 PM,4.311,904.2,2.79,,
145,11/19/19 06:36:32 PM,3.261,0.0,2.77,,
146,11/20/19 12:36:32 AM,1.980,0.0,2.75,,
147,11/20/19 06:36:32 AM,1.112,0.0,2.75,,
148,11/20/19 12:36:32 PM,1.656,3100.0,2.75,,
149,11/20/19 06:36:32 PM,0.010,0.0,2.74,,
150,11/21/19 12:36:32 AM,-0.213,0.0,2.74,,
151,11/21/19 06:36:32 AM,-0.437,0.0,2.75,,
152,11/21/19 12:36:32 PM,2.837,3272.2,2.75,,
153,11/21/19 06:36:32 PM,2.837,0.0,2.75,,
154,11/22/19 12:36:32 AM,2.837,0.0,2.75,,
155,11/22/19 06:36:32 AM,2.410,0.0,2.75,,
156,11/22/19 12:36:32 PM,5.552,3100.0,2.75,,
157,11/22/19 06:36:32 PM,3.893,0.0,2.77,,
158,11/23/19 12:36:32 AM,3.893,0.0,2.77,,
159,11/23/19 06:36:32 AM,3.893,0.0,2.77,,
160,11/23/19 12:36:32 PM,7.079,3616.7,2.77,,
161,11/23/19 06:36:32 PM,4.415,0.0,2.77,,
162,11/24/19 12:36:32 AM,3.472,0.0,2.77,,
163,11/24/19 06:36:32 AM,2.410,0.0,2.75,,
164,11/24/19 12:36:32 PM,3.788,2152.8,2.77,,
165,11/24/19 06:36:32 PM,0.453,0.0,2.74,,
166,11/25/19 12:36:32 AM,-0.213,0.0,2.74,,
167,11/25/19 06:36:32 AM,-0.437,0.0,2.75,,
168,11/25/19 12:36:32 PM,-0.102,150.7,2.74,,
169,11/25/19 06:36:32 PM,0.010,0.0,2.74,,
170,11/26/19 12:36:32 AM,0.121,0.0,2.74,,
171,11/26/19 06:36:32 AM,0.232,0.0,2.74,,
172,11/26/19 12:36:32 PM,0.232,21.5,2.74,,
173,11/26/19 06:36:32 PM,0.232,0.0,2.74,,
174,11/27/19 12:36:32 AM,0.232,0.0,2.74,,
175,11/27/19 06:36:32 AM,0.343,0.0,2.74,,
176,11/27/19 12:36:32 PM,0.343,43.1,2.74,,
177,11/27/19 06:36:32 PM,0.343,0.0,2.74,,
178,11/28/19 12:36:32 AM,0.232,0.0,2.72,,
179,11/28/19 06:36:32 AM,0.121,0.0,2.72,,
180,11/28/19 12:36:32 PM,0.121,43.1,2.72,,
181,11/28/19 06:36:32 PM,0.121,0.0,2.72,,
182,11/29/19 12:36:32 AM,-0.102,0.0,2.72,,
183,11/29/19 06:36:32 AM,-0.213,0.0,2.72,,
184,11/29/19 12:36:32 PM,-0.102,43.1,2.72,,
185,11/29/19 06:36:32 PM,0.010,0.0,2.72,,
186,11/30/19 12:36:32 AM,0.010,0.0,2.72,,
187,11/30/19 06:36:32 AM,-0.102,0.0,2.72,,
188,11/30/19 12:36:32 PM,0.010,53.8,2.72,,
189,11/30/19 06:36:32 PM,0.010,0.0,2.72,,
190,12/01/19 12:36:32 AM,0.232,0.0,2.72,,
191,12/01/19 06:36:32 AM,0.232,0.0,2.72,,
192,12/01/19 12:36:32 PM,0.343,43.1,2.72,,
193,12/01/19 06:36:32 PM,0.232,0.0,2.72,,
194,12/02/19 12:36:32 AM,0.232,0.0,2.72,,
195,12/02/19 06:36:32 AM,0.232,0.0,2.72,,
196,12/02/19 12:36:32 PM,0.232,139.9,2.72,,
197,12/02/19 06:36:32 PM,0.232,0.0,2.72,,
198,12/03/19 12:36:32 AM,0.232,0.0,2.72,,
199,12/03/19 06:36:32 AM,0.232,0.0,2.72,,
200,12/03/19 12:36:32 PM,1.112,2927.8,2.74,,
201,12/03/19 06:36:32 PM,3.155,0.0,2.75,,
202,12/04/19 12:36:32 AM,3.893,0.0,2.75,,
203,12/04/19 06:36:32 AM,4.311,0.0,2.77,,
204,12/04/19 12:36:32 PM,6.573,3616.7,2.77,,
205,12/04/19 06:36:32 PM,4.727,0.0,2.77,,
206,12/05/19 12:36:32 AM,4.415,0.0,2.77,,
207,12/05/19 06:36:32 AM,4.415,0.0,2.77,,
208,12/05/19 12:36:32 PM,6.268,2927.8,2.77,,
209,12/05/19 06:36:32 PM,4.934,0.0,2.75,,
210,12/06/19 12:36:32 AM,4.519,0.0,2.77,,
211,12/06/19 06:36:32 AM,4.623,0.0,2.77,,
212,12/06/19 12:36:32 PM,5.552,839.6,2.77,,
213,12/06/19 06:36:32 PM,4.519,0.0,2.77,,
214,12/07/19 12:36:32 AM,3.893,0.0,2.77,,
215,12/07/19 06:36:32 AM,3.683,0.0,2.77,,
216,12/07/19 12:36:32 PM,4.727,2325.0,2.77,,
217,12/07/19 06:36:32 PM,3.893,0.0,2.77,,
218,12/08/19 12:36:32 AM,3.367,0.0,2.77,,
219,12/08/19 06:36:32 AM,3.367,0.0,2.77,,
220,12/08/19 12:36:32 PM,3.893,1722.2,2.77,,
221,12/08/19 06:36:32 PM,2.943,0.0,2.77,,
222,12/09/19 12:36:32 AM,1.548,0.0,2.75,,
223,12/09/19 06:36:32 AM,1.221,0.0,2.75,,
224,12/09/19 12:36:32 PM,3.788,2927.8,2.77,,
225,12/09/19 06:36:32 PM,2.943,0.0,2.77,,
226,12/10/19 12:36:32 AM,3.472,0.0,2.77,,
227,12/10/19 06:36:32 AM,2.517,0.0,2.75,,
228,12/10/19 12:36:32 PM,3.893,2411.1,2.77,,
229,12/10/19 06:36:32 PM,1.003,0.0,2.75,,
230,12/11/19 12:36:32 AM,0.784,0.0,2.75,,
231,12/11/19 06:36:32 AM,2.624,0.0,2.75,,
232,12/11/19 12:36:32 PM,2.837,129.2,2.75,,
233,12/11/19 06:36:32 PM,2.730,0.0,2.75,,
234,12/12/19 12:36:32 AM,3.998,0.0,2.77,,
235,12/12/19 06:36:32 AM,3.367,0.0,2.77,,
236,12/12/19 12:36:32 PM,1.656,269.1,2.75,,
237,12/12/19 06:36:32 PM,0.453,0.0,2.75,,
238,12/13/19 12:36:32 AM,0.232,0.0,2.74,,
239,12/13/19 06:36:32 AM,0.232,0.0,2.74,,
240,12/13/19 12:36:32 PM,0.232,688.9,2.74,,
241,12/13/19 06:36:32 PM,0.232,0.0,2.74,,
242,12/14/19 12:36:32 AM,0.232,0.0,2.74,,
243,12/14/19 06:36:32 AM,-0.213,0.0,2.74,,
244,12/14/19 12:36:32 PM,0.121,1377.8,2.74,,
245,12/14/19 06:36:32 PM,-0.437,0.0,2.75,,
246,12/15/19 12:36:32 AM,-0.774,0.0,2.75,,
247,12/15/19 06:36:32 AM,-0.887,0.0,2.74,,
248,12/15/19 12:36:32 PM,0.010,1894.5,2.74,,
249,12/15/19 06:36:32 PM,-0.774,0.0,2.74,,
250,12/16/19 12:36:32 AM,-1.001,0.0,2.74,,
251,12/16/19 06:36:32 AM,-0.662,0.0,2.74,,
252,12/16/19 12:36:32 PM,0.121,1087.2,2.74,,
253,12/16/19 06:36:32 PM,0.121,0.0,2.74,,
254,12/17/19 12:36:32 AM,0.121,0.0,2.74,,
255,12/17/19 06:36:32 AM,0.121,0.0,2.74,,
256,12/17/19 12:36:32 PM,0.343,2066.7,2.74,,
257,12/17/19 06:36:32 PM,0.453,0.0,2.74,,
258,12/18/19 12:36:32 AM,0.343,0.0,2.74,,
259,12/18/19 06:36:32 AM,0.232,0.0,2.74,,
260,12/18/19 12:36:32 PM,0.893,1980.6,2.74,,
261,12/18/19 06:36:32 PM,0.121,0.0,2.74,,
262,12/19/19 12:36:32 AM,0.232,0.0,2.74,,
263,12/19/19 06:36:32 AM,0.121,0.0,2.74,,
264,12/19/19 12:36:32 PM,0.232,387.5,2.74,,
265,12/19/19 06:36:32 PM,2.303,0.0,2.75,,
266,12/20/19 12:36:32 AM,4.623,0.0,2.77,,
267,12/20/19 06:36:32 AM,4.415,0.0,2.77,,
268,12/20/19 12:36:32 PM,5.347,2152.8,2.75,,
269,12/20/19 06:36:32 PM,5.450,0.0,2.77,,
270,12/21/19 12:36:32 AM,5.141,0.0,2.77,,
271,12/21/19 06:36:32 AM,4.831,0.0,2.77,,
272,12/21/19 12:36:32 PM,3.893,279.9,2.77,,
273,12/21/19 06:36:32 PM,0.343,0.0,2.75,,
274,12/22/19 12:36:32 AM,1.330,0.0,2.75,,
275,12/22/19 06:36:32 AM,1.221,0.0,2.75,,
276,12/22/19 12:36:32 PM,2.303,764.2,2.75,,
277,12/22/19 06:36:32 PM,1.548,0.0,2.75,,
278,12/23/19 12:36:32 AM,-0.102,0.0,2.74,,
279,12/23/19 06:36:32 AM,-0.549,0.0,2.75,,
280,12/23/19 12:36:32 PM,0.010,1463.9,2.74,,
281,12/23/19 06:36:32 PM,-0.774,0.0,2.75,,
282,12/24/19 12:36:32 AM,-1.001,0.0,2.75,,
283,12/24/19 06:36:32 AM,-1.228,0.0,2.75,,
284,12/24/19 12:36:32 PM,-0.662,1550.0,2.75,,
