"Plot Title: 10166270"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","End Of File"
105,01/28/10 12:25:21 AM,0.453,0.0,2.65,
106,01/28/10 06:25:21 AM,0.453,0.0,2.65,
107,01/28/10 12:25:21 PM,0.453,0.0,2.65,
108,01/28/10 06:25:21 PM,0.453,0.0,2.65,
109,01/29/10 12:25:21 AM,0.453,0.0,2.65,
110,01/29/10 06:25:21 AM,0.453,0.0,2.65,
111,01/29/10 12:25:21 PM,0.453,0.0,2.65,
112,01/29/10 06:25:21 PM,0.453,0.0,2.65,
113,01/30/10 12:25:21 AM,0.453,0.0,2.65,
114,01/30/10 06:25:21 AM,0.453,0.0,2.65,
115,01/30/10 12:25:21 PM,0.453,0.0,2.65,
116,01/30/10 06:25:21 PM,0.453,0.0,2.65,
117,01/31/10 12:25:21 AM,0.453,0.0,2.65,
118,01/31/10 06:25:21 AM,0.453,0.0,2.65,
119,01/31/10 12:25:21 PM,0.453,0.0,2.65,
120,01/31/10 06:25:21 PM,0.453,0.0,2.65,
121,02/01/10 12:25:21 AM,0.453,0.0,2.67,
122,02/01/10 06:25:21 AM,0.453,0.0,2.65,
123,02/01/10 12:25:21 PM,0.453,0.0,2.67,
124,02/01/10 06:25:21 PM,0.453,0.0,2.67,
125,02/02/10 12:25:21 AM,0.453,0.0,2.67,
126,02/02/10 06:25:21 AM,0.453,0.0,2.67,
127,02/02/10 12:25:21 PM,0.453,0.0,2.67,
128,02/02/10 06:25:21 PM,0.453,0.0,2.67,
129,02/03/10 12:25:21 AM,0.453,0.0,2.67,
130,02/03/10 06:25:21 AM,0.453,0.0,2.67,
131,02/03/10 12:25:21 PM,0.453,0.0,2.67,
132,02/03/10 06:25:21 PM,0.563,0.0,2.67,
133,02/04/10 12:25:21 AM,0.563,0.0,2.67,
134,02/04/10 06:25:21 AM,0.453,0.0,2.67,
135,02/04/10 12:25:21 PM,0.453,0.0,2.67,
136,02/04/10 06:25:21 PM,0.563,0.0,2.67,
137,02/05/10 12:25:21 AM,0.563,0.0,2.67,
138,02/05/10 06:25:21 AM,0.453,0.0,2.67,
139,02/05/10 12:25:21 PM,0.563,0.0,2.67,
140,02/05/10 06:25:21 PM,0.563,0.0,2.67,
141,02/06/10 12:25:21 AM,0.563,0.0,2.67,
142,02/06/10 06:25:21 AM,0.563,0.0,2.67,
143,02/06/10 12:25:21 PM,0.563,0.0,2.67,
144,02/06/10 06:25:21 PM,0.563,0.0,2.67,
145,02/07/10 12:25:21 AM,0.563,0.0,2.67,
146,02/07/10 06:25:21 AM,0.563,0.0,2.67,
147,02/07/10 12:25:21 PM,0.563,0.0,2.67,
