"Plot Title: 10169186"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Bad Battery","Good Battery","End Of File"
97,07/23/12 09:00:00 PM,12.401,0.0,2.91,,,
98,07/24/12 03:00:00 AM,11.334,0.0,2.91,,,
99,07/24/12 09:00:00 AM,15.951,7577.8,2.91,,,
100,07/24/12 03:00:00 PM,21.664,5338.9,2.91,,,
101,07/24/12 09:00:00 PM,15.091,0.0,2.91,,,
102,07/25/12 03:00:00 AM,13.942,0.0,2.93,,,
103,07/25/12 09:00:00 AM,17.665,8266.7,2.93,,,
104,07/25/12 03:00:00 PM,22.717,4994.5,2.93,,,
105,07/25/12 09:00:00 PM,17.284,0.0,2.93,,,
106,07/26/12 03:00:00 AM,15.091,0.0,2.91,,,
107,07/26/12 09:00:00 AM,19.187,18600.1,2.93,,,
108,07/26/12 03:00:00 PM,23.100,4994.5,2.93,,,
109,07/26/12 09:00:00 PM,16.903,0.0,2.93,,,
110,07/27/12 03:00:00 AM,14.517,0.0,2.93,,,
111,07/27/12 09:00:00 AM,14.709,5166.7,2.93,,,
112,07/27/12 03:00:00 PM,18.331,5338.9,2.93,,,
113,07/27/12 09:00:00 PM,12.304,0.0,2.93,,,
114,07/28/12 03:00:00 AM,10.651,0.0,2.91,,,
115,07/28/12 09:00:00 AM,14.134,13089.0,2.93,,,
116,07/28/12 03:00:00 PM,20.043,4822.3,2.91,,,
117,07/28/12 09:00:00 PM,13.558,0.0,2.93,,,
118,07/29/12 03:00:00 AM,11.334,0.0,2.91,,,
119,07/29/12 09:00:00 AM,14.613,6544.5,2.93,,,
120,07/29/12 03:00:00 PM,20.424,4650.0,2.91,,,
121,07/29/12 09:00:00 PM,12.690,0.0,2.93,,,
122,07/30/12 03:00:00 AM,10.651,0.0,2.91,,,
123,07/30/12 09:00:00 AM,13.558,4650.0,2.91,,,
124,07/30/12 03:00:00 PM,19.853,5338.9,2.91,,,
125,07/30/12 09:00:00 PM,13.750,0.0,2.93,,,
