"Plot Title: 10166278"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Coupler Attached","Coupler Detached","Stopped","End Of File"
1,06/30/12 09:00:00 PM,19.948,226.0,3.12,,,,
2,07/01/12 03:00:00 AM,18.806,0.0,3.12,,,,
3,07/01/12 09:00:00 AM,19.092,0.0,3.10,,,,
4,07/01/12 03:00:00 PM,21.855,8611.2,3.08,,,,
5,07/01/12 09:00:00 PM,11.916,0.0,3.08,,,,
6,07/02/12 03:00:00 AM,11.334,0.0,3.05,,,,
7,07/02/12 09:00:00 AM,18.426,13089.0,3.05,,,,
8,07/02/12 03:00:00 PM,23.388,13777.9,3.05,,,,
9,07/02/12 09:00:00 PM,10.553,0.0,3.03,,,,
10,07/03/12 03:00:00 AM,7.882,0.0,3.03,,,,
11,07/03/12 09:00:00 AM,9.077,7233.4,3.03,,,,
12,07/03/12 03:00:00 PM,16.903,12400.1,3.01,,,,
13,07/03/12 09:00:00 PM,8.082,0.0,3.01,,,,
14,07/04/12 03:00:00 AM,6.166,0.0,2.99,,,,
15,07/04/12 09:00:00 AM,16.141,13777.9,2.99,,,,
16,07/04/12 03:00:00 PM,23.292,13089.0,3.01,,,,
17,07/04/12 09:00:00 PM,10.259,0.0,2.99,,,,
18,07/05/12 03:00:00 AM,8.581,0.0,2.99,,,,
19,07/05/12 09:00:00 AM,18.045,11022.3,2.99,,,,
20,07/05/12 03:00:00 PM,26.781,12400.1,2.99,,,,
21,07/05/12 09:00:00 PM,12.594,0.0,2.99,,,,
22,07/06/12 03:00:00 AM,10.553,0.0,2.97,,,,
23,07/06/12 09:00:00 AM,19.187,10333.4,2.99,,,,
24,07/06/12 03:00:00 PM,29.452,12400.1,2.99,,,,
25,07/06/12 09:00:00 PM,14.517,0.0,2.99,,,,
26,07/07/12 03:00:00 AM,12.883,0.0,2.97,,,,
27,07/07/12 09:00:00 AM,20.901,10333.4,2.97,,,,
28,07/07/12 03:00:00 PM,32.086,12400.1,2.97,,,,
29,07/07/12 09:00:00 PM,16.713,0.0,2.97,,,,
30,07/08/12 03:00:00 AM,15.282,0.0,2.97,,,,
31,07/08/12 09:00:00 AM,18.711,10333.4,2.97,,,,
32,07/08/12 03:00:00 PM,32.704,12400.1,2.97,,,,
33,07/08/12 09:00:00 PM,17.570,0.0,2.97,,,,
34,07/09/12 03:00:00 AM,15.569,0.0,2.97,,,,
35,07/09/12 09:00:00 AM,21.282,9300.1,2.97,,,,
36,07/09/12 03:00:00 PM,31.166,12400.1,2.97,,,,
37,07/09/12 09:00:00 PM,15.760,0.0,2.97,,,,
38,07/10/12 03:00:00 AM,13.365,0.0,2.97,,,,
39,07/10/12 09:00:00 AM,19.282,9644.5,2.97,,,,
40,07/10/12 03:00:00 PM,31.676,13089.0,2.95,,,,
41,07/10/12 09:00:00 PM,15.855,0.0,2.95,,,,
42,07/11/12 03:00:00 AM,13.654,0.0,2.97,,,,
43,07/11/12 09:00:00 AM,19.758,9300.1,2.95,,,,
44,07/11/12 03:00:00 PM,34.796,12400.1,2.95,,,,
45,07/11/12 09:00:00 PM,16.427,0.0,2.97,,,,
46,07/12/12 03:00:00 AM,13.942,0.0,2.97,,,,
47,07/12/12 09:00:00 AM,19.662,8611.2,2.95,,,,
48,07/12/12 03:00:00 PM,23.100,4305.6,2.95,,,,
49,07/12/12 09:00:00 PM,14.230,0.0,2.95,,,,
50,07/13/12 03:00:00 AM,12.110,0.0,2.95,,,,
51,07/13/12 09:00:00 AM,17.475,9300.1,2.95,,,,
