"Plot Title: 10169176"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Good Battery","End Of File"
1,06/30/16 03:00:00 PM,24.545,9728.0,3.12,Logged,
2,06/30/16 09:00:00 PM,12.787,0.0,3.12,,
3,07/01/16 03:00:00 AM,10.748,0.0,3.08,,
4,07/01/16 09:00:00 AM,14.613,320.0,3.08,,
5,07/01/16 03:00:00 PM,25.610,10752.0,3.08,,
6,07/01/16 09:00:00 PM,15.091,0.0,3.05,,
7,07/02/16 03:00:00 AM,12.980,0.0,3.05,,
8,07/02/16 09:00:00 AM,16.808,288.0,3.05,,
9,07/02/16 03:00:00 PM,27.075,10752.0,3.05,,
10,07/02/16 09:00:00 PM,14.709,0.0,3.05,,
11,07/03/16 03:00:00 AM,12.110,0.0,3.03,,
12,07/03/16 09:00:00 AM,14.134,320.0,3.03,,
13,07/03/16 03:00:00 PM,24.835,7424.0,3.03,,
14,07/03/16 09:00:00 PM,12.110,0.0,3.01,,
15,07/04/16 03:00:00 AM,9.571,0.0,3.01,,
16,07/04/16 09:00:00 AM,12.304,320.0,2.99,,
17,07/04/16 03:00:00 PM,24.255,4352.0,3.01,,
18,07/04/16 09:00:00 PM,10.846,0.0,2.99,,
19,07/05/16 03:00:00 AM,8.581,0.0,2.99,,
20,07/05/16 09:00:00 AM,11.916,320.0,2.99,,
21,07/05/16 03:00:00 PM,23.773,10752.0,2.99,,
22,07/05/16 09:00:00 PM,10.748,0.0,2.97,,
23,07/06/16 03:00:00 AM,9.176,0.0,2.99,,
24,07/06/16 09:00:00 AM,12.690,352.0,2.97,,
25,07/06/16 03:00:00 PM,24.062,8704.0,2.99,,
26,07/06/16 09:00:00 PM,12.787,0.0,2.99,,
27,07/07/16 03:00:00 AM,10.553,0.0,2.97,,
28,07/07/16 09:00:00 AM,14.325,416.0,2.97,,
29,07/07/16 03:00:00 PM,19.567,608.0,2.99,,
30,07/07/16 09:00:00 PM,10.846,0.0,2.95,,
31,07/08/16 03:00:00 AM,9.669,0.0,2.95,,
32,07/08/16 09:00:00 AM,9.768,81.0,2.95,,
