"Plot Title: 10166319"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Coupler Attached","Stopped","End Of File"
1,06/30/16 03:00:00 PM,22.525,576.0,3.17,,,
2,06/30/16 09:00:00 PM,13.269,32.0,3.12,,,
3,07/01/16 03:00:00 AM,11.041,52.0,3.08,,,
4,07/01/16 09:00:00 AM,14.134,896.0,3.08,,,
5,07/01/16 03:00:00 PM,23.869,1088.0,3.10,,,
6,07/01/16 09:00:00 PM,15.569,77.0,3.05,,,
7,07/02/16 03:00:00 AM,37.824,1408.0,3.08,,,
8,07/02/16 09:00:00 AM,29.352,3072.0,3.08,,,
9,07/02/16 03:00:00 PM,14.709,64.0,3.05,,,
10,07/02/16 09:00:00 PM,11.625,62.0,3.01,,,
11,07/03/16 03:00:00 AM,38.046,2176.0,3.05,,,
12,07/03/16 09:00:00 AM,26.781,2816.0,3.05,,,
13,07/03/16 03:00:00 PM,11.722,42.0,3.01,,,
14,07/03/16 09:00:00 PM,9.176,43.0,2.99,,,
15,07/04/16 03:00:00 AM,38.046,2944.0,3.03,,,
16,07/04/16 09:00:00 AM,22.142,704.0,3.03,,,
17,07/04/16 03:00:00 PM,10.357,28.0,2.99,,,
18,07/04/16 09:00:00 PM,8.382,33.0,2.97,,,
19,07/05/16 03:00:00 AM,37.274,4352.0,3.01,,,
20,07/05/16 09:00:00 AM,25.028,1408.0,3.01,,,
21,07/05/16 03:00:00 PM,10.161,24.0,2.97,,,
22,07/05/16 09:00:00 PM,8.779,27.0,2.97,,,
23,07/06/16 03:00:00 AM,26.488,864.0,2.99,,,
24,07/06/16 09:00:00 AM,27.075,800.0,3.01,,,
25,07/06/16 03:00:00 PM,12.304,28.0,2.97,,,
26,07/06/16 09:00:00 PM,9.669,29.0,2.95,,,
27,07/07/16 03:00:00 AM,17.570,1600.0,2.97,,,
28,07/07/16 09:00:00 AM,19.282,336.0,2.99,,,
29,07/07/16 03:00:00 PM,10.944,27.0,2.95,,,
30,07/07/16 09:00:00 PM,9.669,28.0,2.93,,,
31,07/08/16 03:00:00 AM,10.553,304.0,2.93,,,
32,07/08/16 09:00:00 AM,10.553,192.0,2.93,,,
33,07/08/16 03:00:00 PM,8.978,27.0,2.93,,,
34,07/08/16 09:00:00 PM,7.983,28.0,2.91,,,
35,07/09/16 03:00:00 AM,13.846,992.0,2.93,,,
36,07/09/16 09:00:00 AM,12.690,256.0,2.93,,,
37,07/09/16 03:00:00 PM,7.582,27.0,2.91,,,
38,07/09/16 09:00:00 PM,6.166,27.0,2.89,,,
39,07/10/16 03:00:00 AM,6.573,184.0,2.89,,,
40,07/10/16 09:00:00 AM,7.682,98.0,2.89,,,
41,07/10/16 03:00:00 PM,7.983,28.0,2.89,,,
42,07/10/16 09:00:00 PM,7.582,30.0,2.89,,,
43,07/11/16 03:00:00 AM,11.625,432.0,2.91,,,
44,07/11/16 09:00:00 AM,19.948,224.0,2.93,,,
45,07/11/16 03:00:00 PM,10.259,29.0,2.91,,,
46,07/11/16 09:00:00 PM,9.176,32.0,2.91,,,
47,07/12/16 03:00:00 AM,10.161,104.0,2.89,,,
48,07/12/16 09:00:00 AM,16.141,336.0,2.91,,,
49,07/12/16 03:00:00 PM,9.077,28.0,2.91,,,
50,07/12/16 09:00:00 PM,8.282,32.0,2.89,,,
