"Plot Title: 10166323"
"#","Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²","End Of File"
1,06/30/16 03:00:00 PM,33.953,6.0,
2,06/30/16 09:00:00 PM,11.916,4.0,
3,07/01/16 03:00:00 AM,8.680,0.0,
4,07/01/16 09:00:00 AM,13.173,480.0,
5,07/01/16 03:00:00 PM,19.948,576.0,
6,07/01/16 09:00:00 PM,13.942,1.0,
7,07/02/16 03:00:00 AM,11.334,0.0,
8,07/02/16 09:00:00 AM,14.996,432.0,
9,07/02/16 03:00:00 PM,20.805,272.0,
10,07/02/16 09:00:00 PM,14.134,4.0,
11,07/03/16 03:00:00 AM,11.236,0.0,
12,07/03/16 09:00:00 AM,13.558,464.0,
13,07/03/16 03:00:00 PM,18.045,288.0,
14,07/03/16 09:00:00 PM,11.236,2.0,
15,07/04/16 03:00:00 AM,7.983,0.0,
16,07/04/16 09:00:00 AM,11.528,480.0,
17,07/04/16 03:00:00 PM,16.141,288.0,
18,07/04/16 09:00:00 PM,10.161,2.0,
19,07/05/16 03:00:00 AM,7.280,0.0,
20,07/05/16 09:00:00 AM,10.944,496.0,
21,07/05/16 03:00:00 PM,16.523,496.0,
22,07/05/16 09:00:00 PM,9.965,3.0,
23,07/06/16 03:00:00 AM,7.582,0.0,
24,07/06/16 09:00:00 AM,12.401,768.0,
25,07/06/16 03:00:00 PM,18.616,496.0,
26,07/06/16 09:00:00 PM,11.916,1.0,
27,07/07/16 03:00:00 AM,8.879,0.0,
28,07/07/16 09:00:00 AM,13.750,496.0,
29,07/07/16 03:00:00 PM,20.519,704.0,
30,07/07/16 09:00:00 PM,10.748,0.0,
31,07/08/16 03:00:00 AM,10.161,0.0,
32,07/08/16 09:00:00 AM,10.748,224.0,
33,07/08/16 03:00:00 PM,12.883,800.0,
34,07/08/16 09:00:00 PM,10.063,0.0,
35,07/09/16 03:00:00 AM,8.282,0.0,
36,07/09/16 09:00:00 AM,10.455,496.0,
37,07/09/16 03:00:00 PM,14.038,608.0,
38,07/09/16 09:00:00 PM,7.983,0.0,
39,07/10/16 03:00:00 AM,6.573,0.0,
40,07/10/16 09:00:00 AM,6.268,44.0,
41,07/10/16 03:00:00 PM,7.782,272.0,
42,07/10/16 09:00:00 PM,7.782,0.0,
43,07/11/16 03:00:00 AM,7.481,0.0,
44,07/11/16 09:00:00 AM,9.275,576.0,
45,07/11/16 03:00:00 PM,14.517,672.0,
46,07/11/16 09:00:00 PM,10.357,1.0,
47,07/12/16 03:00:00 AM,8.680,0.0,
48,07/12/16 09:00:00 AM,11.236,320.0,
49,07/12/16 03:00:00 PM,13.942,304.0,
50,07/12/16 09:00:00 PM,9.669,1.0,
51,07/13/16 03:00:00 AM,7.582,0.0,
52,07/13/16 09:00:00 AM,10.455,368.0,
53,07/13/16 03:00:00 PM,16.999,272.0,
54,07/13/16 09:00:00 PM,12.207,2.0,
55,07/14/16 03:00:00 AM,10.161,0.0,
56,07/14/16 09:00:00 AM,13.173,400.0,
57,07/14/16 03:00:00 PM,18.901,272.0,
58,07/14/16 09:00:00 PM,12.207,2.0,
59,07/15/16 03:00:00 AM,8.978,0.0,
60,07/15/16 09:00:00 AM,11.722,448.0,
61,07/15/16 03:00:00 PM,15.091,272.0,
62,07/15/16 09:00:00 PM,9.571,1.0,
63,07/16/16 03:00:00 AM,7.280,0.0,
64,07/16/16 09:00:00 AM,12.013,576.0,
65,07/16/16 03:00:00 PM,16.237,336.0,
66,07/16/16 09:00:00 PM,10.455,1.0,
67,07/17/16 03:00:00 AM,8.581,0.0,
68,07/17/16 09:00:00 AM,12.883,864.0,
69,07/17/16 03:00:00 PM,16.237,304.0,
70,07/17/16 09:00:00 PM,11.431,0.0,
71,07/18/16 03:00:00 AM,10.161,0.0,
72,07/18/16 09:00:00 AM,10.553,128.0,
73,07/18/16 03:00:00 PM,16.523,672.0,
74,07/18/16 09:00:00 PM,11.334,0.0,
75,07/19/16 03:00:00 AM,9.866,0.0,
76,07/19/16 09:00:00 AM,12.110,248.0,
77,07/19/16 03:00:00 PM,15.664,304.0,
78,07/19/16 09:00:00 PM,10.063,0.0,
79,07/20/16 03:00:00 AM,8.082,0.0,
80,07/20/16 09:00:00 AM,16.999,2304.0,
81,07/20/16 03:00:00 PM,18.711,272.0,
82,07/20/16 09:00:00 PM,13.461,0.0,
83,07/21/16 03:00:00 AM,11.625,0.0,
84,07/21/16 09:00:00 AM,23.100,2816.0,
85,07/21/16 03:00:00 PM,20.138,288.0,
86,07/21/16 09:00:00 PM,13.942,0.0,
87,07/22/16 03:00:00 AM,9.472,0.0,
88,07/22/16 09:00:00 AM,10.651,336.0,
89,07/22/16 03:00:00 PM,15.664,288.0,
90,07/22/16 09:00:00 PM,10.357,0.0,
91,07/23/16 03:00:00 AM,8.481,0.0,
92,07/23/16 09:00:00 AM,23.677,4608.0,
93,07/23/16 03:00:00 PM,18.331,288.0,
94,07/23/16 09:00:00 PM,12.304,0.0,
95,07/24/16 03:00:00 AM,10.455,0.0,
96,07/24/16 09:00:00 AM,29.953,4608.0,
97,07/24/16 03:00:00 PM,22.812,288.0,
98,07/24/16 09:00:00 PM,15.378,0.0,
99,07/25/16 03:00:00 AM,12.594,0.0,
100,07/25/16 09:00:00 AM,29.652,2688.0,
101,07/25/16 03:00:00 PM,22.525,288.0,
102,07/25/16 09:00:00 PM,14.709,0.0,
103,07/26/16 03:00:00 AM,12.207,0.0,
104,07/26/16 09:00:00 AM,30.154,2176.0,
105,07/26/16 03:00:00 PM,21.569,288.0,
106,07/26/16 09:00:00 PM,14.709,0.0,
107,07/27/16 03:00:00 AM,12.110,0.0,
108,07/27/16 09:00:00 AM,32.497,4096.0,
109,07/27/16 03:00:00 PM,22.908,288.0,
110,07/27/16 09:00:00 PM,15.951,0.0,
111,07/28/16 03:00:00 AM,13.750,0.0,
112,07/28/16 09:00:00 AM,36.620,4864.0,
113,07/28/16 03:00:00 PM,25.416,304.0,
114,07/28/16 09:00:00 PM,18.331,0.0,
115,07/29/16 03:00:00 AM,15.951,0.0,
116,07/29/16 09:00:00 AM,38.714,6912.0,
117,07/29/16 03:00:00 PM,25.610,304.0,
118,07/29/16 09:00:00 PM,17.189,0.0,
119,07/30/16 03:00:00 AM,13.942,0.0,
120,07/30/16 09:00:00 AM,34.691,7424.0,
121,07/30/16 03:00:00 PM,20.901,320.0,
122,07/30/16 09:00:00 PM,12.497,0.0,
123,07/31/16 03:00:00 AM,9.176,0.0,
124,07/31/16 09:00:00 AM,28.953,5888.0,
125,07/31/16 03:00:00 PM,19.377,336.0,
126,07/31/16 09:00:00 PM,12.401,0.0,
127,08/01/16 03:00:00 AM,9.965,0.0,
128,08/01/16 09:00:00 AM,29.752,2048.0,
129,08/01/16 03:00:00 PM,20.996,336.0,
130,08/01/16 09:00:00 PM,12.690,0.0,
131,08/02/16 03:00:00 AM,9.571,0.0,
132,08/02/16 09:00:00 AM,11.236,480.0,
133,08/02/16 03:00:00 PM,15.473,480.0,
134,08/02/16 09:00:00 PM,9.077,0.0,
135,08/03/16 03:00:00 AM,6.978,0.0,
136,08/03/16 09:00:00 AM,26.781,2304.0,
137,08/03/16 03:00:00 PM,20.043,336.0,
138,08/03/16 09:00:00 PM,13.942,0.0,
139,08/04/16 03:00:00 AM,11.528,0.0,
140,08/04/16 09:00:00 AM,29.953,2304.0,
141,08/04/16 03:00:00 PM,23.677,336.0,
142,08/04/16 09:00:00 PM,16.046,0.0,
143,08/05/16 03:00:00 AM,13.461,0.0,
144,08/05/16 09:00:00 AM,27.862,672.0,
145,08/05/16 03:00:00 PM,20.519,336.0,
146,08/05/16 09:00:00 PM,11.819,0.0,
147,08/06/16 03:00:00 AM,8.779,0.0,
148,08/06/16 09:00:00 AM,23.966,384.0,
149,08/06/16 03:00:00 PM,18.711,336.0,
150,08/06/16 09:00:00 PM,10.846,0.0,
151,08/07/16 03:00:00 AM,7.582,0.0,
152,08/07/16 09:00:00 AM,22.621,512.0,
153,08/07/16 03:00:00 PM,16.618,608.0,
154,08/07/16 09:00:00 PM,10.161,0.0,
155,08/08/16 03:00:00 AM,7.682,0.0,
156,08/08/16 09:00:00 AM,11.625,400.0,
157,08/08/16 03:00:00 PM,16.141,672.0,
158,08/08/16 09:00:00 PM,10.259,0.0,
159,08/09/16 03:00:00 AM,8.382,0.0,
160,08/09/16 09:00:00 AM,9.866,368.0,
161,08/09/16 03:00:00 PM,14.613,704.0,
162,08/09/16 09:00:00 PM,9.669,0.0,
163,08/10/16 03:00:00 AM,8.182,0.0,
164,08/10/16 09:00:00 AM,15.855,960.0,
165,08/10/16 03:00:00 PM,18.236,320.0,
