"Plot Title: 10169183"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Good Battery","Bad Battery","End Of File"
1,06/30/16 03:00:00 PM,20.996,90.0,3.17,Logged,,
2,06/30/16 09:00:00 PM,13.750,0.0,3.12,,,
3,07/01/16 03:00:00 AM,11.722,0.0,3.08,,,
4,07/01/16 09:00:00 AM,16.141,5888.0,3.08,,,
5,07/01/16 03:00:00 PM,21.569,97.0,3.10,,,
6,07/01/16 09:00:00 PM,15.569,0.0,3.05,,,
7,07/02/16 03:00:00 AM,13.365,0.0,3.05,,,
8,07/02/16 09:00:00 AM,17.760,7168.0,3.05,,,
9,07/02/16 03:00:00 PM,21.951,94.0,3.08,,,
10,07/02/16 09:00:00 PM,15.473,0.0,3.03,,,
11,07/03/16 03:00:00 AM,12.883,0.0,3.03,,,
12,07/03/16 09:00:00 AM,16.237,7680.0,3.01,,,
13,07/03/16 03:00:00 PM,19.187,103.0,3.05,,,
14,07/03/16 09:00:00 PM,13.076,0.0,3.01,,,
15,07/04/16 03:00:00 AM,10.455,0.0,2.97,,,
16,07/04/16 09:00:00 AM,14.709,3968.0,2.99,,,
17,07/04/16 03:00:00 PM,18.045,128.0,3.01,,,
18,07/04/16 09:00:00 PM,11.916,0.0,2.99,,,
19,07/05/16 03:00:00 AM,9.571,0.0,2.97,,,
20,07/05/16 09:00:00 AM,14.038,5120.0,2.97,,,
21,07/05/16 03:00:00 PM,17.950,104.0,3.01,,,
22,07/05/16 09:00:00 PM,11.625,0.0,2.97,,,
23,07/06/16 03:00:00 AM,9.965,0.0,2.93,,,
24,07/06/16 09:00:00 AM,14.230,3072.0,2.97,,,
25,07/06/16 03:00:00 PM,18.996,224.0,2.99,,,
26,07/06/16 09:00:00 PM,13.461,0.0,2.97,,,
27,07/07/16 03:00:00 AM,11.139,0.0,2.93,,,
28,07/07/16 09:00:00 AM,15.664,800.0,2.95,,,
29,07/07/16 03:00:00 PM,19.948,192.0,2.97,,,
30,07/07/16 09:00:00 PM,11.431,0.0,2.93,,,
31,07/08/16 03:00:00 AM,10.063,0.0,2.91,,,
32,07/08/16 09:00:00 AM,10.063,39.0,2.91,,,
33,07/08/16 03:00:00 PM,11.819,136.0,2.91,,,
34,07/08/16 09:00:00 PM,9.669,0.0,2.89,,,
35,07/09/16 03:00:00 AM,8.182,0.0,2.89,,,
36,07/09/16 09:00:00 AM,9.077,87.0,2.91,,,
37,07/09/16 03:00:00 PM,10.748,50.0,2.89,,,
38,07/09/16 09:00:00 PM,8.082,0.0,2.89,,,
39,07/10/16 03:00:00 AM,6.775,0.0,2.87,,,
40,07/10/16 09:00:00 AM,6.064,34.0,2.87,,,
41,07/10/16 03:00:00 PM,7.582,40.0,2.87,,,
42,07/10/16 09:00:00 PM,8.282,0.0,2.87,,,
43,07/11/16 03:00:00 AM,7.983,0.0,2.87,,,
44,07/11/16 09:00:00 AM,11.139,864.0,2.89,,,
45,07/11/16 03:00:00 PM,14.421,58.0,2.91,,,
46,07/11/16 09:00:00 PM,10.944,0.0,2.89,,,
47,07/12/16 03:00:00 AM,9.669,0.0,2.87,,,
48,07/12/16 09:00:00 AM,10.455,66.0,2.87,,,
49,07/12/16 03:00:00 PM,13.076,168.0,2.91,,,
