"Plot Title: 10166302"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Good Battery","Bad Battery","End Of File"
1,06/29/16 09:00:00 PM,13.846,0.0,3.14,Logged,,
2,06/30/16 03:00:00 AM,11.431,0.0,3.10,,,
3,06/30/16 09:00:00 AM,12.594,92.0,3.08,,,
4,06/30/16 03:00:00 PM,20.329,304.0,3.08,,,
5,06/30/16 09:00:00 PM,13.750,0.0,3.08,,,
6,07/01/16 03:00:00 AM,11.625,0.0,3.03,,,
7,07/01/16 09:00:00 AM,13.076,100.0,3.03,,,
8,07/01/16 03:00:00 PM,20.043,336.0,3.05,,,
9,07/01/16 09:00:00 PM,15.760,0.0,3.03,,,
10,07/02/16 03:00:00 AM,13.558,0.0,3.03,,,
11,07/02/16 09:00:00 AM,14.996,84.0,3.03,,,
12,07/02/16 03:00:00 PM,21.760,95.0,3.03,,,
13,07/02/16 09:00:00 PM,15.569,0.0,3.01,,,
14,07/03/16 03:00:00 AM,13.269,0.0,3.01,,,
15,07/03/16 09:00:00 AM,12.883,90.0,2.99,,,
16,07/03/16 03:00:00 PM,18.996,304.0,3.01,,,
17,07/03/16 09:00:00 PM,13.076,0.0,2.99,,,
18,07/04/16 03:00:00 AM,10.455,0.0,2.97,,,
19,07/04/16 09:00:00 AM,11.041,90.0,2.95,,,
20,07/04/16 03:00:00 PM,17.665,304.0,2.99,,,
21,07/04/16 09:00:00 PM,11.819,0.0,2.97,,,
22,07/05/16 03:00:00 AM,9.571,0.0,2.95,,,
23,07/05/16 09:00:00 AM,10.455,73.0,2.93,,,
24,07/05/16 03:00:00 PM,17.189,304.0,2.97,,,
25,07/05/16 09:00:00 PM,11.528,0.0,2.95,,,
26,07/06/16 03:00:00 AM,9.866,0.0,2.93,,,
27,07/06/16 09:00:00 AM,11.236,86.0,2.93,,,
28,07/06/16 03:00:00 PM,17.570,416.0,2.97,,,
29,07/06/16 09:00:00 PM,13.558,0.0,2.95,,,
30,07/07/16 03:00:00 AM,10.944,0.0,2.93,,,
31,07/07/16 09:00:00 AM,13.076,208.0,2.95,,,
32,07/07/16 03:00:00 PM,17.760,216.0,2.95,,,
33,07/07/16 09:00:00 PM,11.139,0.0,2.93,,,
34,07/08/16 03:00:00 AM,10.063,0.0,2.91,,,
35,07/08/16 09:00:00 AM,10.161,42.0,2.91,,,
36,07/08/16 03:00:00 PM,11.334,84.0,2.91,,,
37,07/08/16 09:00:00 PM,9.571,0.0,2.91,,,
38,07/09/16 03:00:00 AM,8.382,0.0,2.91,,,
39,07/09/16 09:00:00 AM,8.779,78.0,2.91,,,
40,07/09/16 03:00:00 PM,9.768,200.0,2.89,,,
41,07/09/16 09:00:00 PM,7.983,0.0,2.89,,,
42,07/10/16 03:00:00 AM,6.674,0.0,2.87,,,
43,07/10/16 09:00:00 AM,6.064,111.0,2.87,,,
44,07/10/16 03:00:00 PM,7.481,45.0,2.87,,,
45,07/10/16 09:00:00 PM,8.082,0.0,2.89,,,
46,07/11/16 03:00:00 AM,7.882,0.0,2.89,,,
47,07/11/16 09:00:00 AM,8.282,144.0,2.89,,,
48,07/11/16 03:00:00 PM,14.038,288.0,2.91,,,
49,07/11/16 09:00:00 PM,10.944,0.0,2.89,,,
50,07/12/16 03:00:00 AM,9.669,0.0,2.89,,,
51,07/12/16 09:00:00 AM,9.669,107.0,2.87,,,
52,07/12/16 03:00:00 PM,12.690,128.0,2.91,,,
53,07/12/16 09:00:00 PM,10.259,0.0,2.89,,,
54,07/13/16 03:00:00 AM,9.077,0.0,2.89,,,
55,07/13/16 09:00:00 AM,10.748,74.0,2.89,,,
56,07/13/16 03:00:00 PM,17.379,288.0,2.91,,,
57,07/13/16 09:00:00 PM,13.558,0.0,2.91,,,
58,07/14/16 03:00:00 AM,12.207,0.0,2.91,,,
59,07/14/16 09:00:00 AM,13.269,76.0,2.91,,,
60,07/14/16 03:00:00 PM,19.282,288.0,2.93,,,
61,07/14/16 09:00:00 PM,13.558,0.0,2.93,,,
62,07/15/16 03:00:00 AM,11.139,0.0,2.89,,,
63,07/15/16 09:00:00 AM,10.846,77.0,2.89,,,
64,07/15/16 03:00:00 PM,16.046,288.0,2.91,,,
65,07/15/16 09:00:00 PM,10.944,0.0,2.89,,,
66,07/16/16 03:00:00 AM,9.077,0.0,2.89,,,
