Plot Title: 10169152,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",End Of File
1,7/15/2015 9:00,14.517,384,3.19,
2,7/15/2015 15:00,20.996,432,3.17,
3,7/15/2015 21:00,13.75,0,3.14,
4,7/16/2015 3:00,10.944,0,3.1,
5,7/16/2015 9:00,13.75,672,3.12,
6,7/16/2015 15:00,19.187,432,3.12,
7,7/16/2015 21:00,12.207,0,3.1,
8,7/17/2015 3:00,10.259,0,3.05,
9,7/17/2015 9:00,13.846,576,3.08,
10,7/17/2015 15:00,21.378,368,3.08,
11,7/17/2015 21:00,16.903,0,3.08,
12,7/18/2015 3:00,15.569,0,3.05,
13,7/18/2015 9:00,19.662,576,3.05,
14,7/18/2015 15:00,25.902,336,3.05,
15,7/18/2015 21:00,19.948,0,3.05,
16,7/19/2015 3:00,18.426,0,3.05,
17,7/19/2015 9:00,20.234,496,3.03,
18,7/19/2015 15:00,26.488,320,3.05,
19,7/19/2015 21:00,19.377,0,3.05,
20,7/20/2015 3:00,15.378,0,3.03,
21,7/20/2015 9:00,17.379,368,3.03,
22,7/20/2015 15:00,24.545,320,3.05,
23,7/20/2015 21:00,17.475,0,3.03,
24,7/21/2015 3:00,14.517,0,3.03,
25,7/21/2015 9:00,16.141,304,3.01,
26,7/21/2015 15:00,21.664,336,3.01,
27,7/21/2015 21:00,12.11,0,3.01,
28,7/22/2015 3:00,9.669,0,2.97,
29,7/22/2015 9:00,12.013,320,2.99,
30,7/22/2015 15:00,18.616,368,3.01,
31,7/22/2015 21:00,11.236,0,2.99,
32,7/23/2015 3:00,9.077,0,2.97,
33,7/23/2015 9:00,12.304,256,2.97,
34,7/23/2015 15:00,20.234,336,2.99,
35,7/23/2015 21:00,13.365,0,2.99,
36,7/24/2015 3:00,10.553,0,2.97,
37,7/24/2015 9:00,13.558,240,2.97,
38,7/24/2015 15:00,21.187,336,2.99,
39,7/24/2015 21:00,14.804,0,2.99,
40,7/25/2015 3:00,11.722,0,2.97,
41,7/25/2015 9:00,14.134,768,2.97,
42,7/25/2015 15:00,17.094,480,2.97,
43,7/25/2015 21:00,11.236,0,2.95,
44,7/26/2015 3:00,9.669,0,2.93,
45,7/26/2015 9:00,10.944,288,2.93,
46,7/26/2015 15:00,13.75,448,2.95,
47,7/26/2015 21:00,9.965,0,2.93,
48,7/27/2015 3:00,8.879,0,2.93,
49,7/27/2015 9:00,11.431,368,2.93,
50,7/27/2015 15:00,16.141,400,2.95,
51,7/27/2015 21:00,10.846,0,2.93,
52,7/28/2015 3:00,9.768,0,2.93,
53,7/28/2015 9:00,13.846,240,2.95,
54,7/28/2015 15:00,23.869,336,2.97,
55,7/28/2015 21:00,18.045,0,2.97,
56,7/29/2015 3:00,16.141,0,2.95,
57,7/29/2015 9:00,19.948,216,2.95,
58,7/29/2015 15:00,27.665,336,2.99,
59,7/29/2015 21:00,22.046,0,2.99,
60,7/30/2015 3:00,21.282,0,2.97,
61,7/30/2015 9:00,24.062,256,2.99,
62,7/30/2015 15:00,31.88,352,2.99,
63,7/30/2015 21:00,23.484,0,2.99,
64,7/31/2015 3:00,22.142,0,2.99,
65,7/31/2015 9:00,24.835,304,2.99,
66,7/31/2015 15:00,31.268,336,2.99,
67,7/31/2015 21:00,23.292,0,2.99,
68,8/1/2015 3:00,22.046,0,2.99,
69,8/1/2015 9:00,25.222,480,2.97,
70,8/1/2015 15:00,31.268,464,2.99,
71,8/1/2015 21:00,22.621,0,2.99,
72,8/2/2015 3:00,19.567,0,2.99,
73,8/2/2015 9:00,21.76,432,2.97,
74,8/2/2015 15:00,24.641,512,2.99,
75,8/2/2015 21:00,21.091,0,2.97,
76,8/3/2015 3:00,19.092,0,2.97,
77,8/3/2015 9:00,21.091,432,2.95,
78,8/3/2015 15:00,21.187,464,2.95,
79,8/3/2015 21:00,16.141,0,2.95,
80,8/4/2015 3:00,14.517,0,2.95,
81,8/4/2015 9:00,16.618,336,2.95,
82,8/4/2015 15:00,22.812,384,2.97,
83,8/4/2015 21:00,14.613,0,2.95,
84,8/5/2015 3:00,11.722,0,2.93,
85,8/5/2015 9:00,13.173,224,2.93,
86,8/5/2015 15:00,19.758,336,2.93,
87,8/5/2015 21:00,12.883,0,2.93,
88,8/6/2015 3:00,11.139,0,2.93,
89,8/6/2015 9:00,12.497,224,2.93,
90,8/6/2015 15:00,21.091,336,2.95,
91,8/6/2015 21:00,14.421,0,2.95,
92,8/7/2015 3:00,12.401,0,2.93,
93,8/7/2015 9:00,15.091,240,2.91,
94,8/7/2015 15:00,21.951,320,2.95,
95,8/7/2015 21:00,14.9,0,2.95,
96,8/8/2015 3:00,12.497,0,2.93,
97,8/8/2015 9:00,14.325,448,2.93,
98,8/8/2015 15:00,21.282,336,2.93,
99,8/8/2015 21:00,14.517,0,2.95,
100,8/9/2015 3:00,12.304,0,2.93,
101,8/9/2015 9:00,16.523,576,2.93,
102,8/9/2015 15:00,21.664,192,2.93,
103,8/9/2015 21:00,15.664,0,2.93,
104,8/10/2015 3:00,12.304,0,2.93,
105,8/10/2015 9:00,16.237,1600,2.93,
106,8/10/2015 15:00,22.238,672,2.93,
107,8/10/2015 21:00,15.473,0,2.93,
108,8/11/2015 3:00,13.365,0,2.93,
109,8/11/2015 9:00,16.427,1280,2.93,
110,8/11/2015 15:00,24.835,480,2.95,
111,8/11/2015 21:00,17.855,0,2.95,
112,8/12/2015 3:00,14.517,0,2.95,
113,8/12/2015 9:00,21.091,768,2.93,
114,8/12/2015 15:00,25.416,352,2.95,
115,8/12/2015 21:00,17.665,0,2.95,
116,8/13/2015 3:00,15.473,0,2.93,
117,8/13/2015 9:00,21.187,896,2.93,
118,8/13/2015 15:00,24.931,496,2.97,
119,8/13/2015 21:00,16.713,0,2.95,
120,8/14/2015 3:00,12.401,0,2.93,
121,8/14/2015 9:00,10.161,105,2.91,
