Plot Title: 10166278,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,End Of File
1,7/14/2015 9:00,18.14,1088,2.89,,
2,7/14/2015 15:00,30.356,288,2.89,,
3,7/14/2015 21:00,12.401,0,2.87,,
4,7/15/2015 3:00,10.357,0,2.85,,
5,7/15/2015 9:00,18.045,1024,2.89,,
6,7/15/2015 15:00,29.953,2304,2.89,,
7,7/15/2015 21:00,12.787,0,2.87,,
8,7/16/2015 3:00,10.651,0,2.85,,
9,7/16/2015 9:00,16.999,992,2.89,,
10,7/16/2015 15:00,33.326,1344,2.91,,
11,7/16/2015 21:00,11.528,0,2.87,,
12,7/17/2015 3:00,9.373,0,2.87,,
13,7/17/2015 9:00,16.523,896,2.87,,
14,7/17/2015 15:00,35.649,3840,2.89,,
15,7/17/2015 21:00,14.421,0,2.89,,
16,7/18/2015 3:00,13.75,0,2.89,,
17,7/18/2015 9:00,21.187,864,2.89,,
18,7/18/2015 15:00,42.046,5632,2.91,,
19,7/18/2015 21:00,17.379,0,2.89,,
20,7/19/2015 3:00,15.76,0,2.87,,
21,7/19/2015 9:00,22.812,800,2.91,,
22,7/19/2015 15:00,40.645,3968,2.91,,
23,7/19/2015 21:00,17.189,0,2.89,,
24,7/20/2015 3:00,14.038,0,2.89,,
25,7/20/2015 9:00,20.615,768,2.89,,
26,7/20/2015 15:00,44.211,1152,2.91,,
27,7/20/2015 21:00,15.76,0,2.89,,
28,7/21/2015 3:00,13.654,0,2.89,,
29,7/21/2015 9:00,18.996,768,2.91,,
30,7/21/2015 15:00,40.071,1984,2.91,,
31,7/21/2015 21:00,11.528,0,2.87,,
32,7/22/2015 3:00,9.176,0,2.87,,
33,7/22/2015 9:00,15.473,768,2.87,,
34,7/22/2015 15:00,41.575,1152,2.89,,
35,7/22/2015 21:00,10.553,0,2.87,,
36,7/23/2015 3:00,8.382,0,2.87,,
