Plot Title: 10169146,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Coupler Attached,Stopped,End Of File
1,7/14/2015 21:00,12.98,0,2.87,,,,
2,7/15/2015 3:00,11.041,0,2.85,,,,
3,7/15/2015 9:00,12.207,144,2.85,,,,
4,7/15/2015 15:00,20.138,576,2.87,,,,
5,7/15/2015 21:00,13.558,0,2.87,,,,
6,7/16/2015 3:00,11.236,0,2.85,,,,
7,7/16/2015 9:00,11.528,232,2.85,,,,
8,7/16/2015 15:00,18.426,576,2.87,,,,
9,7/16/2015 21:00,11.819,0,2.85,,,,
10,7/17/2015 3:00,9.472,0,2.87,,,,
11,7/17/2015 9:00,12.401,176,2.85,,,,
12,7/17/2015 15:00,20.519,480,2.87,,,,
13,7/17/2015 21:00,15.664,0,2.85,,,,
14,7/18/2015 3:00,15.473,0,2.85,,,,
15,7/18/2015 9:00,18.14,136,2.87,,,,
16,7/18/2015 15:00,25.513,400,2.89,,,,
17,7/18/2015 21:00,19.662,0,2.87,,,,
18,7/19/2015 3:00,18.426,0,2.89,,,,
19,7/19/2015 9:00,19.948,136,2.87,,,,
20,7/19/2015 15:00,25.416,384,2.89,,,,
21,7/19/2015 21:00,19.758,0,2.87,,,,
22,7/20/2015 3:00,16.618,0,2.87,,,,
23,7/20/2015 9:00,17.094,136,2.87,,,,
24,7/20/2015 15:00,23.773,384,2.91,,,,
25,7/20/2015 21:00,17.57,0,2.89,,,,
26,7/21/2015 3:00,15.282,0,2.87,,,,
27,7/21/2015 9:00,15.76,136,2.87,,,,
28,7/21/2015 15:00,20.805,512,2.89,,,,
29,7/21/2015 21:00,12.594,0,2.87,,,,
30,7/22/2015 3:00,10.161,0,2.85,,,,
31,7/22/2015 9:00,10.651,152,2.85,,,,
32,7/22/2015 15:00,18.045,384,2.89,,,,
33,7/22/2015 21:00,11.431,0,2.85,,,,
34,7/23/2015 3:00,9.965,0,2.85,,,,
35,7/23/2015 9:00,11.819,128,2.85,,,,
36,7/23/2015 15:00,19.377,480,2.89,,,,
37,7/23/2015 21:00,13.846,0,2.87,,,,
38,7/24/2015 3:00,11.625,0,2.85,,,,
39,7/24/2015 9:00,13.558,128,2.87,,,,
40,7/24/2015 15:00,20.615,352,2.87,,,,
41,7/24/2015 21:00,15.187,0,2.85,,,,
42,7/25/2015 3:00,12.11,0,2.85,,,,
43,7/25/2015 9:00,12.497,192,2.85,,,,
44,7/25/2015 15:00,12.787,184,2.85,,,,
45,7/25/2015 21:00,11.431,0,2.85,,,,
46,7/26/2015 3:00,9.571,0,2.87,,,,
47,7/26/2015 9:00,9.373,136,2.87,,,,
48,7/26/2015 15:00,11.819,184,2.85,,,,
49,7/26/2015 21:00,9.768,0,2.85,,,,
50,7/27/2015 3:00,9.077,0,2.87,,,,
51,7/27/2015 9:00,9.965,272,2.85,,,,
52,7/27/2015 15:00,17.379,336,2.87,,,,
53,7/27/2015 21:00,10.748,0,2.85,,,,
54,7/28/2015 3:00,9.176,0,2.87,,,,
55,7/28/2015 9:00,12.98,144,2.85,,,,
56,7/28/2015 15:00,24.062,336,2.89,,,,
57,7/28/2015 21:00,17.475,0,2.87,,,,
58,7/29/2015 3:00,14.996,0,2.87,,,,
59,7/29/2015 9:00,18.996,136,2.89,,,,
60,7/29/2015 15:00,28.159,336,2.91,,,,
61,7/29/2015 21:00,21.664,0,2.89,,,,
62,7/30/2015 3:00,19.948,0,2.87,,,,
