Plot Title: 10166292,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Coupler Attached,Stopped,End Of File
1,7/14/2015 21:00,12.207,0,3.12,,,
2,7/15/2015 3:00,10.259,0,3.1,,,
3,7/15/2015 9:00,14.804,224,3.1,,,
4,7/15/2015 15:00,22.429,240,3.1,,,
5,7/15/2015 21:00,12.594,0,3.08,,,
6,7/16/2015 3:00,10.259,0,3.03,,,
7,7/16/2015 9:00,13.846,368,3.05,,,
8,7/16/2015 15:00,20.805,248,3.05,,,
9,7/16/2015 21:00,10.944,0,3.03,,,
10,7/17/2015 3:00,8.879,0,3.01,,,
11,7/17/2015 9:00,14.325,368,3.01,,,
12,7/17/2015 15:00,23.004,216,3.03,,,
13,7/17/2015 21:00,14.517,0,3.03,,,
14,7/18/2015 3:00,14.517,0,3.01,,,
15,7/18/2015 9:00,18.331,232,3.01,,,
16,7/18/2015 15:00,27.075,256,3.03,,,
17,7/18/2015 21:00,18.616,0,3.01,,,
18,7/19/2015 3:00,16.332,0,2.99,,,
19,7/19/2015 9:00,19.758,192,2.99,,,
20,7/19/2015 15:00,27.961,216,3.01,,,
21,7/19/2015 21:00,17.855,0,3.01,,,
22,7/20/2015 3:00,14.421,0,2.99,,,
23,7/20/2015 9:00,16.903,144,2.99,,,
24,7/20/2015 15:00,26.39,144,2.99,,,
25,7/20/2015 21:00,16.332,0,2.97,,,
26,7/21/2015 3:00,13.558,0,2.97,,,
27,7/21/2015 9:00,15.855,113,2.95,,,
28,7/21/2015 15:00,23.869,128,2.99,,,
29,7/21/2015 21:00,11.722,0,2.95,,,
30,7/22/2015 3:00,9.373,0,2.95,,,
31,7/22/2015 9:00,11.528,119,2.93,,,
32,7/22/2015 15:00,21.951,136,2.95,,,
33,7/22/2015 21:00,10.748,0,2.93,,,
34,7/23/2015 3:00,8.68,0,2.93,,,
35,7/23/2015 9:00,11.722,95,2.93,,,
36,7/23/2015 15:00,22.621,108,2.95,,,
