Plot Title: 10166293,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Coupler Attached,Stopped,End Of File
116,8/12/2015 15:00,25.61,480,2.91,,,,
117,8/12/2015 21:00,17.95,0,2.89,,,,
118,8/13/2015 3:00,15.664,0,2.89,,,,
119,8/13/2015 9:00,19.567,184,2.91,,,,
120,8/13/2015 15:00,24.738,352,2.91,,,,
121,8/13/2015 21:00,16.523,0,2.89,,,,
122,8/14/2015 3:00,12.787,0,2.89,,,,
123,8/14/2015 9:00,9.571,120,2.89,,,,
124,8/14/2015 15:00,13.076,288,2.89,,,,
125,8/14/2015 21:00,11.625,0,2.87,,,,
126,8/15/2015 3:00,10.748,0,2.87,,,,
127,8/15/2015 9:00,11.236,110,2.87,,,,
128,8/15/2015 15:00,19.092,480,2.91,,,,
129,8/15/2015 21:00,12.883,0,2.89,,,,
130,8/16/2015 3:00,10.846,0,2.87,,,,
131,8/16/2015 9:00,12.883,184,2.87,,,,
132,8/16/2015 15:00,22.525,480,2.91,,,,
133,8/16/2015 21:00,15.282,0,2.87,,,,
134,8/17/2015 3:00,13.942,0,2.89,,,,
135,8/17/2015 9:00,16.808,192,2.89,,,,
136,8/17/2015 15:00,25.902,480,2.91,,,,
137,8/17/2015 21:00,18.901,0,2.91,,,,
138,8/18/2015 3:00,18.236,0,2.89,,,,
139,8/18/2015 9:00,20.424,192,2.89,,,,
140,8/18/2015 15:00,29.552,480,2.93,,,,
141,8/18/2015 21:00,21.091,0,2.91,,,,
142,8/19/2015 3:00,20.519,0,2.89,,,,
143,8/19/2015 9:00,21.569,200,2.91,,,,
144,8/19/2015 15:00,28.456,480,2.93,,,,
145,8/19/2015 21:00,19.853,0,2.89,,,,
146,8/20/2015 3:00,16.237,0,2.89,,,,
147,8/20/2015 9:00,15.76,168,2.89,,,,
148,8/20/2015 15:00,23.292,464,2.91,,,,
149,8/20/2015 21:00,14.9,0,2.91,,,,
150,8/21/2015 3:00,12.304,0,2.89,,,,
151,8/21/2015 9:00,12.787,176,2.89,,,,
152,8/21/2015 15:00,20.805,480,2.89,,,,
153,8/21/2015 21:00,13.461,0,2.89,,,,
154,8/22/2015 3:00,11.334,0,2.87,,,,
155,8/22/2015 9:00,14.517,192,2.89,,,,
156,8/22/2015 15:00,26.879,496,2.91,,,,
157,8/22/2015 21:00,17.95,0,2.89,,,,
158,8/23/2015 3:00,19.092,0,2.91,,,,
159,8/23/2015 9:00,19.472,216,2.91,,,,
160,8/23/2015 15:00,24.255,576,2.91,,,,
161,8/23/2015 21:00,17.379,0,2.89,,,,
162,8/24/2015 3:00,15.76,0,2.89,,,,
163,8/24/2015 9:00,18.616,232,2.91,,,,
164,8/24/2015 15:00,25.028,480,2.91,,,,
165,8/24/2015 21:00,16.141,0,2.89,,,,
166,8/25/2015 3:00,14.23,0,2.89,,,,
167,8/25/2015 9:00,17.189,200,2.89,,,,
168,8/25/2015 15:00,24.931,480,2.91,,,,
169,8/25/2015 21:00,18.14,0,2.91,,,,
170,8/26/2015 3:00,17.284,0,2.89,,,,
171,8/26/2015 9:00,19.187,224,2.91,,,,
172,8/26/2015 15:00,23.966,448,2.91,,,,
173,8/26/2015 21:00,16.523,0,2.89,,,,
174,8/27/2015 3:00,15.569,0,2.89,,,,
175,8/27/2015 9:00,18.236,200,2.91,,,,
176,8/27/2015 15:00,25.319,512,2.91,,,,
177,8/27/2015 21:00,17.665,0,2.89,,,,
178,8/28/2015 3:00,14.325,0,2.89,,,,
179,8/28/2015 9:00,17.189,144,2.89,,,,
180,8/28/2015 15:00,22.908,576,2.91,,,,
181,8/28/2015 21:00,18.711,0,2.91,,,,
182,8/29/2015 3:00,16.141,0,2.89,,,,
183,8/29/2015 9:00,9.768,128,2.87,,,,
184,8/29/2015 15:00,11.722,120,2.87,,,,
185,8/29/2015 21:00,10.259,0,2.87,,,,
186,8/30/2015 3:00,9.077,0,2.87,,,,
187,8/30/2015 9:00,7.682,64,2.87,,,,
188,8/30/2015 15:00,8.481,95,2.87,,,,
189,8/30/2015 21:00,8.282,0,2.87,,,,
190,8/31/2015 3:00,7.682,0,2.87,,,,
191,8/31/2015 9:00,8.581,160,2.87,,,,
192,8/31/2015 15:00,14.996,1216,2.89,,,,
193,8/31/2015 21:00,10.553,0,2.85,,,,
194,9/1/2015 3:00,8.978,0,2.87,,,,
195,9/1/2015 9:00,9.571,168,2.87,,,,
196,9/1/2015 15:00,16.523,1920,2.87,,,,
197,9/1/2015 21:00,10.161,0,2.85,,,,
198,9/2/2015 3:00,8.581,0,2.87,,,,
199,9/2/2015 9:00,7.381,60,2.87,,,,
200,9/2/2015 15:00,8.68,46,2.87,,,,
201,9/2/2015 21:00,6.674,0,2.87,,,,
202,9/3/2015 3:00,5.347,0,2.85,,,,
203,9/3/2015 9:00,5.655,90,2.85,,,,
204,9/3/2015 15:00,7.582,136,2.87,,,,
205,9/3/2015 21:00,5.552,0,2.85,,,,
206,9/4/2015 3:00,4.934,0,2.85,,,,
207,9/4/2015 9:00,6.268,144,2.85,,,,
208,9/4/2015 15:00,1.33,91,2.83,,,,
209,9/4/2015 21:00,1.872,0,2.83,,,,
210,9/5/2015 3:00,3.367,0,2.85,,,,
211,9/5/2015 9:00,4.207,61,2.85,,,,
212,9/5/2015 15:00,6.166,160,2.85,,,,
213,9/5/2015 21:00,5.86,0,2.85,,,,
214,9/6/2015 3:00,5.037,0,2.83,,,,
215,9/6/2015 9:00,6.573,208,2.85,,,,
216,9/6/2015 15:00,10.944,496,2.85,,,,
217,9/6/2015 21:00,7.782,0,2.85,,,,
218,9/7/2015 3:00,7.079,0,2.85,,,,
219,9/7/2015 9:00,8.581,184,2.87,,,,
220,9/7/2015 15:00,16.903,800,2.85,,,,
221,9/7/2015 21:00,11.625,0,2.85,,,,
222,9/8/2015 3:00,10.944,0,2.85,,,,
223,9/8/2015 9:00,12.594,176,2.85,,,,
224,9/8/2015 15:00,20.71,992,2.87,,,,
225,9/8/2015 21:00,15.473,0,2.85,,,,
226,9/9/2015 3:00,15.187,0,2.85,,,,
227,9/9/2015 9:00,15.951,168,2.87,,,,
228,9/9/2015 15:00,21.951,512,2.87,,,,
229,9/9/2015 21:00,16.618,0,2.87,,,,
230,9/10/2015 3:00,15.569,0,2.87,,,,
231,9/10/2015 9:00,18.331,184,2.89,,,,
232,9/10/2015 15:00,24.738,480,2.91,,,,
233,9/10/2015 21:00,18.616,0,2.89,,,,
234,9/11/2015 3:00,18.616,0,2.89,,,,
235,9/11/2015 9:00,21.187,184,2.89,,,,
236,9/11/2015 15:00,28.258,480,2.91,,,,
237,9/11/2015 21:00,20.329,0,2.89,,,,
238,9/12/2015 3:00,20.519,0,2.89,,,,
239,9/12/2015 9:00,19.567,184,2.91,,,,
