Plot Title: 10169131,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Coupler Attached,Stopped,End Of File
1,7/14/2015 21:00,12.69,0,3.1,,,,
2,7/15/2015 3:00,10.651,0,3.05,,,,
3,7/15/2015 9:00,12.207,160,3.05,,,,
4,7/15/2015 15:00,18.331,216,3.05,,,,
5,7/15/2015 21:00,12.883,0,3.03,,,,
6,7/16/2015 3:00,10.455,0,2.99,,,,
7,7/16/2015 9:00,12.013,304,2.99,,,,
8,7/16/2015 15:00,16.523,232,3.01,,,,
9,7/16/2015 21:00,11.041,0,2.97,,,,
10,7/17/2015 3:00,8.879,0,2.97,,,,
11,7/17/2015 9:00,12.69,216,2.97,,,,
12,7/17/2015 15:00,18.521,192,2.99,,,,
13,7/17/2015 21:00,15.282,0,2.97,,,,
14,7/18/2015 3:00,15.378,0,2.97,,,,
15,7/18/2015 9:00,18.521,168,2.99,,,,
16,7/18/2015 15:00,23.196,200,2.99,,,,
17,7/18/2015 21:00,19.662,0,2.97,,,,
18,7/19/2015 3:00,17.475,0,2.97,,,,
19,7/19/2015 9:00,19.758,160,2.97,,,,
20,7/19/2015 15:00,23.677,192,2.99,,,,
21,7/19/2015 21:00,18.806,0,2.97,,,,
22,7/20/2015 3:00,15.76,0,2.95,,,,
23,7/20/2015 9:00,16.713,160,2.95,,,,
24,7/20/2015 15:00,22.142,192,2.97,,,,
25,7/20/2015 21:00,16.713,0,2.95,,,,
26,7/21/2015 3:00,14.421,0,2.95,,,,
27,7/21/2015 9:00,15.378,168,2.93,,,,
28,7/21/2015 15:00,19.472,216,2.95,,,,
29,7/21/2015 21:00,11.431,0,2.91,,,,
30,7/22/2015 3:00,9.176,0,2.91,,,,
31,7/22/2015 9:00,10.553,176,2.89,,,,
32,7/22/2015 15:00,16.523,216,2.91,,,,
33,7/22/2015 21:00,10.259,0,2.89,,,,
34,7/23/2015 3:00,9.176,0,2.89,,,,
35,7/23/2015 9:00,11.625,168,2.89,,,,
36,7/23/2015 15:00,17.665,208,2.91,,,,
