Plot Title: 10166287,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Good Battery,Coupler Attached,Stopped,End Of File
110,8/10/2015 3:00,7.582,0,2.89,,,,,
111,8/10/2015 9:00,37.714,9216,2.95,,,,,
112,8/10/2015 15:00,35.542,4096,2.97,,,,,
113,8/10/2015 21:00,14.23,0,2.93,,,,,
114,8/11/2015 3:00,11.139,0,2.89,,,,,
115,8/11/2015 9:00,29.053,6656,2.93,,,,,
116,8/11/2015 15:00,34.268,2432,2.97,,,,,
117,8/11/2015 21:00,14.134,0,2.93,,,,,
118,8/12/2015 3:00,10.846,0,2.89,,,,,
119,8/12/2015 9:00,39.05,9728,2.95,,,,,
120,8/12/2015 15:00,33.535,1792,2.99,,,,,
121,8/12/2015 21:00,13.654,0,2.93,,,,,
122,8/13/2015 3:00,9.077,0,2.91,,,,,
123,8/13/2015 9:00,37.055,10240,2.95,,,,,
124,8/13/2015 15:00,33.118,2816,2.99,,,,,
125,8/13/2015 21:00,13.654,0,2.95,,,,,
126,8/14/2015 3:00,10.259,0,2.91,,,,,
127,8/14/2015 9:00,14.709,576,2.93,,,,,
128,8/14/2015 15:00,21.76,2944,2.93,,,,,
129,8/14/2015 21:00,12.11,0,2.89,,,,,
130,8/15/2015 3:00,11.528,0,2.89,,,,,
131,8/15/2015 9:00,39.389,12288,2.95,,,,,
132,8/15/2015 15:00,27.665,1728,2.97,,,,,
133,8/15/2015 21:00,7.882,0,2.91,,,,,
134,8/16/2015 3:00,3.472,0,2.89,,,,,
135,8/16/2015 9:00,35.328,11264,2.95,,,,,
136,8/16/2015 15:00,30.154,1664,2.97,,,,,
137,8/16/2015 21:00,11.041,0,2.93,,,,,
138,8/17/2015 3:00,6.37,0,2.89,,,,,
139,8/17/2015 9:00,35.542,10240,2.95,,,,,
140,8/17/2015 15:00,33.43,1920,2.99,,,,,
141,8/17/2015 21:00,13.558,0,2.95,,,,,
142,8/18/2015 3:00,9.275,0,2.91,,,,,
143,8/18/2015 9:00,38.49,10240,2.97,,,,,
144,8/18/2015 15:00,37.274,2048,2.99,,,,,
145,8/18/2015 21:00,16.046,0,2.95,,,,,
146,8/19/2015 3:00,11.819,0,2.93,,,,,
147,8/19/2015 9:00,36.511,8704,2.97,,,,,
148,8/19/2015 15:00,35.115,1920,2.99,,,,,
149,8/19/2015 21:00,14.325,0,2.95,,,,,
150,8/20/2015 3:00,8.978,0,2.93,,,,,
151,8/20/2015 9:00,38.157,11776,2.97,,,,,
152,8/20/2015 15:00,30.356,1728,2.99,,,,,
153,8/20/2015 21:00,10.161,0,2.93,,,,,
154,8/21/2015 3:00,5.962,0,2.89,,,,,
155,8/21/2015 9:00,32.911,10752,2.97,,,,,
156,8/21/2015 15:00,26.683,1728,2.97,,,,,
157,8/21/2015 21:00,7.28,0,2.91,,,,,
158,8/22/2015 3:00,3.472,0,2.89,,,,,
159,8/22/2015 9:00,36.295,10240,2.95,,,,,
160,8/22/2015 15:00,32.291,2688,2.99,,,,,
161,8/22/2015 21:00,14.9,0,2.97,,,,,
162,8/23/2015 3:00,9.176,0,2.93,,,,,
163,8/23/2015 9:00,32.911,6656,2.97,,,,,
164,8/23/2015 15:00,35.222,3456,2.97,,,,,
165,8/23/2015 21:00,12.207,0,2.93,,,,,
166,8/24/2015 3:00,8.382,0,2.91,,,,,
167,8/24/2015 9:00,33.43,5376,2.97,,,,,
168,8/24/2015 15:00,32.394,2176,2.97,,,,,
169,8/24/2015 21:00,11.041,0,2.91,,,,,
170,8/25/2015 3:00,8.68,0,2.89,,,,,
171,8/25/2015 9:00,31.268,5376,2.93,,,,,
172,8/25/2015 15:00,32.086,2048,2.97,,,,,
173,8/25/2015 21:00,12.207,0,2.93,,,,,
174,8/26/2015 3:00,9.077,0,2.91,,,,,
175,8/26/2015 9:00,30.255,6656,2.95,,,,,
176,8/26/2015 15:00,35.222,3840,2.97,,,,,
177,8/26/2015 21:00,12.883,0,2.93,,,,,
178,8/27/2015 3:00,9.275,0,2.91,,,,,
179,8/27/2015 9:00,30.76,8192,2.95,,,,,
180,8/27/2015 15:00,32.807,2048,2.99,,,,,
181,8/27/2015 21:00,16.141,0,2.95,,,,,
182,8/28/2015 3:00,13.076,0,2.93,,,,,
183,8/28/2015 9:00,23.388,2176,2.95,,,,,
184,8/28/2015 15:00,34.058,3200,2.97,,,,,
185,8/28/2015 21:00,15.473,0,2.93,,,,,
186,8/29/2015 3:00,14.9,0,2.93,,,,,
187,8/29/2015 9:00,16.903,1600,2.91,,,,,
188,8/29/2015 15:00,18.616,960,2.93,,,,,
189,8/29/2015 21:00,12.304,0,2.89,,,,,
190,8/30/2015 3:00,10.651,0,2.87,,,,,
191,8/30/2015 9:00,11.139,608,2.87,,,,,
192,8/30/2015 15:00,14.325,1792,2.89,,,,,
193,8/30/2015 21:00,10.455,0,2.85,,,,,
194,8/31/2015 3:00,8.879,0,2.87,,,,,
195,8/31/2015 9:00,18.901,6912,2.89,,,,,
196,8/31/2015 15:00,21.569,1920,2.93,,,,,
197,8/31/2015 21:00,8.581,0,2.89,,,,,
198,9/1/2015 3:00,9.965,0,2.87,,,,,
199,9/1/2015 9:00,25.805,9728,2.91,,,,,
200,9/1/2015 15:00,25.416,1600,2.95,,,,,
201,9/1/2015 21:00,12.207,0,2.91,,,,,
202,9/2/2015 3:00,11.139,0,2.89,,,,,
203,9/2/2015 9:00,11.722,960,2.89,,,,,
204,9/2/2015 15:00,15.855,1920,2.89,,,,,
205,9/2/2015 21:00,8.68,0,2.87,,,,,
206,9/3/2015 3:00,6.674,0,2.87,,,,,
207,9/3/2015 9:00,10.651,864,2.85,,,,,
208,9/3/2015 15:00,17.475,2048,2.91,,,,,
209,9/3/2015 21:00,4.415,0,2.87,,,,,
210,9/4/2015 3:00,2.41,0,2.83,,,,,
211,9/4/2015 9:00,12.013,1856,2.85,,,,,
212,9/4/2015 15:00,1.33,1920,2.81,,,,,
213,9/4/2015 21:00,2.41,0,2.83,,,,,
214,9/5/2015 3:00,4.519,0,2.85,,,,,
215,9/5/2015 9:00,7.28,672,2.83,,,,,
216,9/5/2015 15:00,14.421,1536,2.87,,,,,
217,9/5/2015 21:00,3.367,0,2.83,,,,,
218,9/6/2015 3:00,1.112,0,2.79,,,,,
219,9/6/2015 9:00,15.855,4096,2.85,,,,,
220,9/6/2015 15:00,19.567,1536,2.89,,,,,
221,9/6/2015 21:00,5.037,0,2.83,,,,,
222,9/7/2015 3:00,2.517,0,2.81,,,,,
223,9/7/2015 9:00,8.481,5376,2.83,,,,,
224,9/7/2015 15:00,21.378,1152,2.91,,,,,
225,9/7/2015 21:00,8.68,0,2.87,,,,,
226,9/8/2015 3:00,5.552,0,2.85,,,,,
227,9/8/2015 9:00,13.365,6400,2.87,,,,,
228,9/8/2015 15:00,25.61,1088,2.93,,,,,
229,9/8/2015 21:00,11.722,0,2.89,,,,,
230,9/9/2015 3:00,8.382,0,2.87,,,,,
231,9/9/2015 9:00,16.808,7424,2.89,,,,,
232,9/9/2015 15:00,26.977,1152,2.95,,,,,
233,9/9/2015 21:00,11.916,0,2.91,,,,,
234,9/10/2015 3:00,8.68,0,2.89,,,,,
235,9/10/2015 9:00,17.284,5888,2.91,,,,,
236,9/10/2015 15:00,29.452,1472,2.97,,,,,
237,9/10/2015 21:00,13.173,0,2.93,,,,,
238,9/11/2015 3:00,11.236,0,2.89,,,,,
239,9/11/2015 9:00,19.662,3200,2.91,,,,,
240,9/11/2015 15:00,32.807,1536,2.97,,,,,
241,9/11/2015 21:00,15.091,0,2.91,,,,,
242,9/12/2015 3:00,12.497,0,2.91,,,,,
243,9/12/2015 9:00,17.76,2944,2.91,,,,,
244,9/12/2015 15:00,29.352,1152,2.97,,,,,
245,9/12/2015 21:00,12.787,0,2.93,,,,,
246,9/13/2015 3:00,8.879,0,2.91,,,,,
247,9/13/2015 9:00,14.517,6144,2.91,,,,,
248,9/13/2015 15:00,24.738,1920,2.97,,,,,
249,9/13/2015 21:00,8.182,0,2.91,,,,,
250,9/14/2015 3:00,6.268,0,2.87,,,,,
251,9/14/2015 9:00,16.046,6144,2.91,,,,,
