Plot Title: 10169171,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,End Of File
1,10/14/2019 18:36,8.779,0,2.95,,
2,10/15/2019 0:36,9.373,0,2.95,,
3,10/15/2019 6:36,9.571,172.2,2.95,,
4,10/15/2019 12:36,14.134,6544.5,2.97,,
5,10/15/2019 18:36,11.334,0,2.95,,
6,10/16/2019 0:36,11.041,0,2.93,,
7,10/16/2019 6:36,8.581,376.7,2.93,,
8,10/16/2019 12:36,7.882,1722.2,2.91,,
9,10/16/2019 18:36,6.573,0,2.89,,
10,10/17/2019 0:36,4.727,0,2.89,,
11,10/17/2019 6:36,3.472,21.5,2.87,,
12,10/17/2019 12:36,3.261,1130.2,2.85,,
13,10/17/2019 18:36,3.893,0,2.85,,
14,10/18/2019 0:36,2.624,0,2.83,,
15,10/18/2019 6:36,2.41,21.5,2.83,,
16,10/18/2019 12:36,4.934,2238.9,2.83,,
17,10/18/2019 18:36,3.788,0,2.83,,
18,10/19/2019 0:36,3.472,0,2.83,,
19,10/19/2019 6:36,1.98,0,2.81,,
20,10/19/2019 12:36,2.088,721.2,2.81,,
21,10/19/2019 18:36,1.872,0,2.79,,
22,10/20/2019 0:36,2.195,0,2.79,,
23,10/20/2019 6:36,2.195,32.3,2.79,,
24,10/20/2019 12:36,4.102,2411.1,2.81,,
25,10/20/2019 18:36,5.757,0,2.81,,
26,10/21/2019 0:36,4.727,0,2.83,,
27,10/21/2019 6:36,4.519,21.5,2.81,,
28,10/21/2019 12:36,8.282,6200,2.83,,
29,10/21/2019 18:36,6.978,0,2.83,,
30,10/22/2019 0:36,7.983,0,2.85,,
31,10/22/2019 6:36,8.082,32.3,2.85,,
32,10/22/2019 12:36,12.207,14466.8,2.85,,
33,10/22/2019 18:36,8.68,0,2.85,,
34,10/23/2019 0:36,6.064,0,2.83,,
35,10/23/2019 6:36,3.788,64.6,2.81,,
36,10/23/2019 12:36,10.259,7577.8,2.83,,
37,10/23/2019 18:36,7.882,0,2.85,,
38,10/24/2019 0:36,7.079,0,2.83,,
39,10/24/2019 6:36,7.079,43.1,2.83,,
40,10/24/2019 12:36,14.9,5166.7,2.87,,
41,10/24/2019 18:36,13.076,0,2.87,,
42,10/25/2019 0:36,12.497,0,2.87,,
43,10/25/2019 6:36,11.041,43.1,2.85,,
44,10/25/2019 12:36,14.134,10333.4,2.87,,
45,10/25/2019 18:36,8.779,0,2.85,,
46,10/26/2019 0:36,0.453,0,2.77,,
47,10/26/2019 6:36,-0.437,43.1,2.77,,
48,10/26/2019 12:36,5.141,7233.4,2.77,,
49,10/26/2019 18:36,0.232,0,2.74,Logged,
50,10/27/2019 0:36,-0.774,0,2.74,,
51,10/27/2019 6:36,-1.57,32.3,2.74,,
52,10/27/2019 12:36,5.962,52355.9,2.74,,
53,10/27/2019 18:36,0.784,0,2.74,,
54,10/28/2019 0:36,0.563,0,2.74,,
55,10/28/2019 6:36,0.563,10.8,2.72,,
56,10/28/2019 12:36,7.28,9300.1,2.77,,
57,10/28/2019 18:36,1.221,0,2.74,,
58,10/29/2019 0:36,-1.001,0,2.74,,
59,10/29/2019 6:36,-7.138,21.5,2.67,,
60,10/29/2019 12:36,-0.102,4650,2.7,,
61,10/29/2019 18:36,-2.727,0,2.7,,
62,10/30/2019 0:36,-2.261,0,2.7,,
63,10/30/2019 6:36,-0.325,21.5,2.7,,
64,10/30/2019 12:36,6.268,5166.7,2.75,,
65,10/30/2019 18:36,5.037,0,2.75,,
66,10/31/2019 0:36,4.727,0,2.77,,
67,10/31/2019 6:36,4.311,21.5,2.75,,
68,10/31/2019 12:36,9.472,5166.7,2.79,,
69,10/31/2019 18:36,6.064,0,2.75,,
70,11/1/2019 0:36,6.37,0,2.75,,
71,11/1/2019 6:36,5.655,10.8,2.75,,
72,11/1/2019 12:36,10.846,4994.5,2.77,,
73,11/1/2019 18:36,7.682,0,2.77,,
74,11/2/2019 0:36,7.782,0,2.77,,
75,11/2/2019 6:36,8.879,10.8,2.79,,
76,11/2/2019 12:36,14.709,5166.7,2.83,,
77,11/2/2019 18:36,10.651,0,2.79,,
78,11/3/2019 0:36,9.866,0,2.77,,
79,11/3/2019 6:36,9.077,0,2.79,,
80,11/3/2019 12:36,13.654,5166.7,2.81,,
81,11/3/2019 18:36,10.259,0,2.77,,
82,11/4/2019 0:36,9.472,0,2.79,,
83,11/4/2019 6:36,9.077,0,2.77,,
84,11/4/2019 12:36,15.378,5338.9,2.81,,
85,11/4/2019 18:36,12.013,0,2.79,,
86,11/5/2019 0:36,11.722,0,2.79,,
87,11/5/2019 6:36,12.401,21.5,2.79,,
88,11/5/2019 12:36,18.14,7577.8,2.83,,
89,11/5/2019 18:36,12.594,0,2.79,,
90,11/6/2019 0:36,11.041,0,2.77,,
91,11/6/2019 6:36,9.275,0,2.77,,
92,11/6/2019 12:36,12.98,5166.7,2.79,,
93,11/6/2019 18:36,9.965,0,2.77,,
94,11/7/2019 0:36,9.571,0,2.77,,
95,11/7/2019 6:36,9.472,0,2.77,,
96,11/7/2019 12:36,16.046,5166.7,2.79,,
97,11/7/2019 18:36,12.883,0,2.79,,
98,11/8/2019 0:36,12.401,0,2.79,,
99,11/8/2019 6:36,12.11,0,2.79,,
100,11/8/2019 12:36,16.427,4650,2.79,,
101,11/8/2019 18:36,11.431,0,2.77,,
102,11/9/2019 0:36,11.431,0,2.77,,
103,11/9/2019 6:36,9.866,0,2.75,,
104,11/9/2019 12:36,13.846,5166.7,2.79,,
105,11/9/2019 18:36,8.978,0,2.77,,
106,11/10/2019 0:36,8.779,0,2.77,,
107,11/10/2019 6:36,8.581,0,2.75,,
108,11/10/2019 12:36,13.558,4650,2.77,,
109,11/10/2019 18:36,9.965,0,2.75,,
110,11/11/2019 0:36,7.882,0,2.75,,
111,11/11/2019 6:36,8.082,0,2.75,,
112,11/11/2019 12:36,12.69,4994.5,2.77,,
113,11/11/2019 18:36,11.041,0,2.77,,
114,11/12/2019 0:36,11.528,0,2.77,,
115,11/12/2019 6:36,9.768,0,2.75,,
116,11/12/2019 12:36,10.944,8266.7,2.75,,
117,11/12/2019 18:36,7.481,0,2.75,,
118,11/13/2019 0:36,7.28,0,2.74,,
119,11/13/2019 6:36,8.082,0,2.75,,
120,11/13/2019 12:36,13.846,5338.9,2.77,,
121,11/13/2019 18:36,11.041,0,2.77,,
122,11/14/2019 0:36,10.553,0,2.75,,
123,11/14/2019 6:36,10.944,0,2.75,,
124,11/14/2019 12:36,14.421,6200,2.79,,
125,11/14/2019 18:36,8.68,0,2.75,,
126,11/15/2019 0:36,8.68,0,2.75,,
127,11/15/2019 6:36,6.37,0,2.74,,
128,11/15/2019 12:36,6.775,2066.7,2.74,,
129,11/15/2019 18:36,5.244,0,2.72,,
130,11/16/2019 0:36,4.727,0,2.74,,
131,11/16/2019 6:36,3.049,0,2.7,,
132,11/16/2019 12:36,8.879,4650,2.74,,
133,11/16/2019 18:36,7.381,0,2.74,,
134,11/17/2019 0:36,7.882,0,2.74,,
135,11/17/2019 6:36,9.373,0,2.75,,
136,11/17/2019 12:36,9.472,2152.8,2.75,,
137,11/17/2019 18:36,8.182,0,2.75,,
138,11/18/2019 0:36,8.182,0,2.75,,
139,11/18/2019 6:36,8.68,0,2.75,,
140,11/18/2019 12:36,10.748,4822.3,2.75,,
141,11/18/2019 18:36,6.471,0,2.74,,
142,11/19/2019 0:36,3.788,0,2.72,,
143,11/19/2019 6:36,3.367,0,2.72,,
144,11/19/2019 12:36,4.311,1636.1,2.72,,
145,11/19/2019 18:36,3.155,0,2.7,,
146,11/20/2019 0:36,1.548,0,2.68,,
147,11/20/2019 6:36,0.784,0,2.68,,
148,11/20/2019 12:36,1.764,5166.7,2.68,,
149,11/20/2019 18:36,-0.437,0,2.68,,
150,11/21/2019 0:36,-0.549,0,2.68,,
151,11/21/2019 6:36,-0.887,0,2.67,,
152,11/21/2019 12:36,4.415,4822.3,2.7,,
153,11/21/2019 18:36,2.837,0,2.7,,
154,11/22/2019 0:36,2.624,0,2.7,,
155,11/22/2019 6:36,2.195,0,2.68,,
156,11/22/2019 12:36,6.674,4994.5,2.7,,
157,11/22/2019 18:36,3.788,0,2.7,,
158,11/23/2019 0:36,3.788,0,2.7,,
159,11/23/2019 6:36,3.893,0,2.7,,
160,11/23/2019 12:36,7.882,5338.9,2.72,,
161,11/23/2019 18:36,4.311,0,2.72,,
162,11/24/2019 0:36,3.261,0,2.7,,
163,11/24/2019 6:36,2.517,0,2.7,,
164,11/24/2019 12:36,4.207,3100,2.7,,
165,11/24/2019 18:36,-0.102,0,2.67,,
166,11/25/2019 0:36,-0.213,0,2.67,,
167,11/25/2019 6:36,0.01,0,2.67,,
168,11/25/2019 12:36,0.232,64.6,2.67,,
