"Plot Title: 10166323"
"#","Date Time, GMT-07:00","Temp, °C","Intensity, Lux","Bad Battery","End Of File"
100,09/20/19 02:16:16 PM,10.259,2669.5,,
101,09/20/19 08:16:16 PM,7.179,0.0,,
102,09/21/19 02:16:16 AM,5.757,0.0,,
103,09/21/19 08:16:16 AM,6.370,516.7,,
104,09/21/19 02:16:16 PM,11.722,1894.5,,
105,09/21/19 08:16:16 PM,9.768,0.0,,
106,09/22/19 02:16:16 AM,8.581,0.0,,
107,09/22/19 08:16:16 AM,9.571,1377.8,,
108,09/22/19 02:16:16 PM,12.690,5166.7,,
109,09/22/19 08:16:16 PM,9.373,0.0,,
110,09/23/19 02:16:16 AM,8.182,0.0,,
111,09/23/19 08:16:16 AM,6.775,2066.7,,
112,09/23/19 02:16:16 PM,10.944,2927.8,,
113,09/23/19 08:16:16 PM,9.077,0.0,,
114,09/24/19 02:16:16 AM,8.978,0.0,,
115,09/24/19 08:16:16 AM,10.748,1894.5,,
116,09/24/19 02:16:16 PM,16.141,6544.5,,
117,09/24/19 08:16:16 PM,10.357,0.0,,
118,09/25/19 02:16:16 AM,8.481,0.0,,
119,09/25/19 08:16:16 AM,7.079,430.6,,
120,09/25/19 02:16:16 PM,12.207,1808.3,,
121,09/25/19 08:16:16 PM,10.161,0.0,,
122,09/26/19 02:16:16 AM,9.176,0.0,,
123,09/26/19 08:16:16 AM,8.978,419.8,,
124,09/26/19 02:16:16 PM,15.951,4822.3,,
125,09/26/19 08:16:16 PM,11.139,0.0,,
126,09/27/19 02:16:16 AM,7.782,0.0,,
127,09/27/19 08:16:16 AM,5.860,796.5,,
128,09/27/19 02:16:16 PM,8.680,2927.8,,
129,09/27/19 08:16:16 PM,5.347,0.0,,
130,09/28/19 02:16:16 AM,2.624,0.0,,
131,09/28/19 08:16:16 AM,1.003,581.3,,
132,09/28/19 02:16:16 PM,3.788,3961.1,,
133,09/28/19 08:16:16 PM,0.121,0.0,,
134,09/29/19 02:16:16 AM,-0.887,0.0,,
135,09/29/19 08:16:16 AM,0.010,1377.8,,
136,09/29/19 02:16:16 PM,5.037,7233.4,,
137,09/29/19 08:16:16 PM,1.112,0.0,,
138,09/30/19 02:16:16 AM,-0.102,0.0,,
139,09/30/19 08:16:16 AM,-0.662,764.2,,
140,09/30/19 02:16:16 PM,4.207,1980.6,,
141,09/30/19 08:16:16 PM,1.330,0.0,,
142,10/01/19 02:16:16 AM,-0.102,0.0,,
143,10/01/19 08:16:16 AM,-0.437,602.8,,
144,10/01/19 02:16:16 PM,3.683,1636.1,,
145,10/01/19 08:16:16 PM,0.453,0.0,,
146,10/02/19 02:16:16 AM,0.784,0.0,,
147,10/02/19 08:16:16 AM,0.784,441.3,,
148,10/02/19 02:16:16 PM,9.176,4994.5,,
149,10/02/19 08:16:16 PM,5.347,0.0,,
150,10/03/19 02:16:16 AM,4.415,0.0,,
151,10/03/19 08:16:16 AM,3.683,602.8,,
152,10/03/19 02:16:16 PM,8.680,4305.6,,
153,10/03/19 08:16:16 PM,3.472,0.0,,
154,10/04/19 02:16:16 AM,1.872,0.0,,
155,10/04/19 08:16:16 AM,2.517,936.5,,
156,10/04/19 02:16:16 PM,5.860,4133.4,,
157,10/04/19 08:16:16 PM,3.367,0.0,,
158,10/05/19 02:16:16 AM,1.872,0.0,,
159,10/05/19 08:16:16 AM,1.872,452.1,,
160,10/05/19 02:16:16 PM,6.268,1894.5,,
161,10/05/19 08:16:16 PM,4.415,0.0,,
162,10/06/19 02:16:16 AM,3.261,0.0,,
163,10/06/19 08:16:16 AM,3.155,430.6,,
164,10/06/19 02:16:16 PM,8.382,1636.1,,
165,10/06/19 08:16:16 PM,6.978,0.0,,
166,10/07/19 02:16:16 AM,6.370,0.0,,
167,10/07/19 08:16:16 AM,6.370,473.6,,
168,10/07/19 02:16:16 PM,9.965,1808.3,,
169,10/07/19 08:16:16 PM,8.082,0.0,,
170,10/08/19 02:16:16 AM,8.082,0.0,,
171,10/08/19 08:16:16 AM,6.775,505.9,,
172,10/08/19 02:16:16 PM,5.757,1550.0,,
173,10/08/19 08:16:16 PM,0.232,0.0,,
174,10/09/19 02:16:16 AM,-0.213,0.0,,
175,10/09/19 08:16:16 AM,-1.914,387.5,,
176,10/09/19 02:16:16 PM,0.121,818.1,,
177,10/09/19 08:16:16 PM,-1.001,0.0,,
178,10/10/19 02:16:16 AM,-2.030,0.0,,
179,10/10/19 08:16:16 AM,-2.377,301.4,,
180,10/10/19 02:16:16 PM,0.563,2152.8,,
181,10/10/19 08:16:16 PM,0.453,0.0,,
182,10/11/19 02:16:16 AM,0.010,0.0,,
183,10/11/19 08:16:16 AM,0.343,559.7,,
184,10/11/19 02:16:16 PM,6.064,3616.7,,
185,10/11/19 08:16:16 PM,4.519,0.0,,
186,10/12/19 02:16:16 AM,3.683,0.0,,
187,10/12/19 08:16:16 AM,3.788,990.3,,
188,10/12/19 02:16:16 PM,11.334,7233.4,,
189,10/12/19 08:16:16 PM,7.079,0.0,,
190,10/13/19 02:16:16 AM,5.552,0.0,,
191,10/13/19 08:16:16 AM,5.860,721.2,,
192,10/13/19 02:16:16 PM,11.236,5166.7,,
193,10/13/19 08:16:16 PM,7.079,0.0,,
194,10/14/19 02:16:16 AM,4.727,0.0,,
195,10/14/19 08:16:16 AM,2.730,1033.3,,
196,10/14/19 02:16:16 PM,7.179,1722.2,,
197,10/14/19 08:16:16 PM,5.552,0.0,,
198,10/15/19 02:16:16 AM,5.244,0.0,,
199,10/15/19 08:16:16 AM,5.347,495.1,,
200,10/15/19 02:16:16 PM,10.846,3788.9,,
201,10/15/19 08:16:16 PM,8.382,0.0,,
202,10/16/19 02:16:16 AM,8.082,0.0,,
203,10/16/19 08:16:16 AM,6.877,1808.3,,
204,10/16/19 02:16:16 PM,8.282,2411.1,,
205,10/16/19 08:16:16 PM,6.573,0.0,,
206,10/17/19 02:16:16 AM,4.415,0.0,,
207,10/17/19 08:16:16 AM,3.367,279.9,,
208,10/17/19 02:16:16 PM,3.683,527.4,,
209,10/17/19 08:16:16 PM,3.788,0.0,,
210,10/18/19 02:16:16 AM,1.656,0.0,,
211,10/18/19 08:16:16 AM,2.088,419.8,,
212,10/18/19 02:16:16 PM,5.552,2755.6,,
213,10/18/19 08:16:16 PM,3.578,0.0,,
214,10/19/19 02:16:16 AM,3.261,0.0,,
215,10/19/19 08:16:16 AM,0.893,118.4,,
216,10/19/19 02:16:16 PM,1.656,2152.8,,
217,10/19/19 08:16:16 PM,1.112,0.0,,
218,10/20/19 02:16:16 AM,0.893,0.0,,
219,10/20/19 08:16:16 AM,1.221,462.9,,
220,10/20/19 02:16:16 PM,5.244,3961.1,,
221,10/20/19 08:16:16 PM,5.141,0.0,,
222,10/21/19 02:16:16 AM,4.102,0.0,,
223,10/21/19 08:16:16 AM,4.207,312.2,,
224,10/21/19 02:16:16 PM,9.176,4822.3,,
225,10/21/19 08:16:16 PM,6.370,0.0,,
226,10/22/19 02:16:16 AM,6.978,0.0,,
227,10/22/19 08:16:16 AM,7.782,742.7,,
228,10/22/19 02:16:16 PM,10.259,4650.0,,
229,10/22/19 08:16:16 PM,6.370,0.0,,
230,10/23/19 02:16:16 AM,3.155,0.0,,
231,10/23/19 08:16:16 AM,1.330,667.4,,
232,10/23/19 02:16:16 PM,6.471,2755.6,,
233,10/23/19 08:16:16 PM,4.415,0.0,,
234,10/24/19 02:16:16 AM,3.893,0.0,,
235,10/24/19 08:16:16 AM,3.998,398.3,,
236,10/24/19 02:16:16 PM,9.472,1808.3,,
237,10/24/19 08:16:16 PM,8.182,0.0,,
238,10/25/19 02:16:16 AM,7.882,0.0,,
239,10/25/19 08:16:16 AM,7.983,430.6,,
240,10/25/19 02:16:16 PM,10.846,4305.6,,
241,10/25/19 08:16:16 PM,8.282,0.0,,
242,10/26/19 02:16:16 AM,-0.662,0.0,,
243,10/26/19 08:16:16 AM,-1.799,516.7,,
244,10/26/19 02:16:16 PM,3.788,5166.7,,
245,10/26/19 08:16:16 PM,-0.549,0.0,,
246,10/27/19 02:16:16 AM,-1.456,0.0,,
247,10/27/19 08:16:16 AM,-2.145,161.5,,
248,10/27/19 02:16:16 PM,-1.001,796.5,,
249,10/27/19 08:16:16 PM,-2.145,0.0,,
250,10/28/19 02:16:16 AM,-1.914,0.0,,
251,10/28/19 08:16:16 AM,-1.456,215.3,,
252,10/28/19 02:16:16 PM,0.232,1076.4,,
253,10/28/19 08:16:16 PM,-1.570,0.0,,
