"Plot Title: 10169155"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Bad Battery","End Of File"
100,09/20/19 08:16:16 AM,6.877,409.0,2.77,,
101,09/20/19 02:16:16 PM,8.978,2755.6,2.79,,
102,09/20/19 08:16:16 PM,6.978,0.0,2.79,,
103,09/21/19 02:16:16 AM,6.674,0.0,2.77,,
104,09/21/19 08:16:16 AM,7.481,893.4,2.79,,
105,09/21/19 02:16:16 PM,13.942,4650.0,2.83,,
106,09/21/19 08:16:16 PM,10.944,0.0,2.81,,
107,09/22/19 02:16:16 AM,10.455,0.0,2.81,,
108,09/22/19 08:16:16 AM,9.866,688.9,2.79,,
109,09/22/19 02:16:16 PM,10.259,1463.9,2.79,,
110,09/22/19 08:16:16 PM,8.978,0.0,2.81,,
111,09/23/19 02:16:16 AM,7.481,0.0,2.79,,
112,09/23/19 08:16:16 AM,6.573,1636.1,2.79,,
113,09/23/19 02:16:16 PM,11.139,3788.9,2.79,,
114,09/23/19 08:16:16 PM,9.373,0.0,2.81,,
115,09/24/19 02:16:16 AM,8.978,0.0,2.81,,
116,09/24/19 08:16:16 AM,11.528,2152.8,2.81,,
117,09/24/19 02:16:16 PM,14.038,2755.6,2.83,,
118,09/24/19 08:16:16 PM,11.139,0.0,2.81,,
119,09/25/19 02:16:16 AM,8.581,0.0,2.81,,
120,09/25/19 08:16:16 AM,8.581,925.7,2.81,,
121,09/25/19 02:16:16 PM,15.187,3961.1,2.83,,
122,09/25/19 08:16:16 PM,11.819,0.0,2.81,,
123,09/26/19 02:16:16 AM,11.916,0.0,2.81,,
124,09/26/19 08:16:16 AM,11.139,947.2,2.81,,
125,09/26/19 02:16:16 PM,12.883,1377.8,2.83,,
126,09/26/19 08:16:16 PM,10.357,0.0,2.81,,
127,09/27/19 02:16:16 AM,7.682,0.0,2.81,,
128,09/27/19 08:16:16 AM,6.471,1227.1,2.79,,
129,09/27/19 02:16:16 PM,7.381,1722.2,2.79,,
130,09/27/19 08:16:16 PM,4.623,0.0,2.79,,
131,09/28/19 02:16:16 AM,1.764,0.0,2.75,Logged,
132,09/28/19 08:16:16 AM,0.232,538.2,2.74,,
133,09/28/19 02:16:16 PM,0.232,2238.9,2.74,,
134,09/28/19 08:16:16 PM,-0.325,0.0,2.72,,
135,09/29/19 02:16:16 AM,-1.114,0.0,2.74,,
