Plot Title: 20400438,,,,,
#,"Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²",Coupler Detached,End Of File
150,9/22/2018 21:00,7.079,0,,
151,9/23/2018 3:00,4.831,0,,
152,9/23/2018 9:00,3.049,64,,
153,9/23/2018 15:00,7.381,144,,
154,9/23/2018 21:00,4.623,0,,
155,9/24/2018 3:00,3.155,0,,
156,9/24/2018 9:00,3.998,54,,
157,9/24/2018 15:00,10.944,144,,
158,9/24/2018 21:00,8.082,0,,
159,9/25/2018 3:00,7.381,0,,
160,9/25/2018 9:00,8.282,55,,
161,9/25/2018 15:00,16.427,144,,
162,9/25/2018 21:00,12.401,0,,
163,9/26/2018 3:00,12.013,0,,
164,9/26/2018 9:00,12.497,63,,
165,9/26/2018 15:00,20.043,144,,
166,9/26/2018 21:00,16.903,0,,
167,9/27/2018 3:00,15.664,0,,
168,9/27/2018 9:00,17.094,59,,
169,9/27/2018 15:00,21.951,144,,
170,9/27/2018 21:00,16.999,0,,
171,9/28/2018 3:00,14.996,0,,
172,9/28/2018 9:00,14.517,64,,
173,9/28/2018 15:00,20.519,200,,
174,9/28/2018 21:00,16.332,0,,
175,9/29/2018 3:00,12.98,0,,
176,9/29/2018 9:00,8.879,109,,
177,9/29/2018 15:00,9.275,128,,
178,9/29/2018 21:00,8.282,0,,
179,9/30/2018 3:00,7.28,0,,
180,9/30/2018 9:00,8.082,232,,
181,9/30/2018 15:00,11.041,416,,
182,9/30/2018 21:00,7.983,0,,
183,10/1/2018 3:00,7.179,0,,
184,10/1/2018 9:00,9.176,160,,
185,10/1/2018 15:00,12.787,160,,
186,10/1/2018 21:00,9.472,0,,
187,10/2/2018 3:00,8.779,0,,
188,10/2/2018 9:00,9.373,47,,
189,10/2/2018 15:00,10.455,105,,
190,10/2/2018 21:00,8.282,0,,
191,10/3/2018 3:00,4.415,0,,
192,10/3/2018 9:00,8.282,144,,
193,10/3/2018 15:00,13.076,208,,
194,10/3/2018 21:00,8.382,0,,
195,10/4/2018 3:00,6.37,0,,
196,10/4/2018 9:00,5.347,112,,
197,10/4/2018 15:00,7.179,144,,
198,10/4/2018 21:00,3.578,0,,
199,10/5/2018 3:00,2.303,0,,
200,10/5/2018 9:00,5.347,128,,
201,10/5/2018 15:00,4.831,128,,
202,10/5/2018 21:00,6.37,0,,
203,10/6/2018 3:00,6.064,0,,
204,10/6/2018 9:00,6.978,87,,
205,10/6/2018 15:00,7.983,192,,
206,10/6/2018 21:00,3.578,0,,
207,10/7/2018 3:00,3.049,0,,
208,10/7/2018 9:00,3.261,144,,
209,10/7/2018 15:00,7.882,432,,
210,10/7/2018 21:00,5.86,0,,
211,10/8/2018 3:00,6.064,0,,
212,10/8/2018 9:00,6.775,125,,
213,10/8/2018 15:00,9.768,368,,
214,10/8/2018 21:00,8.581,0,,
215,10/9/2018 3:00,7.882,0,,
216,10/9/2018 9:00,5.962,71,,
217,10/9/2018 15:00,6.877,176,,
218,10/9/2018 21:00,4.831,0,,
219,10/10/2018 3:00,3.472,0,,
220,10/10/2018 9:00,3.998,152,,
221,10/10/2018 15:00,6.775,288,,
222,10/10/2018 21:00,3.049,0,,
223,10/11/2018 3:00,2.517,0,,
224,10/11/2018 9:00,2.41,36,,
225,10/11/2018 15:00,7.682,109,,
226,10/11/2018 21:00,6.064,0,,
227,10/12/2018 3:00,5.757,0,,
228,10/12/2018 9:00,7.079,33,,
