Plot Title: 10761025,,,,,
#,"Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²",Bad Battery,End Of File
149,3/16/2019 21:00,0.232,0,,
150,3/17/2019 3:00,0.232,0,,
151,3/17/2019 9:00,0.232,0,,
152,3/17/2019 15:00,0.232,0,,
153,3/17/2019 21:00,0.232,0,,
154,3/18/2019 3:00,0.232,0,,
155,3/18/2019 9:00,0.232,0,,
156,3/18/2019 15:00,0.232,0,,
157,3/18/2019 21:00,0.232,0,,
158,3/19/2019 3:00,0.232,0,,
159,3/19/2019 9:00,0.232,0,,
160,3/19/2019 15:00,0.232,0,,
161,3/19/2019 21:00,0.232,0,,
162,3/20/2019 3:00,0.232,0,,
163,3/20/2019 9:00,0.232,0,,
164,3/20/2019 15:00,0.232,0,,
165,3/20/2019 21:00,0.232,0,,
166,3/21/2019 3:00,0.232,0,,
167,3/21/2019 9:00,0.232,0,,
168,3/21/2019 15:00,0.232,0,,
169,3/21/2019 21:00,0.232,0,,
170,3/22/2019 3:00,0.232,0,,
171,3/22/2019 9:00,0.232,0,,
172,3/22/2019 15:00,0.232,0,,
173,3/22/2019 21:00,0.232,0,,
174,3/23/2019 3:00,0.232,0,,
175,3/23/2019 9:00,0.232,0,,
176,3/23/2019 15:00,0.232,0,,
177,3/23/2019 21:00,0.232,0,,
178,3/24/2019 3:00,0.232,0,,
179,3/24/2019 9:00,0.232,0,,
180,3/24/2019 15:00,0.232,0,,
181,3/24/2019 21:00,0.232,0,,
182,3/25/2019 3:00,0.232,0,,
183,3/25/2019 9:00,0.232,0,,
184,3/25/2019 15:00,0.232,0,,
185,3/25/2019 21:00,0.232,0,,
186,3/26/2019 3:00,0.232,0,,
187,3/26/2019 9:00,0.232,0,,
188,3/26/2019 15:00,0.232,0,,
189,3/26/2019 21:00,0.232,0,,
190,3/27/2019 3:00,0.232,0,,
191,3/27/2019 9:00,0.232,0,,
192,3/27/2019 15:00,0.232,0,,
193,3/27/2019 21:00,0.232,0,,
194,3/28/2019 3:00,0.232,0,,
195,3/28/2019 9:00,0.232,0,,
196,3/28/2019 15:00,0.232,0,,
197,3/28/2019 21:00,0.232,0,,
198,3/29/2019 3:00,0.232,0,,
199,3/29/2019 9:00,0.232,0,,
200,3/29/2019 15:00,0.232,0,,
201,3/29/2019 21:00,0.232,0,,
202,3/30/2019 3:00,0.232,0,,
203,3/30/2019 9:00,0.232,0,,
204,3/30/2019 15:00,0.232,0,,
205,3/30/2019 21:00,0.232,0,,
206,3/31/2019 3:00,0.232,0,,
207,3/31/2019 9:00,0.232,0,,
208,3/31/2019 15:00,0.232,0,,
209,3/31/2019 21:00,0.232,0,,
