"Plot Title: 10166295"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Coupler Attached","Coupler Detached","Host Connected","Stopped","End Of File"
89,06/15/17 03:00:00 PM,9.965,78.0,2.72,,,,,,
90,06/15/17 09:00:00 PM,10.259,0.0,2.72,,,,,,
91,06/16/17 03:00:00 AM,9.275,0.0,2.72,,,,,,
92,06/16/17 09:00:00 AM,9.472,128.0,2.72,,,,,,
93,06/16/17 03:00:00 PM,9.571,240.0,2.72,,,,,,
94,06/16/17 09:00:00 PM,8.680,0.0,2.72,,,,,,
95,06/17/17 03:00:00 AM,7.582,0.0,2.70,,,,,,
96,06/17/17 09:00:00 AM,10.357,256.0,2.70,,,,,,
97,06/17/17 03:00:00 PM,18.045,1792.0,2.75,,,,,,
98,06/17/17 09:00:00 PM,11.334,0.0,2.74,,,,,,
99,06/18/17 03:00:00 AM,10.259,0.0,2.72,,,,,,
100,06/18/17 09:00:00 AM,14.325,288.0,2.75,,,,,,
101,06/18/17 03:00:00 PM,23.869,1600.0,2.81,,,,,,
102,06/18/17 09:00:00 PM,16.808,0.0,2.79,,,,,,
103,06/19/17 03:00:00 AM,15.951,0.0,2.77,,,,,,
104,06/19/17 09:00:00 AM,19.853,288.0,2.79,,,,,,
105,06/19/17 03:00:00 PM,26.000,2304.0,2.83,,,,,,
106,06/19/17 09:00:00 PM,15.664,0.0,2.81,,,,,,
107,06/20/17 03:00:00 AM,12.883,0.0,2.79,,,,,,
108,06/20/17 09:00:00 AM,15.760,304.0,2.79,,,,,,
109,06/20/17 03:00:00 PM,22.621,1600.0,2.83,,,,,,
110,06/20/17 09:00:00 PM,13.173,0.0,2.81,,,,,,
111,06/21/17 03:00:00 AM,9.965,0.0,2.77,,,,,,
112,06/21/17 09:00:00 AM,13.365,304.0,2.79,,,,,,
113,06/21/17 03:00:00 PM,20.615,1088.0,2.81,,,,,,
114,06/21/17 09:00:00 PM,12.497,0.0,2.79,,,,,,
115,06/22/17 03:00:00 AM,10.651,0.0,2.77,,,,,,
116,06/22/17 09:00:00 AM,15.760,304.0,2.79,,,,,,
117,06/22/17 03:00:00 PM,24.641,2048.0,2.83,,,,,,
118,06/22/17 09:00:00 PM,15.951,0.0,2.81,,,,,,
119,06/23/17 03:00:00 AM,14.230,0.0,2.81,,,,,,
120,06/23/17 09:00:00 AM,19.282,304.0,2.83,,,,,,
121,06/23/17 03:00:00 PM,27.862,2176.0,2.85,,,,,,
122,06/23/17 09:00:00 PM,18.806,0.0,2.83,,,,,,
123,06/24/17 03:00:00 AM,17.284,0.0,2.83,,,,,,
124,06/24/17 09:00:00 AM,22.046,304.0,2.83,,,,,,
125,06/24/17 03:00:00 PM,30.659,2176.0,2.87,,,,,,
126,06/24/17 09:00:00 PM,21.664,0.0,2.83,,,,,,
127,06/25/17 03:00:00 AM,20.138,0.0,2.81,,,,,,
128,06/25/17 09:00:00 AM,25.708,288.0,2.83,,,,,,
129,06/25/17 03:00:00 PM,32.911,2304.0,2.89,,,,,,
130,06/25/17 09:00:00 PM,20.615,0.0,2.83,,,,,,
131,06/26/17 03:00:00 AM,17.284,0.0,2.83,,,,,,
132,06/26/17 09:00:00 AM,19.853,288.0,2.81,,,,,,
133,06/26/17 03:00:00 PM,24.931,2560.0,2.85,,,,,,
134,06/26/17 09:00:00 PM,13.846,0.0,2.83,,,,,,
135,06/27/17 03:00:00 AM,11.334,0.0,2.79,,,,,,
136,06/27/17 09:00:00 AM,14.613,464.0,2.81,,,,,,
137,06/27/17 03:00:00 PM,20.710,1024.0,2.81,,,,,,
138,06/27/17 09:00:00 PM,11.431,0.0,2.79,,,,,,
