"Plot Title: 10166318"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Coupler Attached","Coupler Detached","Host Connected","Stopped","End Of File"
1,05/23/17 03:00:00 PM,23.004,1536.0,3.17,,,,,,
2,05/23/17 09:00:00 PM,13.076,0.0,3.12,,,,,,
3,05/24/17 03:00:00 AM,8.082,0.0,3.08,,,,,,
4,05/24/17 09:00:00 AM,6.573,80.0,3.03,,,,,,
5,05/24/17 03:00:00 PM,12.883,1344.0,3.05,,,,,,
6,05/24/17 09:00:00 PM,5.757,0.0,3.01,,,,,,
7,05/25/17 03:00:00 AM,4.623,0.0,3.01,,,,,,
8,05/25/17 09:00:00 AM,5.860,77.0,2.99,,,,,,
9,05/25/17 03:00:00 PM,9.373,44.0,3.01,,,,,,
10,05/25/17 09:00:00 PM,8.382,0.0,2.99,,,,,,
11,05/26/17 03:00:00 AM,6.877,0.0,2.97,,,,,,
12,05/26/17 09:00:00 AM,8.680,77.0,2.99,,,,,,
13,05/26/17 03:00:00 PM,18.996,960.0,3.03,,,,,,
14,05/26/17 09:00:00 PM,12.594,0.0,2.99,,,,,,
15,05/27/17 03:00:00 AM,11.431,0.0,2.99,,,,,,
16,05/27/17 09:00:00 AM,13.750,80.0,2.99,,,,,,
17,05/27/17 03:00:00 PM,22.812,960.0,3.01,,,,,,
18,05/27/17 09:00:00 PM,15.473,0.0,2.99,,,,,,
19,05/28/17 03:00:00 AM,12.883,0.0,2.99,,,,,,
20,05/28/17 09:00:00 AM,15.951,80.0,2.99,,,,,,
21,05/28/17 03:00:00 PM,25.708,2816.0,3.01,,,,,,
22,05/28/17 09:00:00 PM,15.855,0.0,2.99,,,,,,
23,05/29/17 03:00:00 AM,13.558,0.0,2.97,,,,,,
24,05/29/17 09:00:00 AM,16.808,84.0,2.97,,,,,,
25,05/29/17 03:00:00 PM,23.966,1920.0,3.01,,,,,,
26,05/29/17 09:00:00 PM,16.046,0.0,2.97,,,,,,
27,05/30/17 03:00:00 AM,12.690,0.0,2.95,,,,,,
28,05/30/17 09:00:00 AM,10.651,112.0,2.93,,,,,,
29,05/30/17 03:00:00 PM,9.275,28.0,2.93,,,,,,
30,05/30/17 09:00:00 PM,8.680,0.0,2.93,,,,,,
31,05/31/17 03:00:00 AM,6.775,0.0,2.89,,,,,,
32,05/31/17 09:00:00 AM,8.282,144.0,2.91,,,,,,
33,05/31/17 03:00:00 PM,15.569,384.0,2.93,,,,,,
34,05/31/17 09:00:00 PM,10.259,0.0,2.91,,,,,,
35,06/01/17 03:00:00 AM,8.382,0.0,2.91,,,,,,
36,06/01/17 09:00:00 AM,8.382,52.0,2.91,,,,,,
37,06/01/17 03:00:00 PM,12.207,1152.0,2.91,,,,,,
38,06/01/17 09:00:00 PM,9.472,0.0,2.91,,,,,,
39,06/02/17 03:00:00 AM,7.682,0.0,2.89,,,,,,
40,06/02/17 09:00:00 AM,9.275,80.0,2.89,,,,,,
41,06/02/17 03:00:00 PM,18.521,1280.0,2.93,,,,,,
42,06/02/17 09:00:00 PM,12.207,0.0,2.91,,,,,,
43,06/03/17 03:00:00 AM,9.571,0.0,2.91,,,,,,
44,06/03/17 09:00:00 AM,9.077,67.0,2.89,,,,,,
45,06/03/17 03:00:00 PM,14.613,512.0,2.93,,,,,,
46,06/03/17 09:00:00 PM,8.481,0.0,2.89,,,,,,
47,06/04/17 03:00:00 AM,7.079,0.0,2.87,,,,,,
48,06/04/17 09:00:00 AM,7.079,152.0,2.87,,,,,,
49,06/04/17 03:00:00 PM,10.651,224.0,2.87,,,,,,
50,06/04/17 09:00:00 PM,6.573,0.0,2.87,,,,,,
51,06/05/17 03:00:00 AM,4.831,0.0,2.87,,,,,,
52,06/05/17 09:00:00 AM,9.077,82.0,2.87,,,,,,
