"Plot Title: 10166322"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Coupler Attached","Stopped","End Of File"
1,05/23/17 03:00:00 PM,21.569,672.0,3.17,,,,
2,05/23/17 09:00:00 PM,11.916,0.0,3.10,,,,
3,05/24/17 03:00:00 AM,8.282,0.0,3.05,,,,
4,05/24/17 09:00:00 AM,7.179,176.0,3.01,,,,
5,05/24/17 03:00:00 PM,11.625,800.0,3.03,,,,
6,05/24/17 09:00:00 PM,5.655,0.0,2.97,,,,
7,05/25/17 03:00:00 AM,5.037,0.0,2.95,,,,
8,05/25/17 09:00:00 AM,6.268,168.0,2.95,,,,
9,05/25/17 03:00:00 PM,9.965,84.0,2.97,,,,
10,05/25/17 09:00:00 PM,7.179,0.0,2.95,,,,
11,05/26/17 03:00:00 AM,5.552,0.0,2.93,,,,
12,05/26/17 09:00:00 AM,8.182,168.0,2.95,,,,
13,05/26/17 03:00:00 PM,17.475,704.0,3.01,,,,
14,05/26/17 09:00:00 PM,11.334,0.0,2.95,,,,
15,05/27/17 03:00:00 AM,8.978,0.0,2.93,,,,
16,05/27/17 09:00:00 AM,12.110,176.0,2.95,,,,
17,05/27/17 03:00:00 PM,21.282,768.0,2.99,,,,
18,05/27/17 09:00:00 PM,13.846,0.0,2.97,,,,
19,05/28/17 03:00:00 AM,11.041,0.0,2.93,,,,
20,05/28/17 09:00:00 AM,14.613,176.0,2.95,,,,
21,05/28/17 03:00:00 PM,23.966,672.0,3.01,,,,
22,05/28/17 09:00:00 PM,15.282,0.0,2.95,,,,
23,05/29/17 03:00:00 AM,12.013,0.0,2.93,,,,
24,05/29/17 09:00:00 AM,15.378,176.0,2.93,,,,
25,05/29/17 03:00:00 PM,23.292,768.0,2.99,,,,
26,05/29/17 09:00:00 PM,15.951,0.0,2.93,,,,
27,05/30/17 03:00:00 AM,12.690,0.0,2.91,,,,
28,05/30/17 09:00:00 AM,10.553,160.0,2.89,,,,
29,05/30/17 03:00:00 PM,9.669,46.0,2.87,,,,
30,05/30/17 09:00:00 PM,9.373,0.0,2.87,,,,
31,05/31/17 03:00:00 AM,7.079,0.0,2.87,,,,
32,05/31/17 09:00:00 AM,8.978,272.0,2.87,,,,
33,05/31/17 03:00:00 PM,16.046,1024.0,2.89,,,,
34,05/31/17 09:00:00 PM,10.944,0.0,2.87,,,,
35,06/01/17 03:00:00 AM,9.077,0.0,2.87,,,,
36,06/01/17 09:00:00 AM,9.077,128.0,2.87,,,,
37,06/01/17 03:00:00 PM,12.690,1088.0,2.87,,,,
38,06/01/17 09:00:00 PM,10.063,0.0,2.85,,,,
39,06/02/17 03:00:00 AM,8.182,0.0,2.85,,,,
40,06/02/17 09:00:00 AM,9.472,176.0,2.87,,,,
41,06/02/17 03:00:00 PM,18.140,704.0,2.91,,,,
