"Plot Title: 10169140"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Coupler Attached","Coupler Detached","Stopped","End Of File"
95,06/18/17 03:00:00 AM,9.472,0.0,2.85,,,,
96,06/18/17 09:00:00 AM,12.980,168.0,2.85,,,,
97,06/18/17 03:00:00 PM,17.760,71.0,2.87,,,,
98,06/18/17 09:00:00 PM,15.282,0.0,2.85,,,,
99,06/19/17 03:00:00 AM,14.230,0.0,2.87,,,,
100,06/19/17 09:00:00 AM,17.379,176.0,2.87,,,,
101,06/19/17 03:00:00 PM,19.948,74.0,2.89,,,,
102,06/19/17 09:00:00 PM,14.996,0.0,2.89,,,,
103,06/20/17 03:00:00 AM,12.304,0.0,2.85,,,,
104,06/20/17 09:00:00 AM,14.996,90.0,2.87,,,,
105,06/20/17 03:00:00 PM,16.427,72.0,2.87,,,,
106,06/20/17 09:00:00 PM,13.076,0.0,2.87,,,,
107,06/21/17 03:00:00 AM,10.259,0.0,2.85,,,,
108,06/21/17 09:00:00 AM,12.497,184.0,2.85,,,,
109,06/21/17 03:00:00 PM,15.951,125.0,2.87,,,,
110,06/21/17 09:00:00 PM,11.139,0.0,2.85,,,,
111,06/22/17 03:00:00 AM,8.581,0.0,2.85,,,,
112,06/22/17 09:00:00 AM,13.365,192.0,2.85,,,,
113,06/22/17 03:00:00 PM,16.999,76.0,2.87,,,,
114,06/22/17 09:00:00 PM,14.421,0.0,2.87,,,,
115,06/23/17 03:00:00 AM,11.528,0.0,2.85,,,,
116,06/23/17 09:00:00 AM,15.760,184.0,2.85,,,,
117,06/23/17 03:00:00 PM,19.662,74.0,2.87,,,,
118,06/23/17 09:00:00 PM,16.141,0.0,2.87,,,,
119,06/24/17 03:00:00 AM,13.846,0.0,2.87,,,,
120,06/24/17 09:00:00 AM,17.760,184.0,2.87,,,,
121,06/24/17 03:00:00 PM,22.238,73.0,2.91,,,,
122,06/24/17 09:00:00 PM,18.236,0.0,2.89,,,,
123,06/25/17 03:00:00 AM,17.094,0.0,2.89,,,,
124,06/25/17 09:00:00 AM,22.333,176.0,2.91,,,,
125,06/25/17 03:00:00 PM,25.028,116.0,2.91,,,,
126,06/25/17 09:00:00 PM,19.472,0.0,2.91,,,,
127,06/26/17 03:00:00 AM,16.237,0.0,2.89,,,,
128,06/26/17 09:00:00 AM,17.665,168.0,2.89,,,,
129,06/26/17 03:00:00 PM,18.806,74.0,2.91,,,,
130,06/26/17 09:00:00 PM,14.230,0.0,2.89,,,,
131,06/27/17 03:00:00 AM,11.722,0.0,2.85,,,,
132,06/27/17 09:00:00 AM,13.269,160.0,2.87,,,,
133,06/27/17 03:00:00 PM,16.523,73.0,2.87,,,,
134,06/27/17 09:00:00 PM,11.625,0.0,2.85,,,,
135,06/28/17 03:00:00 AM,8.879,0.0,2.85,,,,
136,06/28/17 09:00:00 AM,11.819,176.0,2.85,,,,
137,06/28/17 03:00:00 PM,14.900,78.0,2.87,,,,
138,06/28/17 09:00:00 PM,10.553,0.0,2.85,,,,
139,06/29/17 03:00:00 AM,8.382,0.0,2.85,,,,
140,06/29/17 09:00:00 AM,12.497,176.0,2.85,,,,
141,06/29/17 03:00:00 PM,18.426,72.0,2.87,,,,
142,06/29/17 09:00:00 PM,13.750,0.0,2.87,,,,
143,06/30/17 03:00:00 AM,12.497,0.0,2.85,,,,
144,06/30/17 09:00:00 AM,16.427,176.0,2.87,,,,
145,06/30/17 03:00:00 PM,19.567,73.0,2.89,,,,
146,06/30/17 09:00:00 PM,15.187,0.0,2.85,,,,
147,07/01/17 03:00:00 AM,13.173,0.0,2.85,,,,
148,07/01/17 09:00:00 AM,13.558,184.0,2.85,,,,
149,07/01/17 03:00:00 PM,17.094,72.0,2.87,,,,
150,07/01/17 09:00:00 PM,12.690,0.0,2.85,,,,
151,07/02/17 03:00:00 AM,11.334,0.0,2.85,,,,
152,07/02/17 09:00:00 AM,14.134,168.0,2.85,,,,
153,07/02/17 03:00:00 PM,19.092,71.0,2.89,,,,
154,07/02/17 09:00:00 PM,14.134,0.0,2.87,,,,
155,07/03/17 03:00:00 AM,11.431,0.0,2.85,,,,
156,07/03/17 09:00:00 AM,14.996,176.0,2.87,,,,
157,07/03/17 03:00:00 PM,19.567,72.0,2.89,,,,
158,07/03/17 09:00:00 PM,13.750,0.0,2.87,,,,
159,07/04/17 03:00:00 AM,12.980,0.0,2.85,,,,
160,07/04/17 09:00:00 AM,16.237,136.0,2.87,,,,
161,07/04/17 03:00:00 PM,20.043,70.0,2.87,,,,
162,07/04/17 09:00:00 PM,16.332,0.0,2.87,,,,
163,07/05/17 03:00:00 AM,14.421,0.0,2.87,,,,
164,07/05/17 09:00:00 AM,19.472,168.0,2.89,,,,
165,07/05/17 03:00:00 PM,21.664,69.0,2.89,,,,
166,07/05/17 09:00:00 PM,16.237,0.0,2.87,,,,
167,07/06/17 03:00:00 AM,14.421,0.0,2.87,,,,
168,07/06/17 09:00:00 AM,18.616,168.0,2.89,,,,
169,07/06/17 03:00:00 PM,22.525,70.0,2.91,,,,
