"Plot Title: 10166271"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Coupler Attached","Coupler Detached","Stopped","End Of File"
1,05/23/17 03:00:00 PM,20.710,288.0,3.17,,,,
2,05/23/17 09:00:00 PM,12.980,0.0,3.14,,,,
3,05/24/17 03:00:00 AM,8.581,0.0,3.10,,,,
4,05/24/17 09:00:00 AM,6.674,82.0,3.08,,,,
5,05/24/17 03:00:00 PM,10.944,336.0,3.08,,,,
6,05/24/17 09:00:00 PM,5.962,0.0,3.03,,,,
7,05/25/17 03:00:00 AM,5.141,0.0,3.01,,,,
8,05/25/17 09:00:00 AM,5.860,78.0,3.01,,,,
9,05/25/17 03:00:00 PM,8.978,68.0,3.03,,,,
10,05/25/17 09:00:00 PM,7.582,0.0,3.01,,,,
11,05/26/17 03:00:00 AM,6.471,0.0,2.99,,,,
12,05/26/17 09:00:00 AM,8.282,78.0,2.99,,,,
13,05/26/17 03:00:00 PM,16.046,304.0,3.01,,,,
14,05/26/17 09:00:00 PM,12.207,0.0,3.01,,,,
15,05/27/17 03:00:00 AM,11.139,0.0,2.99,,,,
16,05/27/17 09:00:00 AM,13.461,82.0,2.99,,,,
17,05/27/17 03:00:00 PM,19.758,352.0,3.01,,,,
18,05/27/17 09:00:00 PM,15.282,0.0,2.99,,,,
19,05/28/17 03:00:00 AM,12.594,0.0,2.99,,,,
20,05/28/17 09:00:00 AM,15.569,81.0,2.97,,,,
21,05/28/17 03:00:00 PM,22.812,288.0,3.01,,,,
22,05/28/17 09:00:00 PM,15.569,0.0,2.99,,,,
23,05/29/17 03:00:00 AM,13.461,0.0,2.97,,,,
24,05/29/17 09:00:00 AM,16.618,88.0,2.97,,,,
25,05/29/17 03:00:00 PM,21.569,304.0,2.99,,,,
26,05/29/17 09:00:00 PM,15.569,0.0,2.97,,,,
27,05/30/17 03:00:00 AM,12.980,0.0,2.97,,,,
28,05/30/17 09:00:00 AM,11.041,152.0,2.93,,,,
29,05/30/17 03:00:00 PM,9.571,41.0,2.93,,,,
30,05/30/17 09:00:00 PM,8.978,0.0,2.93,,,,
31,05/31/17 03:00:00 AM,6.775,0.0,2.91,,,,
32,05/31/17 09:00:00 AM,8.680,256.0,2.91,,,,
33,05/31/17 03:00:00 PM,14.996,240.0,2.95,,,,
34,05/31/17 09:00:00 PM,10.553,0.0,2.91,,,,
35,06/01/17 03:00:00 AM,8.481,0.0,2.91,,,,
36,06/01/17 09:00:00 AM,8.481,94.0,2.91,,,,
37,06/01/17 03:00:00 PM,10.944,480.0,2.91,,,,
38,06/01/17 09:00:00 PM,9.472,0.0,2.91,,,,
39,06/02/17 03:00:00 AM,7.983,0.0,2.89,,,,
40,06/02/17 09:00:00 AM,9.275,79.0,2.89,,,,
41,06/02/17 03:00:00 PM,15.855,272.0,2.91,,,,
42,06/02/17 09:00:00 PM,11.916,0.0,2.91,,,,
43,06/03/17 03:00:00 AM,9.768,0.0,2.89,,,,
44,06/03/17 09:00:00 AM,9.275,82.0,2.89,,,,
45,06/03/17 03:00:00 PM,13.846,320.0,2.91,,,,
46,06/03/17 09:00:00 PM,8.581,0.0,2.89,,,,
