"Plot Title: 10166321"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Coupler Attached","Coupler Detached","Host Connected","Stopped","End Of File"
1,05/25/17 03:00:00 PM,10.944,13.0,3.10,,,,,,
2,05/25/17 09:00:00 PM,6.978,0.0,3.05,,,,,,
3,05/26/17 03:00:00 AM,6.166,0.0,3.01,,,,,,
4,05/26/17 09:00:00 AM,11.528,352.0,3.03,,,,,,
5,05/26/17 03:00:00 PM,13.269,76.0,3.05,,,,,,
6,05/26/17 09:00:00 PM,10.161,0.0,3.01,,,,,,
7,05/27/17 03:00:00 AM,8.581,0.0,2.99,,,,,,
8,05/27/17 09:00:00 AM,16.046,368.0,3.01,,,,,,
9,05/27/17 03:00:00 PM,17.760,56.0,3.03,,,,,,
10,05/27/17 09:00:00 PM,12.304,0.0,2.99,,,,,,
11,05/28/17 03:00:00 AM,10.651,0.0,2.95,,,,,,
12,05/28/17 09:00:00 AM,16.523,384.0,2.97,,,,,,
13,05/28/17 03:00:00 PM,19.758,72.0,2.99,,,,,,
14,05/28/17 09:00:00 PM,13.461,0.0,2.97,,,,,,
15,05/29/17 03:00:00 AM,11.236,0.0,2.93,,,,,,
16,05/29/17 09:00:00 AM,17.665,368.0,2.97,,,,,,
17,05/29/17 03:00:00 PM,19.567,128.0,2.99,,,,,,
18,05/29/17 09:00:00 PM,14.230,0.0,2.95,,,,,,
19,05/30/17 03:00:00 AM,12.013,0.0,2.91,,,,,,
20,05/30/17 09:00:00 AM,11.041,119.0,2.89,,,,,,
21,05/30/17 03:00:00 PM,9.866,45.0,2.87,,,,,,
22,05/30/17 09:00:00 PM,8.779,0.0,2.87,,,,,,
23,05/31/17 03:00:00 AM,7.280,0.0,2.87,,,,,,
24,05/31/17 09:00:00 AM,10.259,208.0,2.85,,,,,,
25,05/31/17 03:00:00 PM,14.421,115.0,2.91,,,,,,
26,05/31/17 09:00:00 PM,10.455,0.0,2.85,,,,,,
27,06/01/17 03:00:00 AM,8.879,0.0,2.87,,,,,,
28,06/01/17 09:00:00 AM,9.275,113.0,2.87,,,,,,
29,06/01/17 03:00:00 PM,11.819,136.0,2.85,,,,,,
30,06/01/17 09:00:00 PM,9.176,0.0,2.87,,,,,,
31,06/02/17 03:00:00 AM,8.182,0.0,2.85,,,,,,
32,06/02/17 09:00:00 AM,11.916,432.0,2.85,,,,,,
33,06/02/17 03:00:00 PM,15.091,79.0,2.87,,,,,,
34,06/02/17 09:00:00 PM,11.528,0.0,2.85,,,,,,
35,06/03/17 03:00:00 AM,8.978,0.0,2.85,,,,,,
36,06/03/17 09:00:00 AM,9.669,96.0,2.83,,,,,,
37,06/03/17 03:00:00 PM,14.038,168.0,2.85,,,,,,
38,06/03/17 09:00:00 PM,8.481,0.0,2.83,,,,,,
39,06/04/17 03:00:00 AM,6.978,0.0,2.81,,,,,,
40,06/04/17 09:00:00 AM,7.983,112.0,2.81,,,,,,
41,06/04/17 03:00:00 PM,9.472,128.0,2.83,,,,,,
42,06/04/17 09:00:00 PM,5.347,0.0,2.77,,,,,,
43,06/05/17 03:00:00 AM,4.311,0.0,2.77,,,,,,
44,06/05/17 09:00:00 AM,10.651,480.0,2.81,,,,,,
45,06/05/17 03:00:00 PM,15.282,106.0,2.83,,,,,,
46,06/05/17 09:00:00 PM,11.625,0.0,2.83,,,,,,
47,06/06/17 03:00:00 AM,9.472,0.0,2.83,,,,,,
48,06/06/17 09:00:00 AM,14.709,496.0,2.85,,,,,,
49,06/06/17 03:00:00 PM,17.760,92.0,2.87,,,,,,
50,06/06/17 09:00:00 PM,12.980,0.0,2.85,,,,,,
51,06/07/17 03:00:00 AM,11.625,0.0,2.83,,,,,,
52,06/07/17 09:00:00 AM,15.091,336.0,2.83,,,,,,
53,06/07/17 03:00:00 PM,17.379,168.0,2.85,,,,,,
54,06/07/17 09:00:00 PM,12.497,0.0,2.85,,,,,,
55,06/08/17 03:00:00 AM,10.651,0.0,2.81,,,,,,
56,06/08/17 09:00:00 AM,9.472,66.0,2.81,,,,,,
57,06/08/17 03:00:00 PM,8.282,123.0,2.79,,,,,,
58,06/08/17 09:00:00 PM,5.655,0.0,2.75,Logged,,,,,
59,06/09/17 03:00:00 AM,4.727,0.0,2.77,,,,,,
60,06/09/17 09:00:00 AM,5.962,144.0,2.75,,,,,,
61,06/09/17 03:00:00 PM,4.727,30.0,2.75,,,,,,
62,06/09/17 09:00:00 PM,3.893,0.0,2.75,,,,,,
63,06/10/17 03:00:00 AM,3.472,0.0,2.74,,,,,,
64,06/10/17 09:00:00 AM,3.893,102.0,2.74,,,,,,
65,06/10/17 03:00:00 PM,3.472,14.0,2.74,,,,,,
66,06/10/17 09:00:00 PM,3.049,0.0,2.74,,,,,,
67,06/11/17 03:00:00 AM,3.155,0.0,2.72,,,,,,
68,06/11/17 09:00:00 AM,5.141,152.0,2.74,,,,,,
69,06/11/17 03:00:00 PM,6.978,98.0,2.75,,,,,,
70,06/11/17 09:00:00 PM,6.268,0.0,2.75,,,,,,
71,06/12/17 03:00:00 AM,5.655,0.0,2.74,,,,,,
72,06/12/17 09:00:00 AM,5.450,60.0,2.74,,,,,,
73,06/12/17 03:00:00 PM,5.962,18.0,2.74,,,,,,
74,06/12/17 09:00:00 PM,4.831,0.0,2.74,,,,,,
75,06/13/17 03:00:00 AM,3.893,0.0,2.74,,,,,,
76,06/13/17 09:00:00 AM,4.102,72.0,2.74,,,,,,
