"Plot Title: 10166277"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Coupler Attached","Coupler Detached","Stopped","End Of File"
1,05/25/17 03:00:00 PM,10.357,28.0,3.10,,,,
2,05/25/17 09:00:00 PM,6.471,0.0,3.05,,,,
3,05/26/17 03:00:00 AM,5.552,0.0,3.03,,,,
4,05/26/17 09:00:00 AM,12.594,480.0,3.05,,,,
5,05/26/17 03:00:00 PM,12.883,208.0,3.05,,,,
6,05/26/17 09:00:00 PM,9.866,0.0,3.01,,,,
7,05/27/17 03:00:00 AM,8.382,0.0,3.01,,,,
8,05/27/17 09:00:00 AM,18.616,400.0,3.05,,,,
9,05/27/17 03:00:00 PM,17.760,87.0,3.05,,,,
10,05/27/17 09:00:00 PM,12.013,0.0,3.01,,,,
11,05/28/17 03:00:00 AM,10.455,0.0,2.99,,,,
12,05/28/17 09:00:00 AM,20.043,400.0,3.01,,,,
13,05/28/17 03:00:00 PM,19.662,184.0,3.01,,,,
14,05/28/17 09:00:00 PM,12.980,0.0,2.99,,,,
15,05/29/17 03:00:00 AM,10.846,0.0,2.97,,,,
16,05/29/17 09:00:00 AM,22.908,384.0,3.01,,,,
17,05/29/17 03:00:00 PM,19.567,272.0,3.01,,,,
18,05/29/17 09:00:00 PM,13.942,0.0,2.99,,,,
19,05/30/17 03:00:00 AM,11.625,0.0,2.95,,,,
20,05/30/17 09:00:00 AM,11.236,224.0,2.95,,,,
21,05/30/17 03:00:00 PM,9.768,89.0,2.93,,,,
22,05/30/17 09:00:00 PM,8.481,0.0,2.93,,,,
23,05/31/17 03:00:00 AM,6.877,0.0,2.91,,,,
24,05/31/17 09:00:00 AM,12.207,384.0,2.93,,,,
25,05/31/17 03:00:00 PM,14.421,288.0,2.95,,,,
26,05/31/17 09:00:00 PM,10.259,0.0,2.91,,,,
27,06/01/17 03:00:00 AM,8.680,0.0,2.91,,,,
28,06/01/17 09:00:00 AM,8.978,200.0,2.91,,,,
29,06/01/17 03:00:00 PM,11.236,352.0,2.91,,,,
30,06/01/17 09:00:00 PM,8.779,0.0,2.89,,,,
31,06/02/17 03:00:00 AM,7.983,0.0,2.89,,,,
32,06/02/17 09:00:00 AM,18.140,2304.0,2.93,,,,
33,06/02/17 03:00:00 PM,15.091,192.0,2.91,,,,
34,06/02/17 09:00:00 PM,11.139,0.0,2.89,,,,
35,06/03/17 03:00:00 AM,8.581,0.0,2.89,,,,
36,06/03/17 09:00:00 AM,9.669,176.0,2.87,,,,
37,06/03/17 03:00:00 PM,13.558,352.0,2.91,,,,
38,06/03/17 09:00:00 PM,8.382,0.0,2.89,,,,
39,06/04/17 03:00:00 AM,6.775,0.0,2.87,,,,
40,06/04/17 09:00:00 AM,8.282,216.0,2.87,,,,
41,06/04/17 03:00:00 PM,9.768,256.0,2.87,,,,
42,06/04/17 09:00:00 PM,5.244,0.0,2.85,,,,
43,06/05/17 03:00:00 AM,3.788,0.0,2.85,,,,
44,06/05/17 09:00:00 AM,18.236,3200.0,2.89,,,,
45,06/05/17 03:00:00 PM,15.569,232.0,2.89,,,,
46,06/05/17 09:00:00 PM,11.528,0.0,2.89,,,,
47,06/06/17 03:00:00 AM,9.472,0.0,2.87,,,,
48,06/06/17 09:00:00 AM,21.378,2688.0,2.91,,,,
49,06/06/17 03:00:00 PM,18.331,208.0,2.93,,,,
50,06/06/17 09:00:00 PM,12.594,0.0,2.89,,,,
51,06/07/17 03:00:00 AM,11.236,0.0,2.87,,,,
52,06/07/17 09:00:00 AM,16.999,1216.0,2.91,,,,
53,06/07/17 03:00:00 PM,17.475,288.0,2.91,,,,
54,06/07/17 09:00:00 PM,11.916,0.0,2.89,,,,
55,06/08/17 03:00:00 AM,10.063,0.0,2.87,,,,
56,06/08/17 09:00:00 AM,8.779,126.0,2.87,,,,
57,06/08/17 03:00:00 PM,8.082,256.0,2.87,,,,
58,06/08/17 09:00:00 PM,5.347,0.0,2.83,,,,
59,06/09/17 03:00:00 AM,4.415,0.0,2.85,,,,
60,06/09/17 09:00:00 AM,5.347,272.0,2.83,,,,
61,06/09/17 03:00:00 PM,4.311,66.0,2.83,,,,
62,06/09/17 09:00:00 PM,3.472,0.0,2.83,,,,
63,06/10/17 03:00:00 AM,3.261,0.0,2.81,,,,
64,06/10/17 09:00:00 AM,3.578,208.0,2.81,,,,
65,06/10/17 03:00:00 PM,1.980,34.0,2.81,,,,
66,06/10/17 09:00:00 PM,2.943,0.0,2.81,,,,
67,06/11/17 03:00:00 AM,2.943,0.0,2.81,,,,
68,06/11/17 09:00:00 AM,5.244,320.0,2.81,,,,
69,06/11/17 03:00:00 PM,6.877,216.0,2.83,,,,
70,06/11/17 09:00:00 PM,6.166,0.0,2.83,,,,
71,06/12/17 03:00:00 AM,5.655,0.0,2.81,,,,
72,06/12/17 09:00:00 AM,5.552,128.0,2.81,,,,
73,06/12/17 03:00:00 PM,5.860,44.0,2.83,,,,
74,06/12/17 09:00:00 PM,4.831,0.0,2.81,,,,
75,06/13/17 03:00:00 AM,3.998,0.0,2.81,,,,
76,06/13/17 09:00:00 AM,3.893,168.0,2.81,,,,
77,06/13/17 03:00:00 PM,6.471,352.0,2.81,,,,
78,06/13/17 09:00:00 PM,4.415,0.0,2.83,,,,
