"Plot Title: 10169152"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Coupler Attached","Stopped","End Of File"
1,05/24/17 03:00:00 PM,12.013,368.0,2.95,,,,
2,05/24/17 09:00:00 PM,5.141,0.0,2.89,,,,
3,05/25/17 03:00:00 AM,4.727,0.0,2.91,,,,
4,05/25/17 09:00:00 AM,7.882,384.0,2.93,,,,
5,05/25/17 03:00:00 PM,8.680,160.0,2.95,,,,
6,05/25/17 09:00:00 PM,7.682,0.0,2.93,,,,
7,05/26/17 03:00:00 AM,6.877,0.0,2.91,,,,
8,05/26/17 09:00:00 AM,10.651,288.0,2.93,,,,
9,05/26/17 03:00:00 PM,16.713,400.0,2.99,,,,
10,05/26/17 09:00:00 PM,12.690,0.0,2.97,,,,
11,05/27/17 03:00:00 AM,11.139,0.0,2.93,,,,
12,05/27/17 09:00:00 AM,15.760,432.0,2.95,,,,
13,05/27/17 03:00:00 PM,21.760,432.0,2.99,,,,
14,05/27/17 09:00:00 PM,15.282,0.0,2.95,,,,
15,05/28/17 03:00:00 AM,13.365,0.0,2.93,,,,
16,05/28/17 09:00:00 AM,18.236,496.0,2.95,,,,
17,05/28/17 03:00:00 PM,23.869,384.0,2.99,,,,
18,05/28/17 09:00:00 PM,15.473,0.0,2.93,,,,
19,05/29/17 03:00:00 AM,13.654,0.0,2.93,,,,
20,05/29/17 09:00:00 AM,18.996,464.0,2.95,,,,
21,05/29/17 03:00:00 PM,22.621,432.0,2.97,,,,
22,05/29/17 09:00:00 PM,16.237,0.0,2.91,,,,
23,05/30/17 03:00:00 AM,12.690,0.0,2.89,,,,
24,05/30/17 09:00:00 AM,12.401,480.0,2.85,,,,
25,05/30/17 03:00:00 PM,9.965,114.0,2.85,,,,
26,05/30/17 09:00:00 PM,8.779,0.0,2.85,,,,
27,05/31/17 03:00:00 AM,7.280,0.0,2.83,,,,
28,05/31/17 09:00:00 AM,10.357,608.0,2.83,,,,
29,05/31/17 03:00:00 PM,15.760,464.0,2.87,,,,
30,05/31/17 09:00:00 PM,10.259,0.0,2.85,,,,
31,06/01/17 03:00:00 AM,8.581,0.0,2.83,,,,
32,06/01/17 09:00:00 AM,9.077,288.0,2.83,,,,
33,06/01/17 03:00:00 PM,12.207,432.0,2.85,,,,
34,06/01/17 09:00:00 PM,8.879,0.0,2.83,,,,
35,06/02/17 03:00:00 AM,7.682,0.0,2.81,,,,
36,06/02/17 09:00:00 AM,10.944,320.0,2.83,,,,
37,06/02/17 03:00:00 PM,17.475,448.0,2.87,,,,
38,06/02/17 09:00:00 PM,11.528,0.0,2.85,,,,
39,06/03/17 03:00:00 AM,8.879,0.0,2.83,,,,
40,06/03/17 09:00:00 AM,10.161,368.0,2.81,,,,
41,06/03/17 03:00:00 PM,15.664,608.0,2.85,,,,
42,06/03/17 09:00:00 PM,8.481,0.0,2.83,,,,
43,06/04/17 03:00:00 AM,7.079,0.0,2.79,,,,
44,06/04/17 09:00:00 AM,9.077,960.0,2.81,,,,
45,06/04/17 03:00:00 PM,10.944,704.0,2.81,,,,
46,06/04/17 09:00:00 PM,5.962,0.0,2.77,,,,
47,06/05/17 03:00:00 AM,5.037,0.0,2.75,Logged,,,
48,06/05/17 09:00:00 AM,11.041,368.0,2.79,,,,
49,06/05/17 03:00:00 PM,18.996,480.0,2.87,,,,
50,06/05/17 09:00:00 PM,12.980,0.0,2.85,,,,
51,06/06/17 03:00:00 AM,11.819,0.0,2.83,,,,
52,06/06/17 09:00:00 AM,15.760,464.0,2.83,,,,
53,06/06/17 03:00:00 PM,21.473,496.0,2.87,,,,
54,06/06/17 09:00:00 PM,14.038,0.0,2.85,,,,
55,06/07/17 03:00:00 AM,12.883,0.0,2.85,,,,
56,06/07/17 09:00:00 AM,17.665,768.0,2.85,,,,
57,06/07/17 03:00:00 PM,20.710,704.0,2.85,,,,
58,06/07/17 09:00:00 PM,12.401,0.0,2.83,,,,
59,06/08/17 03:00:00 AM,10.259,0.0,2.81,,,,
60,06/08/17 09:00:00 AM,9.176,336.0,2.81,,,,
61,06/08/17 03:00:00 PM,8.481,864.0,2.77,,,,
62,06/08/17 09:00:00 PM,5.450,0.0,2.75,,,,
63,06/09/17 03:00:00 AM,3.998,0.0,2.75,,,,
64,06/09/17 09:00:00 AM,6.268,864.0,2.74,,,,
65,06/09/17 03:00:00 PM,4.519,304.0,2.74,,,,
66,06/09/17 09:00:00 PM,3.367,0.0,2.72,,,,
67,06/10/17 03:00:00 AM,2.410,0.0,2.72,,,,
68,06/10/17 09:00:00 AM,3.788,480.0,2.72,,,,
69,06/10/17 03:00:00 PM,5.244,10.0,2.72,,,,
70,06/10/17 09:00:00 PM,3.155,0.0,2.72,,,,
71,06/11/17 03:00:00 AM,2.837,0.0,2.70,,,,
72,06/11/17 09:00:00 AM,5.860,608.0,2.70,,,,
73,06/11/17 03:00:00 PM,7.682,608.0,2.74,,,,
74,06/11/17 09:00:00 PM,5.860,0.0,2.72,,,,
75,06/12/17 03:00:00 AM,5.347,0.0,2.72,,,,
76,06/12/17 09:00:00 AM,5.037,184.0,2.70,,,,
77,06/12/17 03:00:00 PM,5.552,136.0,2.72,,,,
78,06/12/17 09:00:00 PM,4.311,0.0,2.72,,,,
79,06/13/17 03:00:00 AM,3.367,0.0,2.70,,,,
80,06/13/17 09:00:00 AM,4.207,336.0,2.70,,,,
81,06/13/17 03:00:00 PM,6.573,480.0,2.72,,,,
82,06/13/17 09:00:00 PM,4.311,0.0,2.72,,,,
