"Plot Title: 10166297"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Coupler Attached","Coupler Detached","Host Connected","Stopped","End Of File"
1,05/24/17 03:00:00 PM,11.431,320.0,3.05,,,,,,
2,05/24/17 09:00:00 PM,5.655,0.0,3.01,,,,,,
3,05/25/17 03:00:00 AM,4.519,0.0,3.01,,,,,,
4,05/25/17 09:00:00 AM,6.166,86.0,3.01,,,,,,
5,05/25/17 03:00:00 PM,9.866,66.0,3.03,,,,,,
6,05/25/17 09:00:00 PM,7.882,0.0,3.01,,,,,,
7,05/26/17 03:00:00 AM,6.978,0.0,2.99,,,,,,
8,05/26/17 09:00:00 AM,8.978,144.0,3.01,,,,,,
9,05/26/17 03:00:00 PM,16.427,320.0,3.05,,,,,,
10,05/26/17 09:00:00 PM,12.401,0.0,3.03,,,,,,
11,05/27/17 03:00:00 AM,10.748,0.0,2.99,,,,,,
12,05/27/17 09:00:00 AM,13.365,144.0,3.01,,,,,,
13,05/27/17 03:00:00 PM,20.901,368.0,3.05,,,,,,
14,05/27/17 09:00:00 PM,14.709,0.0,3.03,,,,,,
15,05/28/17 03:00:00 AM,13.076,0.0,2.99,,,,,,
16,05/28/17 09:00:00 AM,15.664,144.0,2.99,,,,,,
17,05/28/17 03:00:00 PM,23.292,320.0,3.03,,,,,,
18,05/28/17 09:00:00 PM,15.569,0.0,2.99,,,,,,
19,05/29/17 03:00:00 AM,13.365,0.0,2.99,,,,,,
20,05/29/17 09:00:00 AM,16.713,144.0,2.99,,,,,,
21,05/29/17 03:00:00 PM,21.951,320.0,3.01,,,,,,
22,05/29/17 09:00:00 PM,15.855,0.0,2.99,,,,,,
23,05/30/17 03:00:00 AM,12.304,0.0,2.95,,,,,,
24,05/30/17 09:00:00 AM,10.553,208.0,2.93,,,,,,
25,05/30/17 03:00:00 PM,9.077,40.0,2.93,,,,,,
26,05/30/17 09:00:00 PM,8.680,0.0,2.91,,,,,,
27,05/31/17 03:00:00 AM,7.582,0.0,2.89,,,,,,
28,05/31/17 09:00:00 AM,8.680,176.0,2.89,,,,,,
29,05/31/17 03:00:00 PM,13.942,320.0,2.93,,,,,,
30,05/31/17 09:00:00 PM,9.669,0.0,2.89,,,,,,
31,06/01/17 03:00:00 AM,8.282,0.0,2.89,,,,,,
32,06/01/17 09:00:00 AM,8.481,96.0,2.89,,,,,,
33,06/01/17 03:00:00 PM,10.748,200.0,2.89,,,,,,
34,06/01/17 09:00:00 PM,8.978,0.0,2.89,,,,,,
35,06/02/17 03:00:00 AM,7.882,0.0,2.87,,,,,,
36,06/02/17 09:00:00 AM,9.768,136.0,2.87,,,,,,
37,06/02/17 03:00:00 PM,16.141,320.0,2.91,,,,,,
38,06/02/17 09:00:00 PM,11.722,0.0,2.89,,,,,,
39,06/03/17 03:00:00 AM,9.373,0.0,2.89,,,,,,
40,06/03/17 09:00:00 AM,9.077,119.0,2.87,,,,,,
41,06/03/17 03:00:00 PM,13.654,384.0,2.91,,,,,,
42,06/03/17 09:00:00 PM,8.382,0.0,2.87,,,,,,
43,06/04/17 03:00:00 AM,6.877,0.0,2.87,,,,,,
44,06/04/17 09:00:00 AM,6.978,352.0,2.85,,,,,,
45,06/04/17 03:00:00 PM,10.063,576.0,2.85,,,,,,
46,06/04/17 09:00:00 PM,6.471,0.0,2.85,,,,,,
47,06/05/17 03:00:00 AM,5.552,0.0,2.83,,,,,,
