"Plot Title: 10760650"
"#","Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²","Coupler Attached","Stopped","End Of File"
112,06/19/17 09:00:00 PM,17.284,1.0,,,
113,06/20/17 03:00:00 AM,13.461,0.0,,,
114,06/20/17 09:00:00 AM,13.942,480.0,,,
115,06/20/17 03:00:00 PM,20.996,416.0,,,
116,06/20/17 09:00:00 PM,14.230,3.0,,,
117,06/21/17 03:00:00 AM,10.944,0.0,,,
118,06/21/17 09:00:00 AM,11.236,416.0,,,
119,06/21/17 03:00:00 PM,21.378,480.0,,,
120,06/21/17 09:00:00 PM,13.558,2.0,,,
121,06/22/17 03:00:00 AM,10.455,0.0,,,
122,06/22/17 09:00:00 AM,12.207,496.0,,,
123,06/22/17 03:00:00 PM,20.424,368.0,,,
124,06/22/17 09:00:00 PM,15.951,3.0,,,
125,06/23/17 03:00:00 AM,13.173,0.0,,,
126,06/23/17 09:00:00 AM,14.709,464.0,,,
127,06/23/17 03:00:00 PM,23.677,400.0,,,
128,06/23/17 09:00:00 PM,18.521,3.0,,,
129,06/24/17 03:00:00 AM,16.618,0.0,,,
130,06/24/17 09:00:00 AM,18.331,480.0,,,
131,06/24/17 03:00:00 PM,26.977,400.0,,,
132,06/24/17 09:00:00 PM,20.996,3.0,,,
133,06/25/17 03:00:00 AM,18.236,0.0,,,
134,06/25/17 09:00:00 AM,20.710,480.0,,,
135,06/25/17 03:00:00 PM,31.676,400.0,,,
136,06/25/17 09:00:00 PM,20.519,3.0,,,
137,06/26/17 03:00:00 AM,17.570,0.0,,,
138,06/26/17 09:00:00 AM,17.570,448.0,,,
139,06/26/17 03:00:00 PM,24.931,368.0,,,
140,06/26/17 09:00:00 PM,15.091,1.0,,,
141,06/27/17 03:00:00 AM,11.431,0.0,,,
142,06/27/17 09:00:00 AM,12.304,368.0,,,
143,06/27/17 03:00:00 PM,21.378,416.0,,,
144,06/27/17 09:00:00 PM,12.980,3.0,,,
145,06/28/17 03:00:00 AM,9.768,0.0,,,
146,06/28/17 09:00:00 AM,10.063,496.0,,,
147,06/28/17 03:00:00 PM,20.710,416.0,,,
148,06/28/17 09:00:00 PM,12.787,2.0,,,
149,06/29/17 03:00:00 AM,9.768,0.0,,,
150,06/29/17 09:00:00 AM,11.819,480.0,,,
151,06/29/17 03:00:00 PM,25.125,400.0,,,
152,06/29/17 09:00:00 PM,16.141,3.0,,,
153,06/30/17 03:00:00 AM,15.091,0.0,,,
154,06/30/17 09:00:00 AM,16.523,496.0,,,
155,06/30/17 03:00:00 PM,26.292,608.0,,,
156,06/30/17 09:00:00 PM,16.713,1.0,,,
157,07/01/17 03:00:00 AM,13.461,0.0,,,
158,07/01/17 09:00:00 AM,12.980,320.0,,,
159,07/01/17 03:00:00 PM,22.908,448.0,,,
160,07/01/17 09:00:00 PM,14.421,3.0,,,
161,07/02/17 03:00:00 AM,11.916,0.0,,,
162,07/02/17 09:00:00 AM,13.846,480.0,,,
163,07/02/17 03:00:00 PM,25.805,800.0,,,
164,07/02/17 09:00:00 PM,16.523,3.0,,,
165,07/03/17 03:00:00 AM,12.883,0.0,,,
166,07/03/17 09:00:00 AM,14.134,480.0,,,
167,07/03/17 03:00:00 PM,27.370,672.0,,,
168,07/03/17 09:00:00 PM,16.427,1.0,,,
169,07/04/17 03:00:00 AM,14.230,0.0,,,
170,07/04/17 09:00:00 AM,16.046,496.0,,,
171,07/04/17 03:00:00 PM,27.272,576.0,,,
172,07/04/17 09:00:00 PM,18.521,3.0,,,
173,07/05/17 03:00:00 AM,16.141,0.0,,,
174,07/05/17 09:00:00 AM,18.996,464.0,,,
175,07/05/17 03:00:00 PM,30.255,576.0,,,
176,07/05/17 09:00:00 PM,18.711,2.0,,,
177,07/06/17 03:00:00 AM,15.855,0.0,,,
178,07/06/17 09:00:00 AM,18.711,480.0,,,
179,07/06/17 03:00:00 PM,31.574,608.0,,,
180,07/06/17 09:00:00 PM,20.234,2.0,,,
181,07/07/17 03:00:00 AM,16.903,0.0,,,
182,07/07/17 09:00:00 AM,16.237,464.0,,,
183,07/07/17 03:00:00 PM,28.456,480.0,,,
184,07/07/17 09:00:00 PM,17.094,0.0,,,
185,07/08/17 03:00:00 AM,14.709,0.0,,,
186,07/08/17 09:00:00 AM,17.189,480.0,,,
187,07/08/17 03:00:00 PM,32.188,496.0,,,
188,07/08/17 09:00:00 PM,17.855,2.0,,,
189,07/09/17 03:00:00 AM,14.325,0.0,,,
190,07/09/17 09:00:00 AM,15.473,480.0,,,
191,07/09/17 03:00:00 PM,29.452,512.0,,,
192,07/09/17 09:00:00 PM,16.713,0.0,,,
193,07/10/17 03:00:00 AM,13.750,0.0,,,
194,07/10/17 09:00:00 AM,14.230,288.0,,,
195,07/10/17 03:00:00 PM,26.097,672.0,,,
196,07/10/17 09:00:00 PM,14.134,1.0,,,
197,07/11/17 03:00:00 AM,11.041,0.0,,,
198,07/11/17 09:00:00 AM,12.594,480.0,,,
199,07/11/17 03:00:00 PM,33.430,1024.0,,,
200,07/11/17 09:00:00 PM,15.951,1.0,,,
201,07/12/17 03:00:00 AM,12.594,0.0,,,
202,07/12/17 09:00:00 AM,14.134,480.0,,,
203,07/12/17 03:00:00 PM,38.046,1920.0,,,
204,07/12/17 09:00:00 PM,17.284,1.0,,,
205,07/13/17 03:00:00 AM,12.497,0.0,,,
206,07/13/17 09:00:00 AM,13.461,464.0,,,
207,07/13/17 03:00:00 PM,36.837,3968.0,,,
208,07/13/17 09:00:00 PM,15.951,4.0,,,
209,07/14/17 03:00:00 AM,13.269,0.0,,,
210,07/14/17 09:00:00 AM,16.141,480.0,,,
211,07/14/17 03:00:00 PM,43.844,4608.0,,,
212,07/14/17 09:00:00 PM,18.331,1.0,,,
213,07/15/17 03:00:00 AM,14.421,0.0,,,
214,07/15/17 09:00:00 AM,14.900,480.0,,,
215,07/15/17 03:00:00 PM,41.458,704.0,,,
216,07/15/17 09:00:00 PM,15.091,1.0,,,
217,07/16/17 03:00:00 AM,11.041,0.0,,,
218,07/16/17 09:00:00 AM,11.625,464.0,,,
219,07/16/17 03:00:00 PM,39.729,672.0,,,
220,07/16/17 09:00:00 PM,13.846,1.0,,,
221,07/17/17 03:00:00 AM,10.846,0.0,,,
222,07/17/17 09:00:00 AM,12.207,480.0,,,
223,07/17/17 03:00:00 PM,41.225,1152.0,,,
224,07/17/17 09:00:00 PM,15.187,1.0,,,
225,07/18/17 03:00:00 AM,12.690,0.0,,,
226,07/18/17 09:00:00 AM,14.517,480.0,,,
227,07/18/17 03:00:00 PM,38.379,608.0,,,
228,07/18/17 09:00:00 PM,15.473,1.0,,,
229,07/19/17 03:00:00 AM,11.431,0.0,,,
230,07/19/17 09:00:00 AM,13.269,480.0,,,
231,07/19/17 03:00:00 PM,33.848,704.0,,,
232,07/19/17 09:00:00 PM,14.613,0.0,,,
233,07/20/17 03:00:00 AM,9.768,0.0,,,
234,07/20/17 09:00:00 AM,10.651,464.0,,,
235,07/20/17 03:00:00 PM,28.159,608.0,,,
236,07/20/17 09:00:00 PM,13.654,0.0,,,
237,07/21/17 03:00:00 AM,11.041,0.0,,,
238,07/21/17 09:00:00 AM,12.883,496.0,,,
239,07/21/17 03:00:00 PM,33.118,864.0,,,
240,07/21/17 09:00:00 PM,15.855,0.0,,,
241,07/22/17 03:00:00 AM,13.942,0.0,,,
242,07/22/17 09:00:00 AM,16.141,480.0,,,
243,07/22/17 03:00:00 PM,38.490,1728.0,,,
244,07/22/17 09:00:00 PM,20.234,0.0,,,
245,07/23/17 03:00:00 AM,17.379,0.0,,,
246,07/23/17 09:00:00 AM,18.806,464.0,,,
247,07/23/17 03:00:00 PM,38.490,768.0,,,
248,07/23/17 09:00:00 PM,18.711,0.0,,,
249,07/24/17 03:00:00 AM,16.046,0.0,,,
250,07/24/17 09:00:00 AM,17.189,480.0,,,
251,07/24/17 03:00:00 PM,40.876,4864.0,,,
252,07/24/17 09:00:00 PM,19.282,6.0,,,
253,07/25/17 03:00:00 AM,16.427,0.0,,,
254,07/25/17 09:00:00 AM,16.999,368.0,,,
255,07/25/17 03:00:00 PM,38.490,7424.0,,,
256,07/25/17 09:00:00 PM,18.236,1.0,,,
257,07/26/17 03:00:00 AM,16.808,0.0,,,
258,07/26/17 09:00:00 AM,17.094,496.0,,,
259,07/26/17 03:00:00 PM,43.723,13824.0,,,
260,07/26/17 09:00:00 PM,17.855,0.0,,,
261,07/27/17 03:00:00 AM,14.613,0.0,,,
262,07/27/17 09:00:00 AM,15.569,480.0,,,
263,07/27/17 03:00:00 PM,43.359,18432.0,,,
264,07/27/17 09:00:00 PM,17.189,0.0,,,
265,07/28/17 03:00:00 AM,14.230,0.0,,,
266,07/28/17 09:00:00 AM,14.900,480.0,,,
267,07/28/17 03:00:00 PM,38.046,17408.0,,,
268,07/28/17 09:00:00 PM,16.999,0.0,,,
269,07/29/17 03:00:00 AM,14.325,0.0,,,
270,07/29/17 09:00:00 AM,15.378,464.0,,,
271,07/29/17 03:00:00 PM,38.157,17408.0,,,
272,07/29/17 09:00:00 PM,17.950,0.0,,,
273,07/30/17 03:00:00 AM,15.664,0.0,,,
274,07/30/17 09:00:00 AM,16.618,432.0,,,
275,07/30/17 03:00:00 PM,37.055,3584.0,,,
276,07/30/17 09:00:00 PM,19.853,0.0,,,
277,07/31/17 03:00:00 AM,17.379,0.0,,,
278,07/31/17 09:00:00 AM,19.472,384.0,,,
279,07/31/17 03:00:00 PM,36.403,3328.0,,,
280,07/31/17 09:00:00 PM,21.951,0.0,,,
281,08/01/17 03:00:00 AM,19.853,0.0,,,
282,08/01/17 09:00:00 AM,21.855,384.0,,,
283,08/01/17 03:00:00 PM,35.971,1728.0,,,
284,08/01/17 09:00:00 PM,23.869,0.0,,,
285,08/02/17 03:00:00 AM,21.760,0.0,,,
286,08/02/17 09:00:00 AM,22.621,368.0,,,
287,08/02/17 03:00:00 PM,33.535,3584.0,,,
288,08/02/17 09:00:00 PM,24.738,0.0,,,
289,08/03/17 03:00:00 AM,22.525,0.0,,,
290,08/03/17 09:00:00 AM,23.004,336.0,,,
291,08/03/17 03:00:00 PM,34.796,6656.0,,,
292,08/03/17 09:00:00 PM,23.677,0.0,,,
293,08/04/17 03:00:00 AM,20.710,0.0,,,
294,08/04/17 09:00:00 AM,21.091,288.0,,,
295,08/04/17 03:00:00 PM,32.291,6400.0,,,
296,08/04/17 09:00:00 PM,20.996,0.0,,,
297,08/05/17 03:00:00 AM,17.665,0.0,,,
298,08/05/17 09:00:00 AM,18.045,256.0,,,
299,08/05/17 03:00:00 PM,26.879,12800.0,,,
300,08/05/17 09:00:00 PM,19.472,0.0,,,
301,08/06/17 03:00:00 AM,17.475,0.0,,,
302,08/06/17 09:00:00 AM,19.092,192.0,,,
303,08/06/17 03:00:00 PM,22.717,232.0,,,
304,08/06/17 09:00:00 PM,19.662,0.0,,,
305,08/07/17 03:00:00 AM,18.331,0.0,,,
306,08/07/17 09:00:00 AM,19.662,216.0,,,
307,08/07/17 03:00:00 PM,32.188,5888.0,,,
308,08/07/17 09:00:00 PM,21.473,0.0,,,
309,08/08/17 03:00:00 AM,18.711,0.0,,,
310,08/08/17 09:00:00 AM,20.996,192.0,,,
311,08/08/17 03:00:00 PM,31.574,4096.0,,,
312,08/08/17 09:00:00 PM,21.951,0.0,,,
313,08/09/17 03:00:00 AM,19.377,0.0,,,
314,08/09/17 09:00:00 AM,20.138,184.0,,,
315,08/09/17 03:00:00 PM,32.086,1472.0,,,
316,08/09/17 09:00:00 PM,20.996,0.0,,,
317,08/10/17 03:00:00 AM,19.187,0.0,,,
318,08/10/17 09:00:00 AM,19.853,176.0,,,
319,08/10/17 03:00:00 PM,23.388,125.0,,,
320,08/10/17 09:00:00 PM,19.948,0.0,,,
321,08/11/17 03:00:00 AM,18.711,0.0,,,
322,08/11/17 09:00:00 AM,19.662,192.0,,,
323,08/11/17 03:00:00 PM,27.567,960.0,,,
324,08/11/17 09:00:00 PM,19.282,0.0,,,
325,08/12/17 03:00:00 AM,17.094,0.0,,,
