"Plot Title: 10169147"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Good Battery","Coupler Attached","Stopped","End Of File"
92,06/15/17 09:00:00 AM,8.382,136.0,2.81,,,,,
93,06/15/17 03:00:00 PM,10.063,39.0,2.81,,,,,
94,06/15/17 09:00:00 PM,10.455,0.0,2.81,,,,,
95,06/16/17 03:00:00 AM,9.669,0.0,2.81,,,,,
96,06/16/17 09:00:00 AM,9.571,125.0,2.83,,,,,
97,06/16/17 03:00:00 PM,9.866,176.0,2.81,,,,,
98,06/16/17 09:00:00 PM,8.978,0.0,2.81,,,,,
99,06/17/17 03:00:00 AM,8.082,0.0,2.81,,,,,
100,06/17/17 09:00:00 AM,8.978,192.0,2.81,,,,,
101,06/17/17 03:00:00 PM,15.664,464.0,2.83,,,,,
102,06/17/17 09:00:00 PM,11.625,0.0,2.83,,,,,
103,06/18/17 03:00:00 AM,10.455,0.0,2.81,,,,,
104,06/18/17 09:00:00 AM,12.207,176.0,2.83,,,,,
105,06/18/17 03:00:00 PM,20.329,480.0,2.87,,,,,
106,06/18/17 09:00:00 PM,16.427,0.0,2.85,,,,,
107,06/19/17 03:00:00 AM,15.760,0.0,2.85,,,,,
108,06/19/17 09:00:00 AM,16.999,176.0,2.87,,,,,
109,06/19/17 03:00:00 PM,22.812,496.0,2.89,,,,,
110,06/19/17 09:00:00 PM,15.951,0.0,2.87,,,,,
111,06/20/17 03:00:00 AM,13.654,0.0,2.85,,,,,
112,06/20/17 09:00:00 AM,14.325,192.0,2.85,,,,,
113,06/20/17 03:00:00 PM,19.282,480.0,2.89,,,,,
114,06/20/17 09:00:00 PM,13.654,0.0,2.85,,,,,
115,06/21/17 03:00:00 AM,10.748,0.0,2.85,,,,,
116,06/21/17 09:00:00 AM,11.528,192.0,2.85,,,,,
117,06/21/17 03:00:00 PM,18.140,480.0,2.87,,,,,
118,06/21/17 09:00:00 PM,12.497,0.0,2.85,,,,,
119,06/22/17 03:00:00 AM,9.768,0.0,2.83,,,,,
120,06/22/17 09:00:00 AM,12.110,184.0,2.85,,,,,
121,06/22/17 03:00:00 PM,20.901,480.0,2.87,,,,,
122,06/22/17 09:00:00 PM,14.421,0.0,2.85,,,,,
123,06/23/17 03:00:00 AM,12.497,0.0,2.85,,,,,
124,06/23/17 09:00:00 AM,16.141,184.0,2.85,,,,,
125,06/23/17 03:00:00 PM,24.158,608.0,2.91,,,,,
126,06/23/17 09:00:00 PM,16.523,0.0,2.87,,,,,
127,06/24/17 03:00:00 AM,15.187,0.0,2.85,,,,,
128,06/24/17 09:00:00 AM,18.616,184.0,2.87,,,,,
129,06/24/17 03:00:00 PM,27.272,512.0,2.91,,,,,
130,06/24/17 09:00:00 PM,19.282,0.0,2.91,,,,,
131,06/25/17 03:00:00 AM,18.616,0.0,2.89,,,,,
132,06/25/17 09:00:00 AM,21.091,184.0,2.89,,,,,
133,06/25/17 03:00:00 PM,29.853,608.0,2.91,,,,,
134,06/25/17 09:00:00 PM,19.092,0.0,2.91,,,,,
135,06/26/17 03:00:00 AM,16.999,0.0,2.89,,,,,
136,06/26/17 09:00:00 AM,17.379,176.0,2.89,,,,,
137,06/26/17 03:00:00 PM,22.238,480.0,2.91,,,,,
138,06/26/17 09:00:00 PM,14.709,0.0,2.87,,,,,
139,06/27/17 03:00:00 AM,11.722,0.0,2.85,,,,,
140,06/27/17 09:00:00 AM,12.980,272.0,2.85,,,,,
141,06/27/17 03:00:00 PM,18.901,512.0,2.89,,,,,
142,06/27/17 09:00:00 PM,12.110,0.0,2.85,,,,,
143,06/28/17 03:00:00 AM,10.161,0.0,2.83,,,,,
144,06/28/17 09:00:00 AM,10.651,192.0,2.83,,,,,
145,06/28/17 03:00:00 PM,17.760,496.0,2.87,,,,,
146,06/28/17 09:00:00 PM,11.528,0.0,2.85,,,,,
147,06/29/17 03:00:00 AM,9.275,0.0,2.83,,,,,
148,06/29/17 09:00:00 AM,11.625,184.0,2.83,,,,,
149,06/29/17 03:00:00 PM,21.760,464.0,2.87,,,,,
150,06/29/17 09:00:00 PM,15.378,0.0,2.85,,,,,
151,06/30/17 03:00:00 AM,14.134,0.0,2.85,,,,,
152,06/30/17 09:00:00 AM,16.141,184.0,2.85,,,,,
153,06/30/17 03:00:00 PM,23.196,496.0,2.89,,,,,
154,06/30/17 09:00:00 PM,15.951,0.0,2.85,,,,,
155,07/01/17 03:00:00 AM,13.365,0.0,2.85,,,,,
156,07/01/17 09:00:00 AM,13.558,248.0,2.85,,,,,
157,07/01/17 03:00:00 PM,19.187,496.0,2.87,,,,,
158,07/01/17 09:00:00 PM,13.365,0.0,2.85,,,,,
159,07/02/17 03:00:00 AM,11.722,0.0,2.85,,,,,
160,07/02/17 09:00:00 AM,13.365,176.0,2.85,,,,,
161,07/02/17 03:00:00 PM,21.951,512.0,2.87,,,,,
162,07/02/17 09:00:00 PM,15.282,0.0,2.85,,,,,
163,07/03/17 03:00:00 AM,12.980,0.0,2.85,,,,,
164,07/03/17 09:00:00 AM,13.846,184.0,2.85,,,,,
165,07/03/17 03:00:00 PM,22.621,480.0,2.89,,,,,
166,07/03/17 09:00:00 PM,15.664,0.0,2.85,,,,,
167,07/04/17 03:00:00 AM,14.325,0.0,2.85,,,,,
168,07/04/17 09:00:00 AM,16.332,168.0,2.85,,,,,
169,07/04/17 03:00:00 PM,23.581,432.0,2.89,,,,,
170,07/04/17 09:00:00 PM,17.855,0.0,2.87,,,,,
171,07/05/17 03:00:00 AM,16.141,0.0,2.87,,,,,
172,07/05/17 09:00:00 AM,19.187,184.0,2.89,,,,,
173,07/05/17 03:00:00 PM,25.319,432.0,2.89,,,,,
174,07/05/17 09:00:00 PM,17.855,0.0,2.89,,,,,
175,07/06/17 03:00:00 AM,15.569,0.0,2.85,,,,,
176,07/06/17 09:00:00 AM,18.711,176.0,2.89,,,,,
177,07/06/17 03:00:00 PM,26.292,432.0,2.91,,,,,
178,07/06/17 09:00:00 PM,19.092,0.0,2.89,,,,,
179,07/07/17 03:00:00 AM,16.427,0.0,2.87,,,,,
180,07/07/17 09:00:00 AM,16.237,176.0,2.87,,,,,
181,07/07/17 03:00:00 PM,22.717,432.0,2.89,,,,,
182,07/07/17 09:00:00 PM,15.664,0.0,2.87,,,,,
183,07/08/17 03:00:00 AM,14.517,0.0,2.87,,,,,
184,07/08/17 09:00:00 AM,16.999,176.0,2.87,,,,,
185,07/08/17 03:00:00 PM,25.222,480.0,2.89,,,,,
186,07/08/17 09:00:00 PM,16.808,0.0,2.87,,,,,
187,07/09/17 03:00:00 AM,14.134,0.0,2.87,,,,,
188,07/09/17 09:00:00 AM,14.900,176.0,2.87,,,,,
189,07/09/17 03:00:00 PM,22.333,496.0,2.89,,,,,
190,07/09/17 09:00:00 PM,16.046,0.0,2.87,,,,,
191,07/10/17 03:00:00 AM,13.750,0.0,2.85,,,,,
192,07/10/17 09:00:00 AM,15.091,208.0,2.85,,,,,
193,07/10/17 03:00:00 PM,19.282,608.0,2.89,,,,,
194,07/10/17 09:00:00 PM,13.076,0.0,2.85,,,,,
195,07/11/17 03:00:00 AM,10.846,0.0,2.85,,,,,
196,07/11/17 09:00:00 AM,12.110,176.0,2.85,,,,,
197,07/11/17 03:00:00 PM,21.282,480.0,2.87,,,,,
198,07/11/17 09:00:00 PM,14.804,0.0,2.87,,,,,
199,07/12/17 03:00:00 AM,12.594,0.0,2.85,,,,,
200,07/12/17 09:00:00 AM,13.750,176.0,2.85,,,,,
201,07/12/17 03:00:00 PM,22.429,432.0,2.89,,,,,
202,07/12/17 09:00:00 PM,16.237,0.0,2.87,,,,,
203,07/13/17 03:00:00 AM,12.497,0.0,2.85,,,,,
204,07/13/17 09:00:00 AM,13.461,184.0,2.85,,,,,
205,07/13/17 03:00:00 PM,21.282,416.0,2.87,,,,,
206,07/13/17 09:00:00 PM,14.900,0.0,2.87,,,,,
207,07/14/17 03:00:00 AM,13.365,0.0,2.85,,,,,
208,07/14/17 09:00:00 AM,15.664,184.0,2.85,,,,,
209,07/14/17 03:00:00 PM,24.255,400.0,2.91,,,,,
210,07/14/17 09:00:00 PM,17.189,0.0,2.87,,,,,
211,07/15/17 03:00:00 AM,14.038,0.0,2.87,,,,,
212,07/15/17 09:00:00 AM,14.421,192.0,2.87,,,,,
213,07/15/17 03:00:00 PM,21.378,416.0,2.89,,,,,
214,07/15/17 09:00:00 PM,14.230,0.0,2.87,,,,,
215,07/16/17 03:00:00 AM,10.944,0.0,2.85,,,,,
216,07/16/17 09:00:00 AM,11.819,208.0,2.85,,,,,
217,07/16/17 03:00:00 PM,18.901,432.0,2.87,,,,,
218,07/16/17 09:00:00 PM,12.883,0.0,2.85,,,,,
219,07/17/17 03:00:00 AM,10.748,0.0,2.83,,,,,
220,07/17/17 09:00:00 AM,12.110,208.0,2.85,,,,,
221,07/17/17 03:00:00 PM,20.519,416.0,2.87,,,,,
222,07/17/17 09:00:00 PM,14.230,0.0,2.85,,,,,
223,07/18/17 03:00:00 AM,12.401,0.0,2.85,,,,,
224,07/18/17 09:00:00 AM,13.942,200.0,2.85,,,,,
225,07/18/17 03:00:00 PM,21.473,400.0,2.87,,,,,
226,07/18/17 09:00:00 PM,14.517,0.0,2.87,,,,,
227,07/19/17 03:00:00 AM,11.528,0.0,2.85,,,,,
228,07/19/17 09:00:00 AM,13.173,184.0,2.85,,,,,
229,07/19/17 03:00:00 PM,20.138,400.0,2.87,,,,,
230,07/19/17 09:00:00 PM,13.750,0.0,2.85,,,,,
231,07/20/17 03:00:00 AM,10.161,0.0,2.83,,,,,
232,07/20/17 09:00:00 AM,11.139,176.0,2.85,,,,,
233,07/20/17 03:00:00 PM,18.426,432.0,2.87,,,,,
234,07/20/17 09:00:00 PM,12.980,0.0,2.85,,,,,
235,07/21/17 03:00:00 AM,11.041,0.0,2.85,,,,,
236,07/21/17 09:00:00 AM,12.110,168.0,2.85,,,,,
237,07/21/17 03:00:00 PM,21.187,400.0,2.87,,,,,
238,07/21/17 09:00:00 PM,15.091,0.0,2.85,,,,,
239,07/22/17 03:00:00 AM,13.654,0.0,2.85,,,,,
240,07/22/17 09:00:00 AM,16.046,152.0,2.85,,,,,
241,07/22/17 03:00:00 PM,25.805,384.0,2.89,,,,,
242,07/22/17 09:00:00 PM,19.472,0.0,2.89,,,,,
243,07/23/17 03:00:00 AM,16.903,0.0,2.87,,,,,
244,07/23/17 09:00:00 AM,18.426,160.0,2.89,,,,,
245,07/23/17 03:00:00 PM,26.097,432.0,2.91,,,,,
246,07/23/17 09:00:00 PM,17.855,0.0,2.89,,,,,
247,07/24/17 03:00:00 AM,15.664,0.0,2.87,,,,,
248,07/24/17 09:00:00 AM,16.903,152.0,2.87,,,,,
249,07/24/17 03:00:00 PM,24.641,384.0,2.91,,,,,
250,07/24/17 09:00:00 PM,18.426,0.0,2.89,,,,,
251,07/25/17 03:00:00 AM,16.523,0.0,2.87,,,,,
252,07/25/17 09:00:00 AM,16.999,144.0,2.87,,,,,
253,07/25/17 03:00:00 PM,24.158,464.0,2.91,,,,,
254,07/25/17 09:00:00 PM,17.855,0.0,2.89,,,,,
255,07/26/17 03:00:00 AM,16.618,0.0,2.87,,,,,
256,07/26/17 09:00:00 AM,16.808,144.0,2.87,,,,,
257,07/26/17 03:00:00 PM,24.351,416.0,2.91,,,,,
258,07/26/17 09:00:00 PM,16.903,0.0,2.87,,,,,
259,07/27/17 03:00:00 AM,14.421,0.0,2.87,,,,,
260,07/27/17 09:00:00 AM,15.187,144.0,2.85,,,,,
261,07/27/17 03:00:00 PM,22.908,400.0,2.89,,,,,
262,07/27/17 09:00:00 PM,16.141,0.0,2.87,,,,,
263,07/28/17 03:00:00 AM,14.038,0.0,2.87,,,,,
264,07/28/17 09:00:00 AM,14.804,144.0,2.87,,,,,
265,07/28/17 03:00:00 PM,22.429,384.0,2.89,,,,,
266,07/28/17 09:00:00 PM,16.141,0.0,2.87,,,,,
267,07/29/17 03:00:00 AM,14.134,0.0,2.87,,,,,
268,07/29/17 09:00:00 AM,14.804,144.0,2.87,,,,,
269,07/29/17 03:00:00 PM,23.869,384.0,2.91,,,,,
270,07/29/17 09:00:00 PM,17.189,0.0,2.87,,,,,
271,07/30/17 03:00:00 AM,15.091,0.0,2.85,,,,,
272,07/30/17 09:00:00 AM,15.951,136.0,2.87,,,,,
273,07/30/17 03:00:00 PM,25.028,384.0,2.89,,,,,
274,07/30/17 09:00:00 PM,18.806,0.0,2.89,,,,,
275,07/31/17 03:00:00 AM,16.808,0.0,2.87,,,,,
276,07/31/17 09:00:00 AM,19.472,136.0,2.89,,,,,
277,07/31/17 03:00:00 PM,28.655,384.0,2.93,,,,,
278,07/31/17 09:00:00 PM,21.187,0.0,2.89,,,,,
279,08/01/17 03:00:00 AM,19.377,0.0,2.91,,,,,
280,08/01/17 09:00:00 AM,21.473,136.0,2.89,,,,,
281,08/01/17 03:00:00 PM,29.652,384.0,2.93,,,,,
282,08/01/17 09:00:00 PM,22.525,0.0,2.91,,,,,
283,08/02/17 03:00:00 AM,19.758,0.0,2.89,,,,,
284,08/02/17 09:00:00 AM,23.004,136.0,2.91,,,,,
285,08/02/17 03:00:00 PM,30.963,400.0,2.93,,,,,
286,08/02/17 09:00:00 PM,22.333,0.0,2.91,,,,,
