"Plot Title: 10166323"
"#","Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²","Bad Battery","Coupler Attached","Stopped","End Of File"
94,08/22/17 03:00:00 AM,14.230,0.0,,,,
95,08/22/17 09:00:00 AM,17.760,464.0,,,,
96,08/22/17 03:00:00 PM,24.545,512.0,,,,
97,08/22/17 09:00:00 PM,15.473,0.0,,,,
98,08/23/17 03:00:00 AM,13.365,0.0,,,,
99,08/23/17 09:00:00 AM,18.521,512.0,,,,
100,08/23/17 03:00:00 PM,22.908,496.0,,,,
101,08/23/17 09:00:00 PM,14.517,0.0,,,,
102,08/24/17 03:00:00 AM,11.722,0.0,,,,
103,08/24/17 09:00:00 AM,14.709,480.0,,,,
104,08/24/17 03:00:00 PM,18.045,384.0,,,,
105,08/24/17 09:00:00 PM,10.161,0.0,,,,
106,08/25/17 03:00:00 AM,7.983,0.0,,,,
107,08/25/17 09:00:00 AM,10.748,224.0,,,,
108,08/25/17 03:00:00 PM,20.234,352.0,,,,
109,08/25/17 09:00:00 PM,12.690,0.0,,,,
110,08/26/17 03:00:00 AM,11.916,0.0,,,,
111,08/26/17 09:00:00 AM,15.664,272.0,,,,
112,08/26/17 03:00:00 PM,25.610,432.0,,,,
113,08/26/17 09:00:00 PM,17.475,0.0,,,,
114,08/27/17 03:00:00 AM,16.999,0.0,,,,
115,08/27/17 09:00:00 AM,20.329,320.0,,,,
116,08/27/17 03:00:00 PM,27.665,432.0,,,,
117,08/27/17 09:00:00 PM,20.805,0.0,,,,
118,08/28/17 03:00:00 AM,18.616,0.0,,,,
119,08/28/17 09:00:00 AM,20.615,352.0,,,,
120,08/28/17 03:00:00 PM,28.555,512.0,,,,
121,08/28/17 09:00:00 PM,19.758,0.0,,,,
122,08/29/17 03:00:00 AM,17.855,0.0,,,,
123,08/29/17 09:00:00 AM,20.329,400.0,,,,
124,08/29/17 03:00:00 PM,26.292,576.0,,,,
125,08/29/17 09:00:00 PM,16.999,0.0,,,,
126,08/30/17 03:00:00 AM,14.038,0.0,,,,
127,08/30/17 09:00:00 AM,15.187,768.0,,,,
128,08/30/17 03:00:00 PM,20.996,512.0,,,,
129,08/30/17 09:00:00 PM,12.401,0.0,,,,
130,08/31/17 03:00:00 AM,10.553,0.0,,,,
131,08/31/17 09:00:00 AM,15.187,3968.0,,,,
132,08/31/17 03:00:00 PM,22.046,336.0,,,,
133,08/31/17 09:00:00 PM,15.569,0.0,,,,
134,09/01/17 03:00:00 AM,15.282,0.0,,,,
135,09/01/17 09:00:00 AM,18.045,768.0,,,,
136,09/01/17 03:00:00 PM,27.468,496.0,,,,
137,09/01/17 09:00:00 PM,20.138,0.0,,,,
138,09/02/17 03:00:00 AM,19.662,0.0,,,,
139,09/02/17 09:00:00 AM,21.664,432.0,,,,
140,09/02/17 03:00:00 PM,29.953,480.0,,,,
141,09/02/17 09:00:00 PM,21.091,0.0,,,,
142,09/03/17 03:00:00 AM,19.472,0.0,,,,
143,09/03/17 09:00:00 AM,22.333,416.0,,,,
144,09/03/17 03:00:00 PM,29.053,576.0,,,,
145,09/03/17 09:00:00 PM,19.948,0.0,,,,
146,09/04/17 03:00:00 AM,18.140,0.0,,,,
147,09/04/17 09:00:00 AM,20.519,272.0,,,,
148,09/04/17 03:00:00 PM,28.754,480.0,,,,
149,09/04/17 09:00:00 PM,21.855,0.0,,,,
150,09/05/17 03:00:00 AM,19.948,0.0,,,,
151,09/05/17 09:00:00 AM,22.812,336.0,,,,
152,09/05/17 03:00:00 PM,28.754,432.0,,,,
153,09/05/17 09:00:00 PM,19.187,0.0,,,,
154,09/06/17 03:00:00 AM,16.523,0.0,,,,
155,09/06/17 09:00:00 AM,19.472,128.0,,,,
156,09/06/17 03:00:00 PM,23.484,768.0,,,,
157,09/06/17 09:00:00 PM,17.189,0.0,,,,
158,09/07/17 03:00:00 AM,16.427,0.0,,,,
159,09/07/17 09:00:00 AM,16.427,192.0,,,,
160,09/07/17 03:00:00 PM,19.758,432.0,,,,
161,09/07/17 09:00:00 PM,14.325,0.0,,,,
162,09/08/17 03:00:00 AM,14.134,0.0,,,,
163,09/08/17 09:00:00 AM,15.282,288.0,,,,
164,09/08/17 03:00:00 PM,18.616,480.0,,,,
165,09/08/17 09:00:00 PM,13.942,0.0,,,,
166,09/09/17 03:00:00 AM,13.269,0.0,,,,
167,09/09/17 09:00:00 AM,14.325,256.0,,,,
168,09/09/17 03:00:00 PM,20.615,576.0,,,,
169,09/09/17 09:00:00 PM,12.594,0.0,,,,
170,09/10/17 03:00:00 AM,9.965,0.0,,,,
171,09/10/17 09:00:00 AM,12.690,288.0,,,,
172,09/10/17 03:00:00 PM,19.758,256.0,,,,
173,09/10/17 09:00:00 PM,14.038,0.0,,,,
174,09/11/17 03:00:00 AM,13.269,0.0,,,,
175,09/11/17 09:00:00 AM,16.046,192.0,,,,
176,09/11/17 03:00:00 PM,24.931,304.0,,,,
177,09/11/17 09:00:00 PM,18.045,0.0,,,,
178,09/12/17 03:00:00 AM,16.332,0.0,,,,
179,09/12/17 09:00:00 AM,17.094,208.0,,,,
180,09/12/17 03:00:00 PM,22.812,384.0,,,,
181,09/12/17 09:00:00 PM,15.187,0.0,,,,
182,09/13/17 03:00:00 AM,12.690,0.0,,,,
183,09/13/17 09:00:00 AM,12.883,184.0,,,,
184,09/13/17 03:00:00 PM,18.045,232.0,,,,
185,09/13/17 09:00:00 PM,9.669,0.0,,,,
186,09/14/17 03:00:00 AM,9.077,0.0,,,,
187,09/14/17 09:00:00 AM,8.382,216.0,,,,
188,09/14/17 03:00:00 PM,15.473,480.0,,,,
189,09/14/17 09:00:00 PM,8.481,0.0,,,,
190,09/15/17 03:00:00 AM,6.370,0.0,,,,
191,09/15/17 09:00:00 AM,9.077,240.0,,,,
192,09/15/17 03:00:00 PM,15.473,304.0,,,,
193,09/15/17 09:00:00 PM,8.978,0.0,,,,
194,09/16/17 03:00:00 AM,8.382,0.0,,,,
195,09/16/17 09:00:00 AM,10.161,400.0,,,,
196,09/16/17 03:00:00 PM,16.999,368.0,,,,
197,09/16/17 09:00:00 PM,11.236,0.0,,,,
198,09/17/17 03:00:00 AM,7.582,0.0,,,,
199,09/17/17 09:00:00 AM,8.581,320.0,,,,
200,09/17/17 03:00:00 PM,12.304,216.0,,,,
201,09/17/17 09:00:00 PM,8.978,0.0,,,,
202,09/18/17 03:00:00 AM,7.782,0.0,,,,
203,09/18/17 09:00:00 AM,5.141,48.0,,,,
204,09/18/17 03:00:00 PM,7.381,368.0,,,,
205,09/18/17 09:00:00 PM,3.683,0.0,,,,
206,09/19/17 03:00:00 AM,2.624,0.0,,,,
207,09/19/17 09:00:00 AM,2.195,28.0,,,,
208,09/19/17 03:00:00 PM,0.232,96.0,,,,
209,09/19/17 09:00:00 PM,2.730,0.0,,,,
