"Plot Title: 10166275"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Bad Battery","Coupler Attached","Stopped","End Of File"
94,08/17/21 06:36:32 PM,10.455,53.8,2.81,,,,
95,08/18/21 12:36:32 AM,9.669,0.0,2.79,,,,
96,08/18/21 06:36:32 AM,8.779,107.6,2.81,,,,
97,08/18/21 12:36:32 PM,16.903,1980.6,2.83,,,,
98,08/18/21 06:36:32 PM,16.237,193.8,2.83,,,,
99,08/19/21 12:36:32 AM,12.594,0.0,2.83,,,,
100,08/19/21 06:36:32 AM,11.819,21.5,2.81,,,,
101,08/19/21 12:36:32 PM,18.806,3100.0,2.83,,,,
102,08/19/21 06:36:32 PM,16.808,161.5,2.83,,,,
103,08/20/21 12:36:32 AM,13.173,0.0,2.83,,,,
104,08/20/21 06:36:32 AM,11.139,43.1,2.81,,,,
105,08/20/21 12:36:32 PM,15.378,3788.9,2.83,,,,
106,08/20/21 06:36:32 PM,13.365,118.4,2.83,,,,
107,08/21/21 12:36:32 AM,10.748,0.0,2.81,,,,
108,08/21/21 06:36:32 AM,9.176,129.2,2.81,,,,
109,08/21/21 12:36:32 PM,12.594,2411.1,2.81,,,,
110,08/21/21 06:36:32 PM,12.980,172.2,2.81,,,,
111,08/22/21 12:36:32 AM,9.965,0.0,2.79,,,,
112,08/22/21 06:36:32 AM,9.373,53.8,2.81,,,,
113,08/22/21 12:36:32 PM,16.427,2755.6,2.83,,,,
114,08/22/21 06:36:32 PM,12.690,193.8,2.81,,,,
115,08/23/21 12:36:32 AM,9.373,0.0,2.81,,,,
116,08/23/21 06:36:32 AM,7.983,129.2,2.79,,,,
117,08/23/21 12:36:32 PM,16.046,3100.0,2.81,,,,
118,08/23/21 06:36:32 PM,14.421,161.5,2.83,,,,
119,08/24/21 12:36:32 AM,10.748,0.0,2.81,,,,
120,08/24/21 06:36:32 AM,11.139,64.6,2.81,,,,
121,08/24/21 12:36:32 PM,20.424,3100.0,2.81,,,,
122,08/24/21 06:36:32 PM,16.999,129.2,2.83,,,,
123,08/25/21 12:36:32 AM,12.594,0.0,2.83,,,,
124,08/25/21 06:36:32 AM,11.528,366.0,2.81,,,,
125,08/25/21 12:36:32 PM,18.521,3961.1,2.83,,,,
126,08/25/21 06:36:32 PM,15.187,43.1,2.83,,,,
127,08/26/21 12:36:32 AM,11.916,0.0,2.83,,,,
128,08/26/21 06:36:32 AM,10.553,64.6,2.81,,,,
129,08/26/21 12:36:32 PM,17.379,1463.9,2.83,,,,
130,08/26/21 06:36:32 PM,15.664,32.3,2.83,,,,
131,08/27/21 12:36:32 AM,12.497,0.0,2.83,,,,
132,08/27/21 06:36:32 AM,11.334,236.8,2.81,,,,
133,08/27/21 12:36:32 PM,17.950,2927.8,2.83,,,,
134,08/27/21 06:36:32 PM,15.569,139.9,2.83,,,,
135,08/28/21 12:36:32 AM,12.013,0.0,2.83,,,,
136,08/28/21 06:36:32 AM,11.722,21.5,2.81,,,,
137,08/28/21 12:36:32 PM,21.951,3100.0,2.85,,,,
138,08/28/21 06:36:32 PM,20.234,96.9,2.83,,,,
139,08/29/21 12:36:32 AM,16.332,0.0,2.83,,,,
140,08/29/21 06:36:32 AM,15.282,32.3,2.83,,,,
141,08/29/21 12:36:32 PM,23.292,2927.8,2.87,,,,
142,08/29/21 06:36:32 PM,19.377,96.9,2.85,,,,
143,08/30/21 12:36:32 AM,14.325,0.0,2.85,,,,
144,08/30/21 06:36:32 AM,10.846,129.2,2.83,,,,
145,08/30/21 12:36:32 PM,16.237,2927.8,2.83,,,,
146,08/30/21 06:36:32 PM,12.401,75.3,2.83,,,,
147,08/31/21 12:36:32 AM,8.978,0.0,2.83,,,,
148,08/31/21 06:36:32 AM,7.782,32.3,2.81,,,,
149,08/31/21 12:36:32 PM,15.569,2927.8,2.83,,,,
150,08/31/21 06:36:32 PM,12.883,96.9,2.83,,,,
151,09/01/21 12:36:32 AM,8.978,0.0,2.81,,,,
152,09/01/21 06:36:32 AM,7.882,21.5,2.81,,,,
153,09/01/21 12:36:32 PM,17.950,3100.0,2.83,,,,
154,09/01/21 06:36:32 PM,14.996,21.5,2.85,,,,
155,09/02/21 12:36:32 AM,10.161,0.0,2.81,,,,
156,09/02/21 06:36:32 AM,9.571,53.8,2.83,,,,
157,09/02/21 12:36:32 PM,19.187,3100.0,2.83,,,,
158,09/02/21 06:36:32 PM,17.284,21.5,2.83,,,,
159,09/03/21 12:36:32 AM,13.654,0.0,2.85,,,,
160,09/03/21 06:36:32 AM,12.787,96.9,2.83,,,,
161,09/03/21 12:36:32 PM,21.473,2927.8,2.85,,,,
162,09/03/21 06:36:32 PM,17.570,21.5,2.85,,,,
163,09/04/21 12:36:32 AM,14.421,0.0,2.85,,,,
164,09/04/21 06:36:32 AM,13.942,150.7,2.85,,,,
165,09/04/21 12:36:32 PM,21.091,2152.8,2.85,,,,
166,09/04/21 06:36:32 PM,19.187,0.0,2.85,,,,
167,09/05/21 12:36:32 AM,15.760,0.0,2.83,,,,
168,09/05/21 06:36:32 AM,15.473,21.5,2.83,,,,
169,09/05/21 12:36:32 PM,22.238,2669.5,2.85,,,,
170,09/05/21 06:36:32 PM,19.948,0.0,2.85,,,,
171,09/06/21 12:36:32 AM,15.760,0.0,2.83,,,,
172,09/06/21 06:36:32 AM,14.804,32.3,2.85,,,,
173,09/06/21 12:36:32 PM,23.581,2927.8,2.87,,,,
174,09/06/21 06:36:32 PM,20.805,10.8,2.85,,,,
175,09/07/21 12:36:32 AM,18.140,0.0,2.85,,,,
176,09/07/21 06:36:32 AM,19.187,193.8,2.87,,,,
177,09/07/21 12:36:32 PM,27.961,2927.8,2.89,,,,
178,09/07/21 06:36:32 PM,21.282,0.0,2.87,,,,
179,09/08/21 12:36:32 AM,17.570,0.0,2.85,,,,
180,09/08/21 06:36:32 AM,16.427,53.8,2.85,,,,
181,09/08/21 12:36:32 PM,23.869,3100.0,2.87,,,,
182,09/08/21 06:36:32 PM,19.948,0.0,2.85,,,,
183,09/09/21 12:36:32 AM,17.379,0.0,2.85,,,,
184,09/09/21 06:36:32 AM,16.427,129.2,2.85,,,,
