Plot Title: 10166292,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,Coupler Attached,Stopped,End Of File
111,10/3/2020 8:16,13.461,2411.1,2.81,,,,
112,10/3/2020 14:16,16.427,3444.5,2.81,,,,
113,10/3/2020 20:16,12.787,0,2.81,,,,
114,10/4/2020 2:16,11.334,0,2.79,,,,
115,10/4/2020 8:16,11.819,1550,2.79,,,,
116,10/4/2020 14:16,14.613,2066.7,2.81,,,,
117,10/4/2020 20:16,11.334,0,2.79,,,,
118,10/5/2020 2:16,10.455,0,2.77,,,,
119,10/5/2020 8:16,12.11,1463.9,2.79,,,,
120,10/5/2020 14:16,15.951,1980.6,2.81,,,,
121,10/5/2020 20:16,13.365,0,2.81,,,,
122,10/6/2020 2:16,13.076,0,2.79,,,,
123,10/6/2020 8:16,13.558,1550,2.81,,,,
124,10/6/2020 14:16,17.189,2238.9,2.81,,,,
125,10/6/2020 20:16,13.846,0,2.81,,,,
126,10/7/2020 2:16,12.11,0,2.79,,,,
127,10/7/2020 8:16,13.365,4305.6,2.79,,,,
128,10/7/2020 14:16,16.237,3788.9,2.81,,,,
129,10/7/2020 20:16,10.944,0,2.77,,,,
130,10/8/2020 2:16,9.768,0,2.77,,,,
131,10/8/2020 8:16,9.965,1463.9,2.77,,,,
132,10/8/2020 14:16,13.269,1980.6,2.79,,,,
133,10/8/2020 20:16,9.768,0,2.75,,,,
134,10/9/2020 2:16,8.779,0,2.77,,,,
135,10/9/2020 8:16,9.866,1722.2,2.75,,,,
136,10/9/2020 14:16,13.461,2325,2.79,,,,
137,10/9/2020 20:16,9.472,0,2.77,,,,
138,10/10/2020 2:16,8.978,0,2.77,,,,
139,10/10/2020 8:16,7.179,344.4,2.75,,,,
140,10/10/2020 14:16,5.962,1001,2.74,,,,
141,10/10/2020 20:16,3.788,0,2.74,,,,
142,10/11/2020 2:16,3.367,0,2.74,,,,
143,10/11/2020 8:16,4.623,1377.8,2.74,,,,
144,10/11/2020 14:16,6.674,1151.7,2.74,,,,
145,10/11/2020 20:16,7.28,0,2.74,,,,
146,10/12/2020 2:16,8.481,0,2.75,,,,
147,10/12/2020 8:16,6.674,2152.8,2.74,,,,
148,10/12/2020 14:16,10.748,6200,2.74,,,,
149,10/12/2020 20:16,6.877,0,2.74,,,,
150,10/13/2020 2:16,6.877,0,2.74,,,,
151,10/13/2020 8:16,8.382,462.9,2.75,,,,
152,10/13/2020 14:16,9.866,3100,2.75,,,,
153,10/13/2020 20:16,6.877,0,2.74,,,,
154,10/14/2020 2:16,4.519,0,2.74,,,,
155,10/14/2020 8:16,5.45,3100,2.72,,,,
156,10/14/2020 14:16,8.382,3100,2.75,,,,
157,10/14/2020 20:16,4.311,0,2.74,,,,
158,10/15/2020 2:16,2.73,0,2.72,,,,
159,10/15/2020 8:16,2.837,1151.7,2.72,,,,
160,10/15/2020 14:16,7.28,1463.9,2.74,,,,
161,10/15/2020 20:16,6.674,0,2.74,,,,
162,10/16/2020 2:16,7.28,0,2.74,,,,
163,10/16/2020 8:16,8.581,1097.9,2.75,,,,
164,10/16/2020 14:16,11.139,1463.9,2.75,,,,
165,10/16/2020 20:16,8.481,0,2.75,,,,
166,10/17/2020 2:16,8.978,0,2.75,,,,
167,10/17/2020 8:16,9.768,4133.4,2.74,,,,
168,10/17/2020 14:16,10.846,1980.6,2.75,,,,
169,10/17/2020 20:16,7.582,0,2.75,,,,
170,10/18/2020 2:16,7.582,0,2.75,,,,
171,10/18/2020 8:16,8.481,1808.3,2.75,,,,
172,10/18/2020 14:16,9.472,3961.1,2.75,,,,
173,10/18/2020 20:16,9.077,0,2.75,,,,
174,10/19/2020 2:16,8.382,0,2.75,,,,
175,10/19/2020 8:16,6.978,699.7,2.74,,,,
176,10/19/2020 14:16,9.176,1550,2.75,,,,
177,10/19/2020 20:16,6.37,0,2.74,,,,
178,10/20/2020 2:16,5.757,0,2.74,,,,
179,10/20/2020 8:16,6.166,1237.9,2.74,,,,
180,10/20/2020 14:16,11.819,6544.5,2.75,,,,
181,10/20/2020 20:16,8.382,0,2.75,,,,
182,10/21/2020 2:16,6.064,0,2.74,,,,
183,10/21/2020 8:16,4.311,1162.5,2.74,,,,
184,10/21/2020 14:16,5.244,5166.7,2.72,,,,
185,10/21/2020 20:16,0.121,0,2.7,,,,
186,10/22/2020 2:16,-0.549,0,2.7,,,,
187,10/22/2020 8:16,-0.549,1151.7,2.7,,,,
188,10/22/2020 14:16,1.112,1808.3,2.7,,,,
189,10/22/2020 20:16,0.343,0,2.68,,,,
190,10/23/2020 2:16,0.232,0,2.68,,,,
191,10/23/2020 8:16,1.003,1377.8,2.68,,,,
192,10/23/2020 14:16,6.166,2755.6,2.72,,,,
193,10/23/2020 20:16,5.347,0,2.72,,,,
194,10/24/2020 2:16,6.775,0,2.74,,,,
195,10/24/2020 8:16,3.998,1722.2,2.72,,,,
196,10/24/2020 14:16,5.86,3444.5,2.72,,,,
197,10/24/2020 20:16,-1.57,0,2.7,,,,
198,10/25/2020 2:16,-5.249,0,2.67,,,,
199,10/25/2020 8:16,-7.657,914.9,2.65,,,,
200,10/25/2020 14:16,-3.316,1302.4,2.67,,,,
201,10/25/2020 20:16,-3.672,0,2.67,,,,
202,10/26/2020 2:16,-2.494,0,2.67,,,,
203,10/26/2020 8:16,-0.213,2927.8,2.67,,,,
204,10/26/2020 14:16,1.221,1291.7,2.68,,,,
205,10/26/2020 20:16,0.343,0,2.68,,,,
206,10/27/2020 2:16,0.784,0,2.68,,,,
207,10/27/2020 8:16,1.656,796.5,2.68,,,,
208,10/27/2020 14:16,3.261,1184,2.7,,,,
209,10/27/2020 20:16,4.311,0,2.72,,,,
210,10/28/2020 2:16,5.757,0,2.72,,,,
211,10/28/2020 8:16,6.166,775,2.72,,,,
212,10/28/2020 14:16,9.176,1184,2.75,,,,
213,10/28/2020 20:16,7.682,0,2.74,,,,
214,10/29/2020 2:16,7.079,0,2.74,,,,
215,10/29/2020 8:16,6.978,753.5,2.74,,,,
216,10/29/2020 14:16,9.275,1151.7,2.75,,,,
217,10/29/2020 20:16,7.983,0,2.75,,,,
218,10/30/2020 2:16,6.877,0,2.74,,,,
219,10/30/2020 8:16,6.978,4650,2.74,,,,
220,10/30/2020 14:16,7.481,2583.4,2.75,,,,
221,10/30/2020 20:16,3.049,0,2.74,,,,
222,10/31/2020 2:16,1.548,0,2.72,,,,
223,10/31/2020 8:16,2.195,861.1,2.72,,,,
224,10/31/2020 14:16,5.962,1119.5,2.74,,,,
225,10/31/2020 20:16,5.244,0,2.72,,,,
226,11/1/2020 2:16,5.45,0,2.72,,,,
227,11/1/2020 8:16,6.37,710.4,2.74,,,,
